#TimeStamp;Runtime;Requests
0.88;0.14;45
1.88;0.01;7
2.88;0;2
3.97;0;1
9.01;0;1
10.01;0;1
11.02;0.01;3
12.02;0;4
13.22;0;1
14.3;0;3
15.31;0;3
16.32;0;1
17.32;0;2
18.36;0;3
19.39;0;2
20.39;0;2
21.44;0;3
22.48;0;4
23.48;0;2
24.49;0;2
25.53;0;2
26.57;0;1
27.62;0;2
28.72;0;1
29.75;0;1
30.75;0;2
31.77;0.01;13
32.8;0.01;6
33.82;0.01;5
34.88;0;1
35.9;0;1
36.92;0;3
38.08;0;1
39.15;0;1
40.17;0;1
41.19;0;3
42.21;0.01;3
43.21;0;6
44.26;0.01;4
45.3;0;5
46.33;0;5
47.36;0;4
48.39;0.01;6
49.43;0.01;5
50.43;0;1
51.63;0;1
52.63;0;2
53.68;0;2
54.72;0;3
55.72;0.01;3
56.74;0;1
57.81;0;2
58.81;0;3
59.85;0.01;5
60.86;0;3
61.89;0.01;3
62.94;0;2
63.95;0;2
65.03;0;4
66.08;0;2
67.1;0;2
68.11;0;3
69.15;0;2
70.16;0.01;3
71.18;0;3
72.19;0;4
73.3;0;2
74.32;0;3
75.35;0;3
76.67;0;1
77.73;0;3
78.75;0.01;4
79.78;0;2
80.8;0.01;3
81.84;0;2
82.85;0.01;3
83.87;0;2
84.9;0;1
85.94;0;1
87.95;0;1
89.11;0;1
90.15;0;1
91.27;0;2
92.61;0;1
93.65;0;1
94.9;0;1
95.93;0;1
96.95;0;3
98.14;0;1
99.35;0;1
100.38;0;2
101.4;0.01;2
102.53;0;1
103.54;0;2
104.69;0;4
105.87;0;1
106.88;0;1
107.9;0;2
108.92;0;1
110.28;0;1
111.31;0;2
112.31;0;2
113.35;0.01;4
114.38;0;2
115.41;0;2
116.41;0;2
117.41;0;2
118.42;0;3
119.45;0;2
120.45;0;3
121.54;0.01;2
122.59;0;4
123.63;0.01;6
124.63;0;1
125.78;0;1
126.87;0;2
127.94;0;1
129.09;0;1
130.1;0.01;1
131.19;0.01;2
132.48;0;1
133.52;0.01;3
135.41;0;1
136.42;0;1
137.63;0;1
138.66;0;1
139.67;0.01;1
140.71;0;1
142.25;0;1
143.29;0;1
147.51;0;1
148.62;0;1
149.66;0;1
150.78;0;1
152.58;0;1
153.62;0;1
154.75;0;4
155.79;0;2
158.14;0;1
160.21;0;1
161.22;0;3
162.52;0;2
163.88;0;3
164.89;0.01;5
165.93;0;2
167.18;0;1
168.19;0;1
169.22;0.01;1
170.22;0;1
172.59;0;1
173.79;0;1
175.68;0;1
176.69;0;1
178.03;0;1
179.09;0;1
180.1;0.01;2
181.53;0;1
182.59;0;1
183.65;0;2
184.75;0.01;4
185.76;0;1
186.82;0;2
188.61;0;1
190.09;0;1
191.43;0;1
192.45;0;2
198.29;0;1
199.39;0;1
200.4;0;1
201.43;0;1
202.44;0;1
203.47;0;2
204.48;0.01;3
205.48;0;1
206.48;0;1
207.52;0;3
208.75;0;2
210.18;0;1
211.21;0;1
212.31;0;2
213.33;0.01;4
214.37;0;3
215.37;0;1
216.37;0;2
217.4;0;3
218.45;0;3
219.49;0;5
220.49;0;2
221.49;0;3
222.61;0;2
223.65;0;2
224.66;0;1
225.66;0;1
226.7;0.01;3
227.71;0;1
228.71;0;1
229.76;0;3
230.77;0;2
231.82;0.01;3
232.86;0.01;3
233.91;0;2
234.95;0.01;4
236.04;0;1
237.08;0;1
238.12;0.01;1
239.2;0.01;2
240.22;0;2
241.24;0.01;3
242.25;0.01;3
243.27;0;2
244.34;0;4
245.34;0;2
246.38;0;2
247.42;0.02;3
248.47;0;3
249.5;0;3
250.51;0;2
251.53;0;4
252.57;0;1
253.57;0;3
255.61;0;1
256.65;0;1
257.66;0.01;2
259.69;0;1
260.75;0.01;5
261.76;0;2
262.79;0;1
263.82;0;1
264.83;0;1
265.92;0;3
266.92;0;1
267.94;0;4
268.96;0;2
270.03;0;1
271.11;0.01;2
272.19;0;1
273.31;0;2
274.35;0;1
275.35;0;3
276.35;0;2
277.4;0;1
278.52;0;2
279.56;0;1
280.56;0;2
281.59;0;4
282.6;0;3
283.84;0;1
284.87;0;1
285.88;0;1
286.9;0;1
287.95;0;1
288.97;0;1
289.98;0;2
291.94;0;1
292.94;0;3
294.07;0;1
295.8;0;1
296.99;0;2
297.99;0;2
299.21;0.01;2
300.25;0;1
301.29;0;3
302.3;0;3
303.33;0;1
304.36;0;1
305.56;0;2
306.76;0;1
307.77;0;2
308.78;0;3
309.78;0;3
310.82;0;3
311.82;0;2
312.83;0;3
313.87;0;2
314.87;0;3
315.92;0;2
317.09;0;2
318.09;0;1
319.12;0;1
320.17;0;2
323.28;0;2
324.72;0;1
325.72;0;1
326.76;0;2
327.79;0;3
328.8;0.01;5
329.8;0.01;4
330.81;0;4
332.23;0;2
333.3;0.01;3
335.35;0;1
336.35;0.01;3
337.35;0;2
338.39;0;2
341.2;0;1
342.35;0;1
343.47;0.01;4
344.74;0;1
345.76;0;1
346.78;0;1
347.79;0.01;2
348.81;0;1
349.87;0;2
350.89;0;3
351.89;0.01;3
352.94;0;3
354.56;0;1
355.6;0;2
356.67;0;1
357.7;0;1
358.7;0;1
359.74;0;1
360.74;0.01;2
361.77;0;4
362.77;0;1
363.94;0;1
364.94;0;1
365.99;0;1
367.04;0;1
368.41;0;2
369.41;0;2
370.44;0;2
371.44;0;2
372.45;0;2
373.49;0;1
374.57;0.01;3
375.75;0.01;1
378.24;0;1
379.66;0;1
380.79;0;2
382.27;0;1
383.34;0;2
384.45;0;2
385.78;0.01;1
386.9;0;1
388.99;0;1
390.95;0;1
392.24;0;1
393.24;0;2
394.28;0;4
395.28;0;1
396.31;0;2
397.37;0;3
400.22;0;1
401.26;0;1
402.27;0;1
403.65;0.01;1
404.74;0;1
405.78;0;3
406.78;0;1
407.86;0;2
408.99;0;1
410.03;0;1
411.25;0;2
413.17;0.01;1
414.18;0;3
416.48;0;1
418.53;0;1
423.75;0;1
424.91;0;1
426.17;0;1
427.24;0;1
428.33;0.01;3
429.36;0;2
430.61;0;1
431.62;0;2
432.63;0;1
433.65;0;2
434.65;0;4
435.66;0;4
436.69;0;1
437.72;0;2
438.75;0;1
439.76;0;3
441.08;0.01;2
442.5;0;2
443.53;0;3
444.56;0;1
445.66;0;1
447.61;0;1
448.74;0;1
450.04;0;2
451.08;0;2
452.09;0;2
453.12;0;1
454.21;0;2
456.46;0;1
457.46;0;3
458.51;0;1
459.53;0.01;1
460.57;0;1
461.79;0;1
464.06;0;1
465.18;0.01;2
466.18;0.01;3
467.22;0;3
468.25;0;1
470.1;0;1
471.14;0;1
472.14;0;1
473.26;0;1
474.54;0;1
475.56;0;1
476.62;0;2
477.88;0;3
478.89;0;1
479.95;0;1
481.76;0;1
482.98;0;1
484.05;0.01;3
485.3;0.01;3
486.34;0;1
487.35;0;1
489.01;0;1
490.01;0;1
491.02;0.01;4
492.15;0;1
493.26;0;1
494.27;0;1
495.27;0;2
496.32;0;1
497.73;0;1
498.93;0;2
501.2;0;1
502.35;0;2
503.51;0;2
504.6;0;3
505.64;0;2
506.69;0.03;3
507.73;0;2
508.78;0;4
509.78;0;2
510.81;0;3
511.9;0;2
512.9;0;3
513.94;0;2
515.28;0;2
516.31;0.01;2
517.33;0;4
518.33;0;2
519.33;0;2
520.37;0.01;4
521.4;0;2
522.61;0;1
523.74;0;2
524.78;0;3
527.33;0;1
528.33;0;1
529.36;0;2
530.95;0;1
531.98;0;3
532.99;0;2
534.12;0;1
535.16;0;2
536.17;0.01;2
537.21;0;1
539.29;0;1
540.31;0.01;2
541.4;0;1
542.43;0;1
543.47;0;2
544.49;0;1
545.49;0;2
546.53;0;2
547.58;0;2
548.58;0;3
549.62;0;1
550.62;0;1
551.83;0;3
554.12;0;1
555.21;0;2
556.53;0;1
557.56;0.01;1
558.9;0;1
559.94;0.01;4
560.97;0;3
561.97;0;1
563.02;0;1
564.41;0;1
565.41;0;2
566.48;0.01;3
567.5;0.01;2
568.6;0;1
569.67;0;1
570.67;0;1
571.67;0;1
572.69;0;4
573.7;0;3
574.7;0;3
575.72;0;4
