#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
52.13;9;52.13;52.13;-7147.87
63.53;8;63.53;63.53;-3536.47
90.23;1;90.23;90.23;-3509.77
101.51;9;101.51;101.51;-7098.49
102.54;8;102.54;102.54;-7097.46
107.01;6;107.01;107.01;-7092.99
108.74;5;108.74;108.74;-7091.26
116.88;11;116.88;116.88;-3483.12
125.69;6;125.69;125.69;-7074.31
129.12;10;129.12;129.12;-7070.88
139.81;6;139.81;139.81;-7060.19
146.56;0;146.56;146.56;-7053.44
167.63;1;167.63;167.63;-7032.37
168.81;4;168.81;168.81;-7031.19
170.77;7;170.77;170.77;-7029.23
185.39;11;185.39;185.39;-7014.61
189.17;5;189.17;189.17;-7010.83
199.23;5;199.23;199.23;-7000.77
199.99;6;199.99;74.26;-3400.01
204.14;8;204.14;140.42;-6995.86
206.03;10;206.03;206.03;-6993.97
207.67;9;207.67;106.11;-6992.33
207.71;1;207.71;117.44;-6992.29
245.56;11;245.56;245.56;-6954.44
250.4;1;250.4;250.4;-6949.6
265.63;11;265.63;80.2;-6934.37
275.8;11;275.8;275.8;-3324.2
286.34;6;286.34;146.46;-6913.66
289.84;0;289.84;289.84;-3310.16
296.13;5;296.13;296.13;-6903.87
300.81;10;300.81;300.81;-6899.19
300.85;7;300.85;300.85;-3299.15
303.2;2;303.2;303.2;-6896.8
306.1;11;306.1;60.49;-6893.9
309.62;9;309.62;309.62;-6890.38
310.02;0;310.02;163.25;-6889.98
315.19;7;315.19;315.19;-3284.81
324.36;4;324.36;324.36;-3275.64
326.19;11;326.19;60.51;-6873.81
331.49;0;331.49;331.49;-6868.51
335.28;7;335.28;34.23;-6864.72
340.95;10;340.95;340.95;-6859.05
346.21;5;346.21;146.93;-6853.79
361.58;0;361.58;71.7;-6838.42
370.45;8;370.45;166.14;-6829.55
375.44;7;375.44;39.96;-6824.56
387.62;6;387.62;387.62;-6812.38
391.69;0;391.69;81.63;-6808.31
403.59;8;403.59;403.59;-6796.41
406.93;5;406.93;110.75;-6793.07
410.94;10;410.94;410.94;-6789.06
411.76;0;411.76;50.13;-6788.24
414.24;4;414.24;414.24;-6785.76
420.39;7;420.39;420.39;-6779.61
424.27;4;424.27;424.27;-3175.73
430.57;3;430.57;430.57;-6769.43
433.61;8;433.61;63.12;-6766.39
441.8;0;441.8;441.8;-6758.2
445.16;11;445.16;139.01;-6754.84
453.65;8;152.6;50.01;-7047.4
455.54;1;455.54;455.54;-6744.46
464.26;4;464.26;139.86;-6735.74
467.24;8;467.24;467.24;-3132.76
470.97;5;470.97;281.76;-6729.03
471.7;2;471.7;471.7;-6728.3
481.83;0;481.83;150.3;-3118.17
492.27;0;492.27;492.27;-6707.73
496.2;9;310.76;288.48;-3289.24
497.25;1;368.08;246.77;-6831.92
498.82;3;498.82;498.82;-3101.18
501.82;2;501.82;30.07;-3098.18
505.08;10;505.08;204.23;-6694.92
506.76;4;506.76;506.76;-3093.24
506.8;11;506.8;180.57;-6693.2
511.13;5;511.13;104.15;-6688.87
512.36;0;512.36;100.56;-3087.64
517.56;1;313.25;61.6;-6886.75
526.49;9;526.49;474.31;-6673.51
526.88;4;526.88;112.59;-6673.13
527.71;8;527.71;60.32;-6672.29
531.12;5;531.12;60.11;-6668.88
536.53;9;536.53;536.53;-6663.47
547;11;140.03;101.62;-7059.97
572.7;6;572.7;184.82;-6627.3
574.53;10;472.97;69.4;-6727.03
598.4;1;508.13;390.63;-6691.87
600.27;5;284.84;254.02;-6915.16
617.65;2;125.34;115.79;-7074.66
617.7;6;617.7;617.7;-6582.3
627.84;6;420.07;341.46;-6779.93
628.62;1;174.83;131.33;-7025.17
628.67;5;628.67;117.5;-2971.33
631.4;11;631.4;631.4;-2968.6
636.85;4;636.85;109.93;-6563.15
639.36;0;639.36;147.04;-6560.64
649.32;3;649.32;218.6;-6550.68
650.98;10;650.98;309.93;-6549.02
652.12;8;316.64;124.36;-6883.36
657.88;6;657.88;85.13;-6542.12
658.9;5;147.73;127.67;-3452.27
668.83;1;668.83;668.83;-6531.17
673.96;4;565;505.11;-3035
675.6;5;675.6;675.6;-6524.4
681.62;11;247.9;174.72;-6952.1
687.75;6;481.61;69.93;-3118.39
696.04;5;528.37;95.72;-6671.63
699.46;0;699.46;217.44;-2900.54
701.13;10;174.6;126.56;-7025.4
711.34;9;711.34;184.8;-2888.66
716.35;5;179.77;87.46;-3420.23
720.36;3;249.34;221.42;-3350.66
721.22;10;721.22;70.1;-6478.78
723.3;2;723.3;723.3;-2876.7
728.05;6;231.81;70.12;-6968.19
729.27;1;314.99;100.6;-6885.01
731.23;10;731.23;320.06;-6468.77
742.43;4;742.43;318.1;-6457.57
749.42;1;749.42;80.53;-6450.58
756.52;5;756.52;40.1;-2843.48
760.58;3;123.51;111.22;-3476.49
761.38;10;248.98;60.18;-6951.02
761.9;11;761.9;761.9;-6438.1
772.52;4;772.52;98.51;-6427.48
