#TimeStamp;Bot;Pod;OutputStation
41.04;10;689;8
51.08;39;557;2
55.19;6;931;11
57.52;27;727;0
61.05;43;791;4
61.27;40;467;1
62.09;29;291;7
66.57;26;1129;8
67.45;27;727;0
71.09;43;791;4
71.13;40;467;1
71.42;34;582;3
72.22;29;291;7
75.44;41;728;6
76.07;24;948;9
76.61;32;430;5
77.56;30;32;0
81.44;34;582;3
85.49;16;605;6
86.07;24;948;9
89.79;13;42;11
91.2;34;582;3
94.12;8;1001;1
95.11;21;583;0
95.5;16;605;6
96.17;23;1012;9
99.8;13;42;11
104.03;8;1001;1
105.18;21;583;0
105.63;5;536;6
105.99;23;1012;9
107.48;36;324;10
109.83;13;42;11
110.03;4;854;4
110.44;17;1046;3
111.87;2;482;7
113.48;28;708;2
114.15;8;1001;1
115.18;21;583;0
115.64;5;536;6
116.22;23;1012;9
119.83;13;42;11
120.04;4;854;4
123.5;28;708;2
125.22;21;583;0
126.22;23;1012;9
129.83;13;42;11
129.88;4;854;4
130.46;14;321;10
135.13;22;405;5
135.22;21;583;0
139.84;13;42;11
140.04;4;854;4
140.4;14;321;10
145.03;22;405;5
149.84;9;1110;11
150.08;4;854;4
150.55;14;321;10
155;37;569;5
160.12;11;1092;4
160.55;14;321;10
165.12;37;569;5
169.03;29;151;7
170.56;14;321;10
175.2;37;569;5
179.38;39;609;2
180.61;0;568;10
185.23;37;569;5
189.4;39;609;2
190.54;0;568;10
195.27;37;569;5
200.3;0;568;10
204.33;10;200;8
210.62;0;568;10
210.93;40;291;1
214.4;41;817;6
220.91;40;291;1
226.79;27;361;0
229.13;32;665;5
229.31;26;205;8
231.76;34;1129;3
235;16;148;6
236.58;8;1185;1
236.91;27;361;0
237.13;43;105;4
238.09;6;928;11
239.16;32;665;5
239.21;26;205;8
245;16;148;6
246.78;8;1185;1
246.88;27;361;0
247.36;43;105;4
248.17;24;89;9
248.17;6;928;11
249.24;32;665;5
249.34;26;205;8
255.06;5;324;6
256.41;36;898;10
256.76;8;1185;1
256.92;27;361;0
257.38;43;105;4
258.93;32;665;5
259.34;26;205;8
265.48;5;324;6
265.7;28;1001;2
266.81;8;1185;1
266.86;27;361;0
267.42;43;105;4
269.34;32;665;5
275.24;5;324;6
275.65;28;1001;2
276.82;8;1185;1
276.96;27;361;0
277.44;43;105;4
277.8;2;605;7
279.36;32;665;5
285.64;5;324;6
285.68;9;280;11
285.73;28;1001;2
286.86;27;361;0
287.4;43;105;4
289.36;17;728;3
289.41;32;665;5
292.19;23;931;9
295.68;5;324;6
295.73;13;452;11
297;27;361;0
297.51;43;105;4
299.64;32;665;5
302.27;23;931;9
305.72;5;324;6
305.81;13;452;11
307.02;30;668;0
307.4;43;105;4
309.65;32;665;5
312.27;23;931;9
315.74;5;324;6
315.94;13;452;11
317.03;30;668;0
317.53;43;105;4
322.05;23;931;9
324.32;22;577;5
325.79;5;324;6
325.79;13;452;11
327.08;30;668;0
327.47;43;105;4
334.36;22;577;5
335.97;5;324;6
335.97;13;452;11
336.85;30;668;0
337.45;4;212;4
341.98;14;482;10
344.4;22;577;5
345.68;5;324;6
345.68;13;452;11
347.25;21;147;0
347.53;4;212;4
347.87;29;613;7
349.54;26;443;8
352.01;14;482;10
354.45;22;577;5
355.81;41;862;6
357.45;21;147;0
357.58;4;212;4
362.03;14;482;10
364.33;22;577;5
366.04;41;862;6
367.17;21;147;0
367.67;4;212;4
372.3;40;151;1
373.18;10;568;8
374.46;22;577;5
376.12;41;862;6
377.51;21;147;0
377.61;4;212;4
381.86;6;708;11
382.3;40;151;1
383.5;10;568;8
383.54;39;518;2
384.42;22;577;5
386.01;41;862;6
387.55;21;147;0
387.6;4;212;4
391.87;6;708;11
392.3;0;582;10
392.35;40;151;1
392.61;34;298;3
393.52;10;568;8
393.73;39;518;2
394.54;22;577;5
397.6;21;147;0
397.71;11;13;4
401.92;6;708;11
402.38;36;319;10
402.53;40;151;1
402.96;17;391;3
403.38;10;568;8
403.68;39;518;2
404.3;22;577;5
405.18;2;1080;7
407.61;21;147;0
407.75;11;13;4
412.13;6;708;11
412.43;36;319;10
412.54;40;151;1
413.21;17;391;3
413.57;39;518;2
414.43;22;577;5
417.61;21;147;0
418.21;24;229;9
422.22;6;708;11
422.41;36;319;10
422.54;40;151;1
423.56;17;391;3
423.79;28;948;2
424.18;16;1001;6
424.6;22;577;5
427.65;21;147;0
428.27;24;229;9
432.36;6;708;11
432.45;36;319;10
432.58;8;134;1
433.6;17;391;3
433.87;28;948;2
434.16;16;1001;6
434.54;22;577;5
438.32;24;229;9
442.36;6;708;11
442.45;36;319;10
442.54;8;134;1
443.62;17;391;3
443.79;28;948;2
444.22;16;1001;6
444.36;22;577;5
448.62;24;229;9
450.55;27;1129;0
452.36;6;708;11
452.73;8;134;1
453.69;17;391;3
453.81;28;948;2
454.28;16;1001;6
458.66;24;229;9
459.58;37;1110;5
460.63;27;1129;0
462.33;6;708;11
462.7;8;134;1
463.7;17;391;3
463.85;28;948;2
464.3;16;1001;6
469.65;37;1110;5
470.55;27;1129;0
472.4;9;999;11
472.79;8;134;1
473.72;17;391;3
473.87;28;948;2
474.36;16;1001;6
479.59;37;1110;5
480.62;27;1129;0
482.24;9;999;11
482.86;8;134;1
483.64;43;932;4
483.73;17;391;3
483.78;28;948;2
484.35;16;1001;6
489.67;37;1110;5
490.54;27;1129;0
492.46;9;999;11
492.93;8;134;1
493.7;43;932;4
493.79;17;391;3
493.84;28;948;2
494.42;16;1001;6
498.95;23;269;9
499.57;37;1110;5
500.54;27;1129;0
502.34;9;999;11
503.72;43;932;4
503.9;28;948;2
504.48;16;1001;6
507.1;29;321;7
509.02;23;269;9
509.15;26;884;8
509.71;32;583;5
510.64;27;1129;0
510.98;14;32;10
512.52;13;1052;11
514.53;16;1001;6
517.27;29;321;7
518.86;23;269;9
519.37;26;884;8
519.48;32;583;5
520.69;27;1129;0
521.08;0;279;10
522.57;13;1052;11
524.54;16;1001;6
529.02;23;269;9
529.79;32;583;5
530.7;27;1129;0
531.09;0;279;10
532.48;13;1052;11
534.42;5;200;6
536.85;40;773;1
538.99;23;269;9
539.83;32;583;5
540;4;28;4
540.74;30;322;0
541.17;0;279;10
542.57;13;1052;11
546.87;40;773;1
549.54;10;644;8
549.86;32;583;5
550.17;4;28;4
551.12;0;279;10
552.58;13;1052;11
556.43;41;707;6
556.91;40;773;1
559.59;10;644;8
559.89;32;583;5
560.26;4;28;4
561.21;39;150;2
566.59;41;707;6
566.92;40;773;1
569.56;10;644;8
569.97;32;583;5
570.27;4;28;4
571.31;39;150;2
576.64;41;707;6
576.82;40;773;1
579.26;6;336;11
579.51;10;644;8
579.97;32;583;5
580.34;4;28;4
583.08;34;1080;3
586.68;41;707;6
589.27;6;336;11
589.97;32;583;5
590.63;4;28;4
593.04;34;1080;3
594.79;2;731;7
596.82;41;707;6
600.01;32;583;5
600.8;11;46;4
602.32;36;90;10
603.14;34;1080;3
604.56;21;259;0
604.88;2;731;7
607.43;23;589;9
610.93;11;46;4
612.32;36;90;10
613.17;34;1080;3
614.71;21;259;0
614.9;2;731;7
620.79;16;626;6
620.93;11;46;4
622.38;14;1095;10
623.21;34;1080;3
624.73;21;259;0
624.98;2;731;7
630.86;16;626;6
630.91;11;46;4
632.33;14;1095;10
633.19;34;1080;3
634.76;21;259;0
635.08;2;731;7
635.91;24;870;9
640.85;16;626;6
640.91;11;46;4
642.43;14;1095;10
643.21;17;35;3
644.76;21;259;0
645.95;24;870;9
650.12;40;933;1
650.3;22;597;5
650.91;11;46;4
650.91;16;626;6
652.39;14;1095;10
653.11;17;35;3
654.74;21;259;0
655.94;24;870;9
658.28;29;442;7
660.93;11;46;4
660.93;16;626;6
662.44;14;1095;10
663.17;17;35;3
665.98;24;870;9
668.22;29;442;7
670.21;9;987;11
670.95;11;46;4
671;16;626;6
672.44;14;1095;10
678.38;29;442;7
680.46;9;987;11
681.03;43;762;4
681.03;16;626;6
681.17;28;898;2
682.46;14;1095;10
684.4;37;724;5
685.03;27;4;0
688.24;29;442;7
690.5;9;987;11
691.07;5;950;6
691.17;28;898;2
691.17;43;762;4
692.5;14;1095;10
692.99;8;298;1
694.31;37;724;5
694.9;26;441;8
698.4;29;442;7
700.61;9;987;11
701.2;43;762;4
701.2;5;950;6
702.51;14;1095;10
703.04;8;298;1
704.25;37;724;5
706.8;30;534;0
710.94;9;987;11
711.21;5;950;6
711.26;43;762;4
712.55;0;138;10
712.98;8;298;1
714.48;37;724;5
716.81;30;534;0
721.03;9;987;11
721.27;5;950;6
721.31;43;762;4
722.57;0;138;10
724.37;37;724;5
726.9;30;534;0
731;9;987;11
731.29;5;950;6
731.38;43;762;4
731.47;10;755;8
732.75;0;138;10
735.23;23;322;9
736.8;30;534;0
741.1;9;987;11
741.4;43;762;4
741.54;10;755;8
742.81;0;138;10
746.93;30;534;0
751.01;9;987;11
751.41;43;762;4
751.67;10;755;8
751.99;39;13;2
752.96;0;138;10
756.95;30;534;0
761.16;13;914;11
761.41;43;762;4
761.75;10;755;8
762.06;39;13;2
762.92;0;138;10
765.73;32;477;5
766.95;30;534;0
769.04;17;1181;3
771.32;13;914;11
771.45;4;483;4
771.54;10;755;8
772.07;39;13;2
773.07;0;138;10
775.73;32;477;5
775.73;41;190;6
779.08;34;632;3
781.39;13;914;11
781.52;4;483;4
781.79;10;755;8
782.06;39;13;2
783.12;36;804;10
785.76;32;477;5
785.8;41;190;6
788.2;24;90;9
789.24;34;632;3
791.38;13;914;11
791.52;4;483;4
791.86;10;755;8
792.11;39;13;2
793.18;36;804;10
795.86;41;190;6
798.34;24;90;9
799.27;34;632;3
801.4;13;914;11
801.57;4;483;4
802.11;39;13;2
803.12;36;804;10
805.36;2;1025;7
805.94;41;190;6
806.22;40;786;1
806.49;22;485;5
808.38;24;90;9
809.35;34;632;3
811.47;13;914;11
811.58;4;483;4
813.21;36;804;10
815.92;41;190;6
816.3;40;786;1
816.57;22;485;5
818.09;24;90;9
818.98;27;793;0
819.45;34;632;3
821.47;6;1102;11
823.21;11;928;4
825.96;41;190;6
826.3;40;786;1
826.54;22;485;5
828.34;24;90;9
829.05;21;884;0
829.54;34;632;3
831.45;6;1102;11
833.3;11;928;4
835.96;16;1104;6
836.34;40;786;1
836.58;22;485;5
838.37;24;90;9
839.28;21;884;0
841.54;6;1102;11
843.29;11;928;4
845.96;16;1104;6
846.38;40;786;1
846.38;29;875;7
846.47;22;485;5
849.28;21;884;0
851.66;6;1102;11
853.34;11;928;4
853.51;26;235;8
855.97;16;1104;6
856.43;29;875;7
856.66;22;485;5
859.21;14;950;10
859.34;21;884;0
861.11;23;811;9
861.7;6;1102;11
862.39;8;698;1
862.97;28;28;2
863.39;11;928;4
863.59;26;235;8
866.01;16;1104;6
866.52;29;875;7
866.73;37;796;5
869.25;14;950;10
869.34;21;884;0
870.94;23;811;9
871.78;6;1102;11
872.43;8;698;1
872.97;28;28;2
873.44;11;928;4
873.44;26;235;8
876.06;5;572;6
876.51;29;875;7
876.68;37;796;5
879.27;14;950;10
879.32;21;884;0
881.15;23;811;9
881.78;6;1102;11
882.45;8;698;1
883.01;28;28;2
883.64;11;928;4
883.64;26;235;8
886.1;5;572;6
886.65;29;875;7
886.78;37;796;5
889.34;21;884;0
890.64;17;150;3
891.23;23;811;9
891.82;9;898;11
892.48;8;698;1
892.99;28;28;2
893.68;11;928;4
894.28;0;386;10
896.15;5;572;6
896.68;29;875;7
896.82;37;796;5
900.64;17;150;3
901.23;23;811;9
901.86;9;898;11
902.4;8;698;1
903.05;28;28;2
903.74;11;928;4
904.37;0;386;10
906.18;5;572;6
906.69;29;875;7
906.87;37;796;5
910.59;17;150;3
911.86;9;898;11
912.49;8;698;1
913.09;28;28;2
913.7;11;928;4
914.4;0;386;10
916.9;37;796;5
920.63;17;150;3
921.9;9;898;11
922.52;8;698;1
923.2;30;455;0
923.24;28;28;2
923.78;11;928;4
924.54;0;386;10
926.96;37;796;5
930.67;17;150;3
933.28;39;147;2
933.76;11;928;4
934.54;0;386;10
937.13;37;796;5
940.64;17;150;3
943.3;39;147;2
943.73;11;928;4
947.14;37;796;5
950.25;36;40;10
950.44;17;150;3
951.7;2;220;7
953.03;39;147;2
953.82;43;315;4
957.2;32;238;5
960.4;36;40;10
961.65;2;220;7
963.89;43;315;4
965.97;24;281;9
966.71;41;229;6
970.31;36;40;10
971.74;2;220;7
973.79;43;315;4
976.01;24;281;9
976.75;41;229;6
976.8;13;1108;11
980.44;36;40;10
981.73;2;220;7
983.9;43;315;4
984.91;10;328;8
986.01;24;281;9
986.61;41;229;6
986.91;13;1108;11
987.7;22;1181;5
990.56;36;40;10
991.79;2;220;7
993.94;43;315;4
996.09;24;281;9
996.79;41;229;6
996.93;13;1108;11
997.7;22;1181;5
998.29;27;931;0
1001.83;2;220;7
1004;4;322;4
1005.75;26;597;8
1006.22;34;330;3
1006.78;41;229;6
1006.97;13;1108;11
1007.85;22;1181;5
1008.3;27;931;0
1011.85;2;220;7
1013.17;40;43;1
1014.13;4;322;4
1015.94;26;597;8
1016.87;41;229;6
1017.9;22;1181;5
1021.91;2;220;7
1023.35;40;43;1
1024.25;4;322;4
1026.04;26;597;8
1026.93;41;229;6
1027.96;22;1181;5
1030.09;28;104;2
1030.33;21;159;0
1033.35;40;43;1
1034.34;4;322;4
1036.13;26;597;8
1036.96;41;229;6
1038.04;22;1181;5
1039.37;14;536;10
1040.45;21;159;0
1043.34;40;43;1
1044.38;4;322;4
1046.18;26;597;8
1047.61;6;169;11
1048.08;22;1181;5
1048.81;39;800;2
1049.39;14;536;10
1050.55;5;29;6
1053.39;40;43;1
1054.39;4;322;4
1057.79;6;169;11
1058.15;22;1181;5
1058.96;39;800;2
1059.44;14;536;10
1060.63;5;29;6
1061.51;17;147;3
1064.39;4;322;4
1065.19;30;1188;0
1066.77;29;414;7
1067.82;6;169;11
1069.24;39;800;2
1070.65;5;29;6
1071.66;17;147;3
1074.4;4;322;4
1075.16;30;1188;0
1076.82;29;414;7
1077.84;6;169;11
1079.26;39;800;2
1080.69;16;39;6
1081.72;17;147;3
1086.8;29;414;7
1087.87;6;169;11
1088.56;23;755;9
1090.88;16;39;6
1096.31;8;306;1
1096.84;29;414;7
1097.67;11;885;4
1097.86;6;169;11
1098.66;23;755;9
1100.94;16;39;6
1106.33;8;306;1
1106.79;29;414;7
1107.77;11;885;4
1107.86;6;169;11
1108.32;32;793;5
1108.41;10;950;8
1108.45;23;755;9
1109.13;0;213;10
1111.24;16;39;6
1116.38;8;306;1
1116.87;29;414;7
1117.89;11;885;4
1117.93;9;255;11
1118.08;32;793;5
1118.36;10;950;8
1119.11;0;213;10
1121.08;16;39;6
1126.35;8;306;1
1126.92;29;414;7
1127.93;9;255;11
1128.26;32;793;5
1128.41;10;950;8
1129.17;0;213;10
1131.06;16;39;6
1136.52;8;306;1
1137.78;9;255;11
1138.03;37;776;5
1139.21;0;213;10
1141.12;16;39;6
1146.66;8;306;1
1146.81;24;230;9
1147.28;28;224;2
1147.69;9;255;11
1148.12;27;56;0
1148.36;37;776;5
1149.28;0;213;10
1151.21;16;39;6
1154.72;26;1086;8
1156.77;8;306;1
1156.77;24;230;9
1157.33;28;224;2
1158;9;255;11
1158.39;37;776;5
1158.55;43;735;4
1159.47;0;213;10
1161.28;16;39;6
1164.73;26;1086;8
1166.86;24;230;9
1166.99;28;224;2
1168.07;13;757;11
1168.42;37;776;5
1168.75;43;735;4
1169.48;0;213;10
1171.31;16;39;6
1174.78;26;1086;8
1176.87;24;230;9
1178.22;13;757;11
1178.45;37;776;5
1178.68;43;735;4
1179.48;0;213;10
1181.31;16;39;6
1184.65;26;1086;8
1186.29;21;535;0
1186.9;24;230;9
1187.16;34;982;3
1188.28;13;757;11
1188.73;43;735;4
1189.53;0;213;10
1191.37;16;39;6
1194.9;26;1086;8
1196.03;21;535;0
1196.94;24;230;9
1197.23;34;982;3
1198.31;13;757;11
1198.84;43;735;4
1199.76;0;213;10
1201.4;16;39;6
1204.7;40;293;1
1206.34;21;535;0
1206.61;2;762;7
1206.89;24;230;9
1207.13;34;982;3
