#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/45,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.87;0;None/0,ParkPod/4,RepositionPod/0,Insert/12,Extract/26,Rest/3
119.67;6;None/0,ParkPod/15,RepositionPod/0,Insert/15,Extract/15,Rest/0
179.99;3;None/0,ParkPod/13,RepositionPod/0,Insert/10,Extract/22,Rest/0
239.97;5;None/0,ParkPod/12,RepositionPod/0,Insert/14,Extract/19,Rest/0
299.98;4;None/0,ParkPod/14,RepositionPod/0,Insert/11,Extract/20,Rest/0
360;4;None/0,ParkPod/11,RepositionPod/0,Insert/12,Extract/22,Rest/0
419.99;6;None/0,ParkPod/10,RepositionPod/0,Insert/12,Extract/23,Rest/0
479.98;5;None/0,ParkPod/11,RepositionPod/0,Insert/11,Extract/23,Rest/0
539.96;5;None/0,ParkPod/13,RepositionPod/0,Insert/10,Extract/22,Rest/0
599.84;4;None/0,ParkPod/6,RepositionPod/0,Insert/14,Extract/25,Rest/0
659.94;4;None/0,ParkPod/14,RepositionPod/0,Insert/11,Extract/20,Rest/0
720;2;None/0,ParkPod/9,RepositionPod/0,Insert/11,Extract/25,Rest/0
779.92;3;None/0,ParkPod/14,RepositionPod/0,Insert/11,Extract/20,Rest/0
839.93;2;None/0,ParkPod/12,RepositionPod/0,Insert/14,Extract/19,Rest/0
899.98;5;None/0,ParkPod/6,RepositionPod/0,Insert/13,Extract/26,Rest/0
959.97;6;None/0,ParkPod/10,RepositionPod/0,Insert/13,Extract/22,Rest/0
1020;2;None/0,ParkPod/16,RepositionPod/0,Insert/10,Extract/19,Rest/0
1079.97;4;None/0,ParkPod/15,RepositionPod/0,Insert/11,Extract/19,Rest/0
1139.96;4;None/0,ParkPod/11,RepositionPod/0,Insert/13,Extract/21,Rest/0
1199.99;2;None/0,ParkPod/9,RepositionPod/0,Insert/9,Extract/27,Rest/0
1259.85;2;None/0,ParkPod/10,RepositionPod/0,Insert/13,Extract/22,Rest/0
1319.8;3;None/0,ParkPod/15,RepositionPod/0,Insert/12,Extract/18,Rest/0
1380;2;None/0,ParkPod/5,RepositionPod/0,Insert/14,Extract/26,Rest/0
1439.72;5;None/0,ParkPod/14,RepositionPod/0,Insert/11,Extract/20,Rest/0
1499.98;3;None/0,ParkPod/15,RepositionPod/0,Insert/10,Extract/20,Rest/0
1559.88;4;None/0,ParkPod/9,RepositionPod/0,Insert/12,Extract/24,Rest/0
1619.96;4;None/0,ParkPod/13,RepositionPod/0,Insert/10,Extract/22,Rest/0
1679.9;3;None/0,ParkPod/9,RepositionPod/0,Insert/12,Extract/24,Rest/0
1739.8;3;None/0,ParkPod/11,RepositionPod/0,Insert/11,Extract/23,Rest/0
1799.81;2;None/0,ParkPod/13,RepositionPod/0,Insert/11,Extract/21,Rest/0
1859.98;3;None/0,ParkPod/15,RepositionPod/0,Insert/12,Extract/18,Rest/0
1919.97;2;None/0,ParkPod/11,RepositionPod/0,Insert/11,Extract/23,Rest/0
1979.99;4;None/0,ParkPod/10,RepositionPod/0,Insert/13,Extract/22,Rest/0
2039.99;4;None/0,ParkPod/12,RepositionPod/0,Insert/13,Extract/20,Rest/0
2099.97;2;None/0,ParkPod/12,RepositionPod/0,Insert/11,Extract/22,Rest/0
2159.98;5;None/0,ParkPod/12,RepositionPod/0,Insert/12,Extract/21,Rest/0
2219.91;4;None/0,ParkPod/10,RepositionPod/0,Insert/12,Extract/23,Rest/0
2279.97;3;None/0,ParkPod/10,RepositionPod/0,Insert/12,Extract/23,Rest/0
2339.99;2;None/0,ParkPod/12,RepositionPod/0,Insert/13,Extract/20,Rest/0
2399.97;2;None/0,ParkPod/11,RepositionPod/0,Insert/11,Extract/23,Rest/0
