#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;937;0;0;0;0;0;0;0;0;0
599.84;0.72;938;0;0;0;0;0;0;0;0;0
1199.99;0.73;940;0;0;0;0;0;0;0;0;0
1799.81;0.75;944;0;0;0;0;0;0;0;0;0
2399.97;0.76;946;0;0;0;0;0;0;0;0;0
2999.88;0.77;948;0;0;0;0;0;0;0;0;0
3599.96;0.79;950;0;0;0;0;0;0;0;0;0
4199.95;0.8;951;0;0;0;0;0;0;0;0;0
4799.99;0.81;952;0;0;0;0;0;0;0;0;0
5399.92;0.82;954;0;0;0;0;0;0;0;0;0
5999.96;0.83;956;0;0;0;0;0;0;0;0;0
6599.99;0.84;957;0;0;0;0;0;0;0;0;0
7199.97;0.84;957;0;0;0;0;0;0;0;0;0
7799.96;0.84;957;0;0;0;0;0;0;0;0;0
8399.96;0.83;957;0;0;0;0;0;0;0;0;0
8999.89;0.83;957;0;0;0;0;0;0;0;0;0
9599.97;0.82;957;0;0;0;0;0;0;0;0;0
10199.98;0.82;957;0;0;0;0;0;0;0;0;0
10799.91;0.81;957;0;0;0;0;0;0;0;0;0
11399.81;0.81;957;0;0;0;0;0;0;0;0;0
11999.97;0.8;957;0;0;0;0;0;0;0;0;0
12599.91;0.8;957;0;0;0;0;0;0;0;0;0
13199.98;0.79;957;0;0;0;0;0;0;0;0;0
13799.89;0.79;957;0;0;0;0;0;0;0;0;0
14399.99;0.78;957;0;0;0;0;0;0;0;0;0
14999.9;0.78;957;0;0;0;0;0;0;0;0;0
15599.83;0.77;957;0;0;0;0;0;0;0;0;0
16199.97;0.77;957;0;0;0;0;0;0;0;0;0
16799.97;0.76;957;0;0;0;0;0;0;0;0;0
17399.95;0.76;957;0;0;0;0;0;0;0;0;0
17999.98;0.75;957;0;0;0;0;0;0;0;0;0
18599.97;0.75;957;0;0;0;0;0;0;0;0;0
19199.96;0.74;957;0;0;0;0;0;0;0;0;0
19799.87;0.74;957;0;0;0;0;0;0;0;0;0
20399.77;0.73;957;0;0;0;0;0;0;0;0;0
20999.99;0.73;957;0;0;0;0;0;0;0;0;0
21599.99;0.73;957;0;0;0;0;0;0;0;0;0
22200;0.72;957;0;0;0;0;0;0;0;0;0
22799.97;0.72;957;0;0;0;0;0;0;0;0;0
23399.88;0.71;957;0;0;0;0;0;0;0;0;0
23999.88;0.71;957;0;0;0;0;0;0;0;0;0
24599.88;0.7;957;0;0;0;0;0;0;0;0;0
25199.98;0.7;957;0;0;0;0;0;0;0;0;0
25799.97;0.69;957;0;0;0;0;0;0;0;0;0
26399.96;0.69;957;0;0;0;0;0;0;0;0;0
26999.99;0.68;957;0;0;0;0;0;0;0;0;0
27599.91;0.68;957;0;0;0;0;0;0;0;0;0
28199.96;0.67;957;0;0;0;0;0;0;0;0;0
28799.91;0.67;957;0;0;0;0;0;0;0;0;0
