#TimeStamp;TripTime;Type
31;20;I
35;24;I
35;22;O
37;19;O
37;22;O
48;27;O
49;27;O
49;27;I
60;33;I
63;33;O
65;29;O
66;52;O
68;39;I
71;40;I
73;47;O
75;45;O
75;42;O
77;44;O
86;45;I
88;56;O
89;53;I
90;62;O
92;51;O
94;51;O
94;63;O
97;50;I
100;48;O
105;54;O
108;60;O
109;71;O
109;71;I
109;58;I
113;61;O
119;65;O
121;72;O
126;81;O
131;83;O
132;93;O
138;79;O
140;68;I
141;77;O
144;83;O
165;36;I
167;48;I
193;48;O
200;56;O
202;42;O
202;58;O
204;67;I
212;42;O
215;26;O
217;18;O
226;59;O
229;69;O
234;19;O
235;91;O
238;51;O
244;74;O
244;65;O
246;63;O
256;22;O
262;56;O
263;36;I
276;55;O
287;25;O
289;17;O
294;77;O
295;68;O
305;64;I
308;74;O
311;74;O
312;30;O
321;34;I
323;64;I
325;63;I
330;45;O
331;67;O
339;40;O
340;57;O
353;44;I
356;25;O
356;73;O
357;25;O
360;53;O
383;35;I
383;26;O
392;44;I
393;23;O
396;57;O
400;41;O
402;26;O
403;39;O
403;19;I
408;60;O
412;28;O
418;19;O
420;72;I
421;49;O
422;24;O
441;59;O
442;102;I
447;32;O
453;62;O
458;57;O
462;28;I
467;58;I
473;30;O
486;60;O
490;66;I
496;28;O
501;70;O
518;62;O
523;70;O
524;43;O
533;72;O
534;51;O
535;34;I
537;60;O
550;59;I
558;74;O
565;18;I
567;63;O
567;69;O
576;83;O
577;64;O
579;70;O
585;33;I
585;64;O
595;78;O
597;78;I
602;19;O
604;76;O
605;55;I
607;57;O
608;75;O
610;38;O
615;54;O
616;34;O
627;109;O
634;41;I
636;50;I
636;32;O
641;83;O
642;29;I
650;73;O
659;17;O
659;62;O
664;12;O
668;78;O
672;73;I
673;64;O
676;34;O
684;65;O
695;24;O
701;56;I
705;48;O
710;69;O
719;74;I
723;35;O
749;46;O
758;49;I
760;83;O
769;41;O
771;62;O
771;34;O
774;74;O
774;78;I
775;60;I
782;74;O
782;80;O
784;78;O
787;15;O
789;46;O
798;56;I
804;54;O
805;27;O
805;25;I
808;80;O
815;83;O
821;42;O
824;55;O
826;49;I
834;18;O
850;70;I
855;56;O
864;29;O
869;68;I
870;51;I
871;82;O
873;36;I
885;47;I
889;48;O
890;57;O
894;75;O
897;33;I
909;76;O
915;50;O
924;17;O
928;47;O
932;65;O
933;66;O
935;63;I
935;57;O
938;39;O
945;94;O
947;20;O
950;67;I
955;16;O
955;33;I
959;33;O
959;27;O
961;53;O
965;16;O
980;70;I
982;33;O
985;69;O
986;69;O
991;32;I
991;49;O
992;74;O
1002;46;O
1009;81;O
1020;40;O
1029;39;I
1040;23;O
1043;32;O
1055;39;I
1055;63;O
1056;48;I
1066;38;O
1067;75;I
1070;49;O
1075;28;O
1079;79;O
1089;48;I
1101;35;O
1102;15;O
1105;62;O
1113;27;O
1113;37;I
1113;52;O
1116;47;I
1117;56;I
1132;79;O
1138;31;I
1139;40;O
1144;56;O
1145;34;O
1149;39;O
1149;76;I
1150;70;O
1151;97;O
1154;31;O
1160;71;O
1162;86;O
1170;74;O
1177;38;I
1180;47;I
1189;42;I
1193;37;O
1196;45;O
1198;70;O
1204;73;O
1208;60;I
1224;74;O
1226;53;O
1232;45;I
1234;58;O
1236;72;O
1238;30;O
1243;60;O
1247;61;O
1253;38;O
1264;38;O
1265;52;O
1269;53;O
1270;21;O
1275;58;O
1275;70;O
1276;69;O
1281;77;O
1281;47;O
1283;39;O
1285;15;I
1292;68;O
1293;59;O
1295;41;O
1301;25;O
1312;33;I
1315;49;I
1318;34;O
1324;34;O
1331;67;I
1334;25;I
1335;45;O
1344;69;I
1346;58;I
1346;40;O
1352;78;O
1358;39;I
1362;26;O
1380;19;O
1381;40;O
1385;49;O
1385;68;O
1386;65;O
1392;40;O
1399;69;I
1400;42;I
1402;45;I
1402;27;O
1410;39;O
1413;21;O
1423;59;O
1426;47;O
1426;40;O
1434;83;O
1436;17;O
1444;75;O
1445;54;O
1446;63;I
1447;53;O
1447;59;O
1451;37;O
1458;51;I
1461;35;O
1472;54;O
1477;67;I
1489;28;I
1505;33;O
1507;76;O
1509;63;O
1518;29;I
1526;22;O
1529;37;O
1533;47;I
1538;73;O
1546;33;O
1551;43;O
1554;20;O
1555;46;O
1557;81;O
1562;44;I
1566;88;O
1569;51;O
1579;44;I
1584;36;I
1585;47;O
1591;56;O
1595;55;O
1603;43;I
1607;26;O
1611;61;O
1611;53;O
1614;65;I
1615;59;O
1616;57;I
1618;62;O
1621;91;O
1623;88;I
1624;63;O
1629;59;O
1633;58;O
1633;72;O
1639;59;O
1646;45;I
1669;40;O
1672;70;I
1674;29;I
1680;18;O
1687;73;O
1691;67;O
1702;66;O
1707;77;O
1715;37;O
1717;40;O
1717;59;I
1721;51;O
1737;56;O
1738;62;O
1741;41;I
1745;35;O
1747;55;O
1748;87;O
1751;57;O
1756;73;O
1767;58;O
1767;47;I
1771;76;I
1777;35;O
1781;50;O
1787;52;I
1788;93;I
1788;67;O
1791;39;O
1795;118;O
1798;69;O
1800;75;O
1801;47;O
1806;48;I
1814;43;I
1817;64;O
1821;24;O
1822;41;O
1825;23;I
1826;60;O
1827;39;I
1829;53;I
1831;62;O
1836;40;O
1843;19;O
1844;17;O
1851;78;I
1862;39;O
1871;51;O
1871;70;O
1900;39;I
1907;65;O
1908;44;I
1917;44;O
1919;78;O
1919;23;O
1921;53;I
1927;28;I
1933;63;O
1934;35;O
1934;67;O
1936;67;O
1939;44;I
1943;38;O
1949;35;O
1954;28;O
1956;44;O
1968;46;I
1969;57;O
1973;25;I
1973;82;O
1982;44;O
1986;23;O
1987;105;O
1987;34;I
1988;78;O
1991;74;O
1992;68;O
1996;46;O
1997;113;O
2006;60;I
2008;33;O
2010;44;I
2012;50;O
2025;11;O
2031;38;O
2032;16;O
2037;56;O
2043;78;O
2043;43;I
2045;56;I
2051;64;O
2055;52;I
2056;34;O
2064;36;O
2069;56;O
2073;28;O
2084;65;O
2092;50;O
2101;47;I
2107;85;O
2117;43;I
2124;30;O
2125;74;O
2129;83;I
2131;65;O
2139;35;I
2144;73;O
2144;29;O
2145;63;O
2147;67;O
2150;90;O
2151;56;I
2153;13;O
2155;77;O
2163;32;O
2165;75;O
2170;77;I
2172;38;O
2175;40;O
2187;56;O
2189;52;I
2191;40;I
2192;76;O
2203;90;O
2205;56;O
2216;27;I
2217;17;I
2226;50;O
2227;39;O
2229;53;O
2231;73;O
2232;56;I
2234;37;O
2239;19;O
2248;80;I
2250;73;O
2254;79;O
2262;42;O
2264;51;O
2268;31;O
2278;34;I
2283;56;O
2283;64;O
2290;31;O
2296;62;O
2297;20;O
2298;26;O
2300;56;O
2305;28;O
2313;36;I
2314;40;I
2314;28;O
2315;70;O
2316;21;O
2318;61;O
2326;51;I
2327;50;O
2334;33;O
2334;35;O
2336;64;O
2345;69;O
2348;65;I
2364;18;O
2364;24;O
2367;53;I
2373;40;O
2379;33;O
2381;41;I
2384;64;O
2389;48;O
2398;59;O
2408;49;I
2418;19;O
2422;22;O
2424;23;O
2428;48;O
2433;48;I
2434;51;O
2434;53;O
2444;84;I
2444;27;O
2447;69;O
2448;27;O
2451;60;I
2461;76;I
2468;35;O
2470;63;O
2475;44;I
2476;31;O
2478;60;O
2481;36;O
2490;52;I
2492;75;O
2492;29;I
2498;68;O
2500;37;O
2505;28;O
2509;48;O
2513;52;I
2516;67;O
2530;38;I
2532;37;O
2534;45;I
2535;38;O
2545;72;O
2557;64;I
2558;66;O
2565;48;O
2571;39;I
2580;71;O
2582;77;O
2582;54;O
2592;48;O
2594;71;O
2595;69;O
2598;55;O
2603;19;O
2605;67;I
2609;45;O
2611;37;O
2612;37;I
2623;38;O
2632;68;O
2641;69;O
2645;55;O
2647;6;O
2652;52;O
2653;47;O
2655;52;I
2662;49;O
2665;34;I
2674;67;O
2675;38;O
2684;46;O
2688;48;I
2688;34;O
2694;46;I
2699;72;I
2709;35;I
2710;75;O
2711;47;I
2714;76;O
2714;43;O
2716;26;O
2729;43;I
2731;36;O
2731;49;O
2735;65;I
2739;79;I
2744;53;O
2744;41;O
2751;60;O
2758;38;O
2759;74;O
2762;19;O
2764;67;O
2771;30;O
2779;47;O
2779;75;O
2780;66;O
2785;48;O
2785;33;I
2787;64;O
2791;23;I
2795;47;I
2809;24;I
2813;49;I
2813;53;O
2821;52;O
2832;85;O
2852;18;O
2855;33;O
2856;83;O
2860;46;I
2866;49;O
2867;18;O
2869;53;I
2870;31;O
2880;35;I
2885;29;O
2890;81;O
2894;77;O
2897;67;O
2901;26;I
2911;86;O
2912;13;I
2913;54;O
2913;50;I
2914;31;O
2925;41;I
2929;19;O
2937;27;O
2938;37;O
2945;48;O
2954;81;O
2958;71;O
2958;22;I
2959;112;O
2962;43;O
2964;62;O
2980;50;I
2980;60;O
2984;91;O
2990;67;O
2991;76;O
3000;38;I
3000;40;O
3015;46;I
3017;43;O
3019;72;O
3020;57;O
3026;49;O
3031;54;O
3038;52;O
3042;39;I
3042;24;O
3065;41;I
3066;57;I
3066;54;O
3075;75;O
3077;68;I
3082;44;I
3082;47;O
3085;32;O
3091;93;O
3095;51;O
3115;33;O
3117;44;I
3121;29;I
3123;33;O
3123;40;O
3125;77;O
3129;45;O
3131;48;I
3137;51;O
3141;80;O
3150;27;O
3150;26;O
3151;29;O
3158;64;O
3170;65;O
3175;55;I
3177;59;O
3178;318;I
3180;88;O
3187;43;I
3193;26;O
3197;40;O
3198;57;O
3198;55;I
3199;79;O
3204;72;I
3213;18;O
3217;45;O
3230;42;O
3233;39;O
3235;39;O
3239;49;I
3243;28;O
3247;38;O
3249;26;O
3254;59;O
3254;52;I
3262;57;O
3263;84;O
3267;53;I
3268;36;O
3270;44;O
3275;47;O
3290;43;O
3294;56;I
3296;64;I
3300;44;O
3314;58;O
3316;43;I
3317;48;I
3321;76;O
3323;17;O
3324;43;O
3335;60;O
3346;43;O
3347;86;O
3352;50;I
3354;59;O
3356;62;O
3358;90;O
3362;41;I
3364;42;I
3368;34;I
3378;30;I
3380;62;O
3383;47;O
3391;51;I
3394;83;O
3394;67;O
3399;54;I
3402;54;O
3402;74;O
3403;73;O
3405;56;I
3427;59;O
3428;52;O
3431;43;O
3431;31;O
3431;39;O
3436;45;O
3440;30;O
3442;51;I
3443;53;I
3450;85;O
3451;96;O
3454;35;O
3460;52;I
3466;70;O
3471;51;O
3479;53;O
3490;36;O
3491;49;O
3498;50;I
3502;33;O
3503;50;O
3508;24;O
3508;26;I
3510;25;O
3512;69;O
3515;23;O
3519;46;I
3520;46;O
3523;27;O
3540;46;O
3542;34;O
3546;25;O
3548;38;I
3553;24;I
3569;64;I
3575;67;O
3592;63;I
3596;15;O
3600;57;O
3603;48;O
3606;55;I
3608;71;O
3614;50;I
3624;60;I
3631;68;O
3631;29;I
3638;60;O
3639;41;I
3640;19;I
3640;57;O
3643;70;O
3648;64;O
3650;39;O
3661;61;O
3665;28;O
3667;48;O
3669;35;I
3671;57;O
3673;74;O
3674;78;O
3676;44;O
3677;38;I
3687;34;O
3687;100;I
3689;64;O
3693;53;O
3695;33;I
3704;68;O
3730;84;O
3731;50;O
3736;65;O
3740;46;O
3741;70;O
3748;32;O
3750;84;O
3760;37;O
3761;65;I
3773;92;O
3774;29;I
3775;18;I
3780;48;I
3785;39;I
3785;39;I
3786;54;O
3786;84;I
3786;50;O
3788;41;O
3793;33;I
3794;82;O
3807;17;O
3808;14;O
3811;66;O
3814;62;O
3819;51;I
3827;55;O
3829;55;O
3829;69;O
3832;73;O
3833;37;O
3838;22;O
3847;43;I
3851;62;O
3851;79;O
3857;41;I
3868;41;O
3878;43;O
3885;46;I
3896;56;O
3897;16;O
3897;71;O
3900;75;I
3909;72;O
3909;65;I
3912;29;O
3913;27;O
3915;41;O
3915;47;O
3923;49;O
3926;59;I
3928;38;O
3932;35;O
3945;26;I
3962;25;O
3962;40;I
3963;15;O
3963;57;I
3974;40;I
3978;39;O
3986;89;O
3988;58;O
3989;42;O
4002;74;I
4005;59;O
4009;46;I
4012;31;I
4013;64;O
4020;70;O
4023;42;I
4025;110;O
4028;84;O
4029;55;O
4036;51;O
4039;54;O
4047;60;I
4047;12;I
4049;69;O
4051;36;O
4052;58;I
4065;58;I
4067;88;I
4070;70;O
4072;20;O
4073;51;O
4083;38;O
4087;19;O
4099;63;O
4100;83;O
4102;40;I
4102;73;O
4105;84;O
4105;46;I
4107;50;O
4111;73;O
4111;55;O
4111;59;I
4113;43;O
4127;61;O
4132;50;O
4136;73;O
4145;72;O
4154;63;O
4169;66;O
4170;65;I
4171;29;I
4173;49;I
4184;56;O
4187;60;O
4195;40;I
4198;53;O
4199;73;I
4206;27;O
4211;56;I
4212;65;O
4213;34;O
4213;107;O
4214;38;O
4221;78;I
4223;46;I
4233;65;I
4234;47;I
4234;58;O
4236;20;O
4243;38;I
4252;39;O
4253;39;O
4262;60;O
4265;51;I
4268;37;O
4268;65;O
4269;69;O
4276;66;O
4285;59;I
4287;34;O
4293;80;O
4296;52;I
4299;59;O
4311;72;O
4312;65;O
4313;71;O
4318;44;I
4326;39;O
4357;44;I
4364;20;O
4369;17;O
4369;72;O
4370;33;I
4370;50;O
4376;63;O
4377;37;O
4384;71;I
4385;52;I
4387;64;O
4393;42;O
4395;36;O
4400;62;I
4400;84;O
4404;43;O
4405;29;O
4407;69;O
4415;118;O
4416;34;I
4418;37;O
4419;60;I
4431;80;O
4434;57;O
4437;42;O
4442;53;O
4443;78;O
4445;30;I
4445;68;O
4446;48;I
4449;52;O
4459;23;O
4465;68;O
4469;60;I
4477;54;O
4486;48;O
4490;50;O
4497;47;O
4500;45;I
4510;62;O
4510;60;I
4512;38;O
4512;56;O
4514;51;I
4521;31;O
4522;37;I
4525;26;O
4541;50;O
4557;37;O
4557;45;I
4565;92;O
4571;74;I
4575;28;O
4576;53;I
4577;53;I
4587;46;O
4589;50;I
4590;63;O
4592;66;O
4594;60;O
4602;88;O
4605;29;O
4606;23;I
4609;50;O
4618;34;I
4619;46;O
4627;36;O
4632;46;I
4633;84;O
4634;49;O
4636;78;O
4646;38;O
4653;53;I
4655;30;I
4656;35;O
4657;56;O
4661;26;O
4665;34;O
4669;38;I
4671;81;O
4682;70;O
4688;40;O
4692;30;I
4693;25;I
4695;54;O
4698;46;O
4702;81;O
4707;53;I
4708;26;O
4709;57;O
4710;56;O
4711;25;I
4719;81;O
4739;40;I
4742;48;O
4754;41;I
4757;60;I
4762;62;O
4764;61;O
4766;49;O
4786;53;O
4787;56;I
4787;58;I
4794;26;O
4795;74;O
4796;67;O
4801;48;O
4812;58;O
4814;60;I
4815;55;O
4817;59;I
4821;43;O
4826;65;O
4827;26;I
4837;49;O
4837;57;O
4840;31;O
4842;63;O
4842;80;O
4843;56;O
4855;40;I
4867;63;I
4869;19;O
4870;52;O
4876;26;O
4879;24;I
4879;78;O
4893;53;O
4896;35;O
4901;54;I
4902;40;O
4906;75;I
4907;103;O
4914;22;I
4922;29;O
4927;51;O
4935;36;O
4940;44;O
4941;55;O
4949;48;I
4952;68;O
4955;46;I
4956;53;O
4959;75;O
4961;72;O
4961;40;O
4964;52;I
4970;24;I
4976;120;I
4979;26;O
4980;52;O
4980;58;O
4980;43;O
4989;73;I
4999;54;O
5012;116;O
5019;47;O
5021;111;I
5028;56;O
5029;43;O
5031;27;I
5032;60;O
5032;63;O
5036;21;O
5048;33;I
5049;78;O
5054;53;O
5055;76;O
5064;21;O
5083;41;I
5088;64;I
5088;44;O
5097;52;O
5100;77;I
5104;58;O
5106;78;O
5112;54;O
5112;78;I
5114;40;O
5114;57;O
5115;51;O
5121;81;O
5123;59;I
5135;61;O
5137;74;O
5144;57;I
5145;22;O
5146;50;I
5147;38;I
5151;20;O
5153;76;O
5158;65;I
5160;40;O
5177;47;I
5182;74;O
5183;53;O
5184;59;O
5188;69;O
5191;42;O
5193;50;I
5194;57;O
5202;69;O
5205;49;O
5206;67;O
5206;76;O
5212;56;I
5226;43;O
5226;48;I
5235;55;O
5240;34;O
5242;40;O
5245;47;I
5269;73;I
5272;26;I
5276;75;I
5278;50;O
5279;54;O
5279;64;O
5284;51;O
5287;50;I
5308;65;O
5309;70;O
5310;83;I
5313;67;O
5316;66;O
5316;52;O
5317;43;I
5319;38;O
5319;48;O
5320;68;O
5321;60;O
5332;84;O
5337;57;I
5345;87;O
5350;51;O
5350;69;I
5352;45;I
5356;43;I
5356;38;I
5358;44;I
5361;44;O
5387;68;O
5388;31;O
5390;66;O
5391;49;O
5392;39;O
5395;35;O
5400;38;I
5410;21;O
5416;43;O
5419;68;I
5420;54;I
5421;50;I
5429;46;O
5430;68;O
5434;42;I
5443;83;O
5448;20;O
5451;31;O
5462;58;O
5464;50;I
5465;65;O
5466;49;I
