#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;189.17;0.24;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.14,RP/0
59.98;289.67;37.64;PP/0.25,TA/34.4,IS/0,PS/34.28,RB/0.01,OB/0.14,RP/0
119.99;310.82;41.4;PP/0.4,TA/35.73,IS/0,PS/35.59,RB/0.01,OB/0.7,RP/0
179.91;328.46;44.61;PP/0.54,TA/37.29,IS/0,PS/37.12,RB/0.01,OB/0.98,RP/0
239.93;361.8;49.97;PP/0.71,TA/40.66,IS/0,PS/40.47,RB/0.01,OB/1.4,RP/0
299.95;382.5;55.13;PP/0.85,TA/42.64,IS/0,PS/42.44,RB/0.01,OB/2.29,RP/0
359.93;385.7;59.08;PP/1.03,TA/43.8,IS/0.01,PS/43.58,RB/0.01,OB/2.98,RP/0
419.94;387.42;63.43;PP/1.15,TA/46.06,IS/0.01,PS/45.82,RB/0.01,OB/3.93,RP/0
479.99;388.59;66.55;PP/1.3,TA/46.95,IS/0.01,PS/46.69,RB/0.01,OB/4.89,RP/0
539.81;387.98;70.7;PP/1.45,TA/48.89,IS/0.01,PS/48.62,RB/0.01,OB/5.84,RP/0
599.98;389.93;74.31;PP/1.58,TA/50.09,IS/0.01,PS/49.8,RB/0.01,OB/6.93,RP/0
659.9;395.24;79.7;PP/1.71,TA/53.23,IS/0.01,PS/52.93,RB/0.01,OB/8.2,RP/0
719.96;361.91;83.73;PP/1.86,TA/54.14,IS/0.01,PS/53.81,RB/0.01,OB/9.1,RP/0
779.85;361.41;88.83;PP/2.03,TA/57.38,IS/0.01,PS/57.04,RB/0.01,OB/9.89,RP/0
839.9;363.1;91.78;PP/2.14,TA/59.01,IS/0.01,PS/58.65,RB/0.01,OB/10.68,RP/0
899.98;358.29;97.57;PP/2.29,TA/61.17,IS/0.01,PS/60.79,RB/0.01,OB/11.46,RP/0
959.96;358.63;101.53;PP/2.44,TA/63.59,IS/0.01,PS/63.2,RB/0.01,OB/12.11,RP/0
1019.99;358.89;104.19;PP/2.58,TA/64.49,IS/0.01,PS/64.08,RB/0.01,OB/12.87,RP/0
1079.98;358.68;107.42;PP/2.71,TA/64.8,IS/0.01,PS/64.37,RB/0.01,OB/13.74,RP/0
1139.75;366.18;111.79;PP/2.88,TA/66.23,IS/0.01,PS/65.79,RB/0.01,OB/14.69,RP/0
1199.89;375.49;117.28;PP/3.03,TA/69.19,IS/0.01,PS/68.73,RB/0.01,OB/15.82,RP/0
1259.93;373.35;120.32;PP/3.18,TA/70.12,IS/0.01,PS/69.65,RB/0.01,OB/16.95,RP/0
