#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
52.13;9;52.13;52.13;-7147.87
63.53;8;63.53;63.53;-3536.47
90.25;1;90.25;90.25;-3509.75
101.43;9;101.43;101.43;-7098.57
103.6;8;103.6;103.6;-7096.4
107.17;6;107.17;107.17;-7092.84
108.73;5;108.73;108.73;-7091.27
116.56;11;116.56;116.56;-3483.44
126.05;6;126.05;126.05;-7073.95
129.03;10;129.03;129.03;-7070.97
144.25;6;144.25;144.25;-7055.75
147.25;0;147.25;147.25;-7052.75
148.91;5;148.91;148.91;-7051.09
158.98;5;158.98;158.98;-7041.02
165.09;4;165.09;165.09;-7034.91
170.12;1;170.12;170.12;-7029.88
171.21;7;171.21;171.21;-7028.79
174.57;6;174.57;67.36;-3425.43
189.33;5;189.33;80.41;-7010.67
210.24;1;210.24;119.94;-6989.76
214.08;9;214.08;161.9;-6985.92
224.03;8;224.03;160.31;-6975.97
228.47;10;228.47;228.47;-6971.53
238.76;7;238.76;238.76;-3361.24
239.08;11;239.08;239.08;-6960.92
245.35;4;245.35;80.18;-3354.65
257.09;6;257.09;112.57;-6942.91
258.53;10;258.53;258.53;-6941.47
279.29;11;279.29;279.29;-3320.71
280.39;0;280.39;280.39;-6919.61
287.19;6;287.19;112.55;-6912.81
292.38;10;292.38;292.38;-6907.62
294.06;5;294.06;144.98;-6905.94
297.41;6;297.41;297.41;-6902.59
299.64;7;299.64;128.38;-6900.36
305.1;3;305.1;305.1;-6894.9
306.89;4;306.89;306.89;-6893.11
309.54;11;309.54;70.42;-6890.46
312.24;8;312.24;88.12;-6887.76
316.87;5;316.87;316.87;-6883.13
317.6;6;317.6;60.3;-6882.4
326.92;5;326.92;167.72;-6873.08
342.51;10;342.51;83.93;-6857.49
347.04;5;347.04;52.94;-6852.96
350.47;0;350.47;350.47;-3249.53
352.42;10;352.42;223.35;-6847.58
356.97;4;356.97;111.38;-6843.03
375.02;6;375.02;375.02;-6824.98
375.25;0;375.25;375.25;-6824.75
376.23;1;376.23;165.95;-6823.77
377.61;5;377.61;377.61;-3222.39
379.83;11;379.83;70.24;-3220.17
387.1;4;387.1;80.04;-6812.9
387.81;2;387.81;387.81;-6812.19
396.63;9;396.63;396.63;-3203.37
396.9;1;396.9;396.9;-6803.1
397.14;4;397.14;397.14;-3202.86
402.45;10;122.01;110.02;-7077.99
405.32;0;405.32;124.88;-6794.68
429.03;2;429.03;429.03;-6770.97
437.21;4;437.21;80.17;-6762.79
442.02;11;315.8;162.69;-6884.2
442.75;10;442.75;100.2;-6757.25
455.63;6;455.63;455.63;-6744.37
456.82;0;456.82;456.82;-6743.18
457.12;4;457.12;69.98;-6742.88
472.02;11;159.73;92.13;-7040.27
476.06;9;476.06;476.06;-6723.94
477.03;3;477.03;171.88;-6722.97
488.03;2;488.03;100.18;-6711.97
492.71;4;492.71;492.71;-3107.29
496.78;0;496.78;121.35;-6703.22
502.83;10;105.64;100.12;-7094.36
518.26;2;131.12;89.12;-7068.88
522.43;11;522.43;405.79;-6677.57
526.12;9;526.12;526.12;-6673.88
532.7;11;532.7;60.52;-3067.3
537;0;537;389.54;-3063
540.25;5;436.61;162.59;-6763.39
542.76;11;542.76;542.76;-6657.24
552.81;4;177.38;115.55;-7022.62
554.17;10;554.17;554.17;-6645.83
556.83;7;556.83;556.83;-3043.17
556.92;0;407.83;100.05;-6792.17
558.41;2;101.1;70.25;-7098.9
562.8;11;562.8;40.32;-3037.2
583.04;4;140.98;125.74;-7059.03
584.18;6;584.18;286.73;-6615.82
584.52;2;584.52;584.52;-6615.48
584.56;10;584.56;141.71;-6615.44
589.95;1;589.95;589.95;-6610.05
603.12;11;603.12;60.31;-6596.88
607.19;0;607.19;607.19;-6592.81
608.34;8;608.34;608.34;-2991.66
624.58;2;624.58;106.18;-6575.42
624.65;10;41.53;40;-3558.47
644.7;2;644.7;86.23;-2955.3
645.67;11;123.19;112.93;-7076.81
647.34;8;647.34;647.34;-6552.66
648.86;7;648.86;648.86;-6551.14
653.35;4;653.35;160.6;-6546.65
667.27;5;374.84;340.3;-3225.16
667.47;8;124.66;59.09;-7075.34
669.46;0;669.46;112.32;-2930.54
680.39;7;680.39;123.51;-6519.61
684.92;10;100.27;60.22;-7099.73
694.8;10;317.15;191.78;-6882.85
710.48;7;710.48;61.4;-2889.52
717.38;5;717.38;370.28;-6482.62
719.51;1;719.51;719.51;-6480.49
725.06;10;44.63;40.1;-3555.37
726.8;0;726.8;376.25;-2873.2
727.47;5;727.47;538.09;-6472.53
729.23;1;677.05;352.95;-6522.95
730.57;2;730.57;146.01;-6469.43
733.6;9;562.34;519.47;-6637.66
735.78;11;735.78;90.07;-6464.22
736.61;8;736.61;736.61;-6463.39
738.48;6;281.6;154.25;-6918.4
742.91;4;742.91;190.06;-6457.09
746.97;0;746.97;77.46;-6453.03
749.57;1;749.57;30.02;-6450.43
750.51;7;526.39;39.99;-6673.61
