Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;13.50;0.50;502;0;80;62.8835498597783;460.791338716204;30.1318542494937;150.605093791413;6.275;23818.6243573208;28800
InputStation1;23.50;0.50;539;0;86;62.5869690408003;392.438678896352;30.0763924853591;110.560461764142;6.26744186046512;23445.1561460803;28800
InputStation2;33.50;0.50;415;0;65;63.6445282775012;461.177226699781;30.1333333333341;130.766666666667;6.38461538461539;24678.5510767291;28800
InputStation3;43.50;0.50;399;0;64;61.9702143556467;324.254368571793;30.152777777781;110.361111111111;6.234375;24839.2476050307;28800
InputStation4;53.50;0.50;390;0;65;59.4788662232667;325.391154892289;30.0583333333348;100.676111111111;6;24927.7407530803;28800
InputStation5;63.50;0.50;533;0;84;63.099000328359;328.662422576316;30.0861111111108;110.397871569191;6.34523809523809;23509.1480016456;28800
OutputStation0;81.50;11.50;2328;1593;508;47.2343822085229;666.906823508155;10.0444444444438;142.763888888893;4.58267716535433;5526.93060193811;28800
OutputStation1;81.50;17.50;2196;1490;486;46.5441083478048;584.02072464178;10.0444444444438;140.943614707572;4.51851851851852;6840;28800
OutputStation2;81.50;23.50;1907;1316;420;46.1652664236817;625.205278121931;10.0444444444438;133.147222222189;4.54047619047619;9733.45837971589;28800
OutputStation3;81.50;29.50;2248;1511;503;46.1004432634141;578.740417343536;10.0444444444438;132.877777777765;4.46918489065606;6323.21671304922;28800
OutputStation4;81.50;35.50;2293;1563;517;45.7242958907707;600.694673727247;10.0444444444438;143.875000000005;4.43520309477756;5872.68134507651;28800
OutputStation5;81.50;41.50;2371;1649;513;47.5093314613141;561.507160660705;10.0444444444438;120.613888888882;4.62183235867446;5096.46115749366;28800
OutputStation6;0.50;14.50;2369;1634;519;47.052536476048;593.062919201467;10.0444444444438;133.436760458062;4.5645472061657;5114.20560193812;28800
OutputStation7;0.50;20.50;1902;1350;415;46.7435980750252;602.762932074121;10.0444444444438;143.591666666654;4.58313253012048;9785.83893527145;28800
OutputStation8;0.50;26.50;1869;1270;428;44.5279953306123;486.062257219684;10.0444444444438;112.569444444434;4.36682242990654;10110;28800
OutputStation9;0.50;32.50;2218;1490;507;45.0703808193595;616.065429821279;10.0444444444438;170.766666666634;4.37475345167653;6623.32504638256;28800
OutputStation10;0.50;38.50;2369;1605;518;47.0192326032679;607.810434506068;10.0444444444438;122.10194804089;4.57335907335907;5117.75004638255;28800
OutputStation11;0.50;44.50;2313;1581;501;47.5917869332067;691.975046986996;10.0444444444438;172.454076471682;4.61676646706587;5678.24736239621;28800
