#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
52.13;9;52.13;52.13;-7147.87
63.53;8;63.53;63.53;-3536.47
90.23;1;90.23;90.23;-3509.77
101.49;9;101.49;101.49;-7098.51
103.58;8;103.58;103.58;-7096.42
106.95;6;106.95;106.95;-7093.05
108.82;5;108.82;108.82;-7091.18
116.72;11;116.72;116.72;-3483.28
126.02;6;126.02;126.02;-7073.98
129.18;10;129.18;129.18;-7070.82
144.46;6;144.46;144.46;-7055.54
147.68;0;147.68;147.68;-7052.32
148.9;5;148.9;148.9;-7051.1
162.63;5;162.63;162.63;-7037.37
163.65;8;163.65;60.03;-7036.35
166.62;1;166.62;166.62;-7033.38
168.62;4;168.62;168.62;-7031.38
170.53;7;170.53;170.53;-7029.47
204.39;6;204.39;78.32;-3395.61
206.78;1;206.78;116.51;-6993.22
214.95;11;214.95;214.95;-6985.05
217.37;9;217.37;165.19;-6982.63
222.84;5;222.84;73.89;-6977.16
240.25;2;240.25;240.25;-6959.75
242.59;0;242.59;94.86;-6957.41
245.47;11;245.47;245.47;-6954.53
254.32;10;254.32;254.32;-6945.68
265.56;11;265.56;148.79;-6934.44
275.67;11;275.67;275.67;-3324.33
282.72;5;282.72;173.85;-6917.28
