Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;13.50;0.50;26;0;1;120.507683986365;0;120.507683986365;120.507683986365;26;47.7911977096023;300
InputStation1;23.50;0.50;24;0;2;100.361435784595;201.991948336761;90.3117604580796;110.411111111111;12;67.2338960818106;300
InputStation2;33.50;0.50;26;0;2;125.494444444444;50.3208595030265;120.478427124746;130.510461764143;13;50.0612843080936;300
InputStation3;43.50;0.50;21;0;2;90.4575937914129;805.282862751249;70.3916666666668;110.523520916159;10.5;91.7118470565706;300
InputStation4;53.50;0.50;17;0;1;70.3555555555556;0;70.3555555555556;70.3555555555556;17;131.245187582826;300
InputStation5;63.50;0.50;22;0;2;80.3281024512621;201.657098048099;70.2867604580796;90.3694444444445;11;85.667958167682;300
OutputStation0;81.50;11.50;9;2;4;12.6022691179286;24.7192362075702;10.0444444444445;20.0590764717147;2.25;210.48639248535;300
OutputStation1;81.50;17.50;13;8;2;35.1135642154047;1256.9215321815;10.0444444444445;60.182683986365;6.5;170;300
OutputStation2;81.50;23.50;6;0;3;13.4335497823228;33.0353617895564;10.0645382358573;20.0700937914129;2;240;300
OutputStation3;81.50;29.50;6;0;3;17.2619432456241;23.5140201646086;11.6626839863649;20.0771284308092;2;245.136111111111;300
OutputStation4;81.50;35.50;14;3;4;30.3519209965912;320.145655007671;11.0305555555555;50.1132395419205;3.5;167.053059152016;300
OutputStation5;81.50;41.50;19;10;4;46.068704902524;1988.74179936521;20.0444444444444;112.465836929794;4.75;116.894076471715;300
OutputStation6;0.50;14.50;19;12;4;42.7473160136351;1568.23192926012;10.0444444444445;90.4818542494925;4.75;117.61139248535;300
OutputStation7;0.50;20.50;12;5;3;36.8626863840054;939.34698819546;10.1972222222222;70.3463924853495;4;180;300
OutputStation8;0.50;26.50;16;8;3;40.131697930471;302.1213510803;20.0611111111111;50.1700937914129;5.33333333333333;142.266666666667;300
OutputStation9;0.50;32.50;13;7;3;36.7722222222222;2143.12231481482;10.0444444444444;90.2277777777778;4.33333333333333;174.197503596461;300
OutputStation10;0.50;38.50;14;4;5;24.4483520916159;245.037556937145;10.0444444444445;41.8868542494924;2.8;162.471673859588;300
OutputStation11;0.50;44.50;12;6;4;20.0959956700754;201.9821547116;10.0478715691906;40.1999999999999;3;189.591948040905;300
