#TimeStamp;TripTime;Type
17;6;I
22;9;O
34;24;I
36;24;O
36;26;I
40;27;O
40;18;O
41;29;I
41;30;I
44;30;I
46;33;I
48;29;O
49;33;O
51;33;O
52;42;I
57;37;O
57;31;O
59;34;I
59;42;O
61;27;O
64;44;I
64;39;O
65;47;I
66;31;O
68;37;O
73;36;O
73;54;I
73;55;O
74;38;O
76;58;I
79;46;O
81;38;O
83;46;O
84;48;O
86;53;O
86;57;I
90;48;O
92;55;O
92;78;I
97;53;O
105;74;O
105;50;O
111;85;O
117;37;I
117;31;O
122;39;O
123;13;I
130;79;O
131;37;O
132;39;I
139;47;O
143;16;O
146;89;O
146;21;O
147;39;I
149;28;O
157;35;O
162;39;O
165;39;O
168;41;I
169;46;O
169;24;I
170;37;O
173;29;I
177;35;O
178;45;O
179;36;O
183;53;O
184;38;O
185;23;I
187;31;O
188;21;I
196;38;O
199;21;O
200;30;O
211;50;O
214;43;O
214;45;I
217;22;I
219;44;O
219;24;I
223;37;O
226;21;O
232;21;O
235;60;O
242;26;O
243;60;I
244;32;O
248;19;O
250;31;O
266;62;O
266;36;I
266;24;O
267;48;I
268;36;O
273;41;O
274;57;O
281;33;I
282;25;O
283;35;I
286;25;O
292;56;O
295;24;I
298;33;I
299;32;O
300;40;I
303;15;O
306;25;O
308;41;I
314;31;I
315;28;I
316;30;O
318;57;O
320;68;I
330;41;I
332;13;O
334;58;O
341;42;I
342;29;O
344;37;I
350;30;I
357;31;I
361;38;I
362;22;O
365;42;O
370;39;O
373;16;I
375;33;I
376;41;I
381;56;O
386;36;I
397;48;O
398;20;I
406;33;O
408;38;I
412;39;I
417;41;O
418;33;I
420;38;O
425;47;O
425;27;O
434;60;O
435;67;O
436;29;I
436;31;O
441;26;O
442;37;I
444;25;I
445;45;O
446;33;O
446;36;O
471;16;O
474;21;O
479;44;O
489;48;O
499;43;O
505;42;O
510;47;O
515;42;O
518;35;O
520;17;O
526;21;O
534;42;O
535;31;I
536;35;O
538;24;O
541;37;O
541;36;O
543;25;O
545;23;I
549;38;O
554;26;O
572;63;O
575;27;O
584;45;O
584;34;O
584;44;O
594;44;O
596;44;O
597;26;I
612;19;O
615;35;O
617;21;O
619;38;O
621;33;O
624;31;O
626;30;O
627;34;O
628;28;O
630;29;O
636;47;O
640;32;O
640;38;O
644;44;O
646;62;O
670;22;O
680;25;O
681;24;I
685;27;O
685;24;O
688;38;O
695;34;O
703;47;O
721;58;O
731;52;O
731;38;O
732;24;O
736;24;O
741;27;O
744;23;O
749;51;O
755;34;O
756;33;O
757;31;O
758;52;O
758;35;O
760;8;O
778;57;O
785;40;O
787;23;O
788;33;O
788;29;O
792;58;O
794;10;O
807;31;O
820;32;O
821;42;O
832;25;O
835;34;O
844;27;O
855;18;O
858;29;O
863;15;O
876;23;O
888;29;O
892;40;O
900;42;O
904;42;O
914;24;O
923;32;O
926;47;O
931;57;O
935;25;O
938;32;O
947;44;O
950;26;O
951;51;O
956;31;O
964;63;O
964;40;O
970;41;O
983;23;O
994;45;O
1000;45;O
1006;25;O
1008;36;O
1019;38;O
1028;20;O
1048;39;O
1052;35;I
1055;42;O
1063;26;O
1064;29;O
1065;55;O
1066;49;O
1069;55;O
1078;50;O
1079;56;O
1083;67;O
1092;33;O
1099;36;O
1103;46;O
1110;43;O
1115;38;O
1116;32;O
1127;37;O
1136;68;O
1141;45;O
1146;33;O
1148;41;O
1149;37;O
1176;24;O
1192;27;I
1194;27;O
1212;41;O
1220;64;O
1222;48;O
1228;28;O
1233;16;O
