#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/45,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.92;8;None/0,ParkPod/2,RepositionPod/0,Insert/7,Extract/28,Rest/8
119.96;19;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/27,Rest/6
179.95;18;None/0,ParkPod/2,RepositionPod/0,Insert/9,Extract/28,Rest/6
239.97;21;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/29,Rest/4
299.91;22;None/0,ParkPod/1,RepositionPod/0,Insert/9,Extract/29,Rest/6
359.69;22;None/0,ParkPod/1,RepositionPod/0,Insert/8,Extract/30,Rest/6
419.81;20;None/0,ParkPod/6,RepositionPod/0,Insert/9,Extract/25,Rest/5
479.94;16;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/27,Rest/4
539.76;22;None/0,ParkPod/1,RepositionPod/0,Insert/9,Extract/29,Rest/6
599.88;23;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/27,Rest/4
659.86;24;None/0,ParkPod/0,RepositionPod/0,Insert/11,Extract/30,Rest/4
719.89;23;None/0,ParkPod/7,RepositionPod/0,Insert/10,Extract/25,Rest/3
779.76;26;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/29,Rest/3
839.98;26;None/0,ParkPod/4,RepositionPod/0,Insert/12,Extract/27,Rest/2
899.93;25;None/0,ParkPod/4,RepositionPod/0,Insert/12,Extract/27,Rest/2
959.99;22;None/0,ParkPod/3,RepositionPod/0,Insert/12,Extract/27,Rest/3
1019.91;21;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/30,Rest/2
1079.82;23;None/0,ParkPod/1,RepositionPod/0,Insert/12,Extract/29,Rest/3
1139.95;24;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/27,Rest/3
1199.61;22;None/0,ParkPod/3,RepositionPod/0,Insert/12,Extract/27,Rest/3
1259.95;25;None/0,ParkPod/0,RepositionPod/0,Insert/12,Extract/30,Rest/3
1319.82;24;None/0,ParkPod/5,RepositionPod/0,Insert/12,Extract/26,Rest/2
1379.73;25;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/28,Rest/3
1439.88;22;None/0,ParkPod/3,RepositionPod/0,Insert/12,Extract/27,Rest/3
1499.91;26;None/0,ParkPod/2,RepositionPod/0,Insert/13,Extract/28,Rest/2
1559.94;25;None/0,ParkPod/4,RepositionPod/0,Insert/12,Extract/28,Rest/1
1619.93;23;None/0,ParkPod/2,RepositionPod/0,Insert/12,Extract/29,Rest/2
1679.97;22;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/28,Rest/2
1739.97;21;None/0,ParkPod/2,RepositionPod/0,Insert/13,Extract/28,Rest/2
1799.96;26;None/0,ParkPod/4,RepositionPod/0,Insert/12,Extract/27,Rest/2
1859.95;24;None/0,ParkPod/3,RepositionPod/0,Insert/13,Extract/28,Rest/1
1919.75;24;None/0,ParkPod/4,RepositionPod/0,Insert/13,Extract/27,Rest/1
1979.96;25;None/0,ParkPod/0,RepositionPod/0,Insert/12,Extract/30,Rest/3
2039.87;22;None/0,ParkPod/4,RepositionPod/0,Insert/12,Extract/26,Rest/3
2100;24;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/30,Rest/1
2159.97;23;None/0,ParkPod/2,RepositionPod/0,Insert/12,Extract/30,Rest/1
2219.99;23;None/0,ParkPod/5,RepositionPod/0,Insert/12,Extract/28,Rest/0
2279.95;21;None/0,ParkPod/5,RepositionPod/0,Insert/13,Extract/27,Rest/0
2339.93;24;None/0,ParkPod/3,RepositionPod/0,Insert/13,Extract/28,Rest/1
2399.58;24;None/0,ParkPod/0,RepositionPod/0,Insert/14,Extract/30,Rest/1
2459.85;27;None/0,ParkPod/2,RepositionPod/0,Insert/14,Extract/29,Rest/0
2519.92;25;None/0,ParkPod/4,RepositionPod/0,Insert/13,Extract/28,Rest/0
2580;26;None/0,ParkPod/3,RepositionPod/0,Insert/13,Extract/28,Rest/1
2639.99;25;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/29,Rest/3
2699.93;23;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/28,Rest/5
2759.99;17;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/27,Rest/9
2819.99;20;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/32,Rest/10
2879.99;21;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/41,Rest/0
2939.87;32;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/44,Rest/0
2999.88;31;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/42,Rest/0
3059.96;32;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/43,Rest/0
3119.97;28;None/0,ParkPod/2,RepositionPod/0,Insert/1,Extract/41,Rest/1
3179.89;28;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/40,Rest/0
3239.96;26;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/42,Rest/1
3299.99;33;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/44,Rest/0
3359.86;28;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/43,Rest/0
3419.76;32;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/43,Rest/0
3479.85;33;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/43,Rest/0
3539.85;30;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/44,Rest/0
3599.82;34;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/41,Rest/0
3659.95;30;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/44,Rest/0
3719.97;33;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/44,Rest/0
3779.99;32;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/42,Rest/0
3839.98;30;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/43,Rest/1
3899.93;31;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/42,Rest/0
3959.99;32;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/42,Rest/0
4019.96;32;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/42,Rest/0
4079.94;30;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/42,Rest/0
4139.9;31;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/43,Rest/1
4199.79;31;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/42,Rest/0
4259.92;33;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/43,Rest/0
4319.9;31;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/44,Rest/0
4379.92;31;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/43,Rest/0
4439.89;31;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/44,Rest/0
4499.89;34;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/42,Rest/0
4559.78;31;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/42,Rest/0
4619.92;28;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/39,Rest/1
4679.88;30;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/45,Rest/0
4739.97;31;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/41,Rest/0
4799.96;31;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/42,Rest/0
4860;32;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/41,Rest/0
4919.82;33;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/44,Rest/0
4979.98;33;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/42,Rest/0
5039.92;30;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/44,Rest/0
5099.97;31;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/43,Rest/1
5159.76;36;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/43,Rest/0
