#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;300;0;0;0;0;0;0.38
59.92;200;300;56.48;59.09;59.92;59.92;0.33;0.38
119.96;200;300;94.9;110.81;119.96;119.96;0.33;0.37
179.95;200;300;104.48;159.37;179.95;179.95;0.34;0.37
239.97;200;300;110.04;201.81;239.97;236.81;0.33;0.37
299.91;200;300;130.7;245.52;299.91;296.76;0.32;0.36
359.69;200;300;121.27;285.54;359.69;356.54;0.31;0.36
419.81;200;300;124.33;313.27;419.81;419.81;0.3;0.36
479.94;200;300;107.84;334.79;479.94;467.19;0.3;0.38
539.76;200;300;125.18;353.01;539.75;523.25;0.3;0.39
599.88;200;300;130.92;370.46;599.86;568.52;0.34;0.37
659.86;200;300;132.45;387.4;659.83;602.8;0.38;0.38
719.89;200;300;139.2;415.68;719.85;638.91;0.37;0.37
779.76;200;300;121;432.39;770.43;689.79;0.37;0.38
839.98;200;300;110.98;452.24;801.43;750.06;0.39;0.38
899.93;200;300;102.35;458.63;820.15;791.49;0.34;0.4
959.99;200;300;95.29;468.59;818.78;856.74;0.33;0.38
1019.91;200;300;114.2;432.08;840.81;872.64;0.31;0.37
1079.82;200;300;122.31;462.4;845.53;923.24;0.29;0.38
1139.95;200;300;127.28;494.52;846.92;940.27;0.32;0.37
1199.61;200;300;116.25;512.81;837.85;996.62;0.35;0.38
1259.95;200;300;105.6;535.17;825.42;1020.88;0.37;0.37
1319.82;200;300;104.11;575.93;821.02;1090.3;0.38;0.38
1379.73;200;300;113.44;556.65;822.37;1121.38;0.37;0.38
1439.88;200;300;131.83;549.95;833.7;1184.95;0.34;0.37
1499.91;200;300;134.93;546.68;834.93;1184.26;0.32;0.37
1559.94;200;300;124.39;571.4;822.26;1260.51;0.3;0.37
1619.93;200;300;117.69;582.34;818.4;1331.12;0.31;0.38
