#TimeStamp;TripTime;Type
25;19;I
30;20;O
33;15;O
34;17;O
34;20;O
37;22;O
38;16;O
39;27;I
40;26;O
41;23;O
44;26;O
44;22;O
47;33;I
50;27;O
53;35;I
53;36;I
55;29;O
58;31;O
58;41;O
58;34;O
60;48;O
61;41;I
63;35;O
64;41;O
65;42;O
67;40;O
68;48;O
70;32;O
73;44;O
75;45;O
80;46;O
81;52;O
81;52;O
82;50;O
82;34;I
91;63;O
98;65;O
110;12;O
113;34;I
117;32;O
127;34;I
137;18;O
138;47;O
144;26;O
146;30;O
147;13;O
150;35;O
155;26;O
169;59;O
183;45;O
193;40;O
200;23;O
202;20;O
203;37;I
203;12;O
205;32;I
206;28;I
222;16;O
223;39;O
226;43;O
253;19;O
256;31;O
274;52;O
276;34;O
281;16;I
284;27;I
286;34;O
291;31;I
299;37;O
299;50;O
311;40;O
328;12;O
329;51;O
333;29;O
340;23;O
354;51;O
365;27;I
370;23;O
380;43;O
387;33;O
393;44;O
407;46;O
418;43;O
423;26;O
424;39;I
430;26;O
437;36;I
439;30;I
440;21;O
465;28;O
471;25;O
480;53;O
481;24;O
487;33;O
493;25;O
500;55;O
510;25;I
513;50;O
514;25;O
514;39;I
523;25;O
523;29;I
524;25;O
536;26;O
543;28;O
543;40;O
543;27;I
545;35;O
576;35;O
587;30;I
591;40;O
592;25;I
600;38;O
604;15;O
605;43;O
606;28;I
615;14;O
625;12;O
645;28;O
655;22;O
663;22;O
669;28;O
680;51;I
681;39;O
681;43;I
685;46;O
698;38;O
701;43;I
716;20;I
725;31;O
734;15;O
735;25;O
746;8;O
754;15;O
756;34;I
759;19;O
765;53;O
775;22;O
792;36;I
792;43;O
801;25;O
812;40;I
815;27;O
825;38;I
840;19;O
854;31;O
872;27;I
872;12;O
875;11;O
880;34;I
883;36;I
893;35;O
900;29;O
906;19;O
935;17;I
948;42;O
949;30;O
952;13;O
957;42;O
957;41;I
958;21;O
964;28;O
976;46;I
982;43;O
987;14;I
990;25;I
1010;29;I
1012;47;O
1031;39;O
1041;45;O
1042;21;I
1046;27;O
1048;43;O
1048;26;O
1058;37;O
1059;73;O
1078;41;O
1080;39;O
1080;44;O
1080;19;O
1082;33;I
1099;37;I
1107;34;O
1116;27;O
1119;16;O
1128;26;I
1142;44;O
1145;34;I
1157;48;O
1167;40;O
1179;56;I
1186;39;O
1203;26;O
1205;28;O
1209;36;O
1210;31;I
1218;42;O
1219;27;I
1225;26;I
1229;37;O
1237;47;O
1242;26;O
1254;23;O
1265;22;O
1269;21;O
1278;26;I
1278;25;I
1278;38;O
1282;18;O
1282;35;I
1300;25;O
1346;15;O
1350;40;O
1351;41;I
1351;16;O
1356;36;I
1356;15;O
1372;35;I
1378;44;O
1384;29;I
1394;35;O
1394;24;O
1396;44;O
1411;42;I
1424;38;O
1435;18;O
1448;20;O
1449;15;O
1451;41;O
1452;46;O
1454;44;I
1468;10;O
1475;35;I
1476;28;O
1479;36;I
1481;38;O
1493;27;I
1494;21;O
1519;19;I
1529;8;O
1530;48;O
1539;21;O
1543;43;O
1546;39;O
1548;13;O
1549;41;O
1556;38;O
1562;25;I
1591;29;I
1602;40;I
1609;41;O
1611;37;O
1612;36;O
1636;40;O
1644;68;O
1645;31;I
1649;28;I
1655;28;O
1657;37;O
1661;11;O
1661;55;O
1679;19;O
1680;29;I
1691;50;O
1691;42;O
1691;40;O
1703;25;O
1713;27;I
1734;25;O
1737;49;O
1745;53;I
1747;16;O
1761;37;I
1767;33;I
1768;49;O
1773;56;O
1777;27;O
1777;37;I
1784;35;O
1786;45;I
1788;52;O
1789;23;I
1807;38;O
1813;23;O
1829;45;O
1846;40;O
1850;22;O
1851;39;I
1858;45;O
1862;37;O
1864;29;I
1872;9;O
1874;26;O
1877;26;I
1880;38;O
1893;43;O
1906;40;I
1908;35;O
1917;27;O
1926;34;O
1931;40;I
1951;49;O
1956;20;O
1962;38;I
1967;36;I
1968;47;O
1975;23;O
1983;35;O
1983;19;I
1986;33;O
1993;68;O
1993;25;O
1997;43;I
2019;27;O
2026;43;O
2039;22;I
2041;44;I
2052;22;I
2059;39;O
2075;40;O
2077;25;O
2080;26;O
2084;39;O
2092;25;O
2102;31;I
2103;46;O
2122;42;O
2126;43;O
2126;37;O
2127;46;I
2128;26;O
2139;41;I
2147;26;I
2177;34;I
2178;12;I
2179;31;O
2180;51;O
2194;25;O
2200;44;O
2201;37;O
2204;35;I
2208;36;O
2212;26;I
2224;36;O
2225;22;I
2225;17;O
2242;49;O
2246;15;O
2247;24;O
2250;43;I
2265;29;O
2265;47;O
2279;38;O
2288;26;O
2289;33;O
2290;40;I
2295;33;I
2299;64;O
2300;36;I
2300;18;O
2305;27;O
2309;40;O
2326;20;O
2328;29;O
2343;27;O
2350;18;O
2355;41;I
2357;21;O
2364;37;I
2372;27;O
2377;25;O
2390;45;I
2410;50;O
2412;41;I
2413;40;I
2421;26;O
2423;51;O
2423;49;O
2427;32;I
2433;25;O
2438;22;O
2442;50;O
2448;44;O
2461;39;I
2475;35;O
2483;42;O
2485;39;O
2488;31;I
2494;39;O
2500;44;I
2504;28;O
2517;22;I
2518;36;I
2538;31;I
2547;41;O
2548;27;O
2549;22;O
2551;45;O
2557;15;O
2557;46;O
2574;33;O
2574;31;I
2605;22;O
2606;43;O
2610;44;I
2613;36;I
2625;25;O
2627;39;O
2640;48;O
2645;44;O
2651;33;I
2654;13;O
2654;26;O
2655;25;O
2667;33;O
2702;24;O
2734;28;O
2737;52;O
2759;34;O
2771;43;O
2780;36;O
2788;43;O
2793;36;O
2800;22;O
2810;41;O
2814;26;O
2818;31;O
2833;45;O
2833;27;O
2838;28;O
2839;34;O
2848;39;O
2848;37;O
2855;24;O
2863;17;O
2881;33;O
2884;39;O
2890;21;O
2894;33;O
2895;43;O
2897;31;O
2904;26;O
2907;40;O
2908;32;O
2911;40;O
2914;22;O
2919;50;O
2926;24;O
2931;23;O
2933;62;O
2938;56;O
2952;80;O
2956;31;O
2967;11;O
2970;18;O
2979;45;O
2984;53;O
2989;33;O
3003;18;O
3019;27;O
3035;19;O
3044;44;O
3048;23;O
3053;44;O
3063;42;O
3073;35;O
3078;33;O
3099;29;I
3123;27;O
3123;53;O
3127;51;O
3145;29;O
3146;39;O
3147;28;O
3153;29;O
3166;16;O
3171;36;O
3178;23;O
3194;24;O
3195;33;O
3206;37;O
3227;18;O
3231;43;O
3240;34;O
3246;41;O
3249;55;O
3250;38;O
3259;54;O
3272;45;O
3274;33;O
3275;39;O
3280;20;O
3289;48;O
3294;28;O
3306;21;O
3317;48;O
3317;39;O
3336;43;O
3339;39;O
3372;24;O
3373;34;O
3376;27;O
3382;12;O
3383;56;O
3389;32;O
3391;40;O
3393;33;O
3406;36;O
3410;30;O
3421;29;O
3422;20;O
3442;25;O
3446;41;O
3467;20;O
3467;50;O
3478;44;O
3499;41;O
3500;23;O
3529;28;O
3534;43;O
3546;26;O
3559;46;O
3563;25;O
3568;33;O
3568;40;O
3574;40;O
3583;30;O
3589;37;O
3594;23;O
3600;20;O
3611;18;O
3650;19;O
3651;29;O
3662;24;O
3665;49;O
3683;39;O
3684;31;O
3684;13;O
3689;35;O
3699;20;O
3702;11;O
3702;58;O
3714;14;O
3723;16;O
3724;51;O
3759;45;O
3766;22;O
3781;34;O
3791;49;O
3799;47;O
3800;23;O
3811;41;O
3823;27;O
3849;43;O
3853;29;O
3880;26;O
3881;42;O
3883;33;O
3888;39;O
3893;33;O
3904;48;O
3913;16;O
3933;33;O
3946;32;O
3948;21;O
3950;25;O
3965;63;O
3974;44;O
3991;39;O
4015;37;O
4016;40;O
4018;15;O
4035;23;O
4038;42;O
4054;38;O
4065;18;O
4074;22;O
4082;23;O
4086;23;O
4087;29;O
4101;56;O
4104;21;O
4108;17;O
4111;10;O
4115;30;O
4154;22;O
4163;28;O
4165;28;O
4166;38;O
4180;29;O
4185;16;O
4192;39;O
4203;21;O
4207;9;O
4221;15;O
4224;29;O
4238;42;O
4244;27;O
4248;24;O
4266;38;O
4279;27;O
4299;28;O
4304;28;O
4305;16;O
4322;65;O
4326;25;O
4330;26;O
4341;37;O
4341;44;O
4348;15;O
4352;26;O
4372;20;O
4388;12;O
4405;25;O
4405;32;O
4407;22;O
4408;44;O
4420;21;O
4433;12;O
4438;50;O
4443;41;O
4455;38;O
4470;18;O
4470;23;O
4477;34;O
4480;26;O
4503;29;O
4524;22;O
4541;30;O
4553;34;O
4560;19;O
4563;28;O
4577;15;O
4584;11;O
4599;27;O
4628;52;O
4639;49;O
4647;31;O
4648;43;O
4659;45;O
4662;14;O
4664;23;O
4688;38;O
4695;22;O
4700;47;O
4700;24;O
4708;59;O
4716;43;O
4720;32;O
4731;19;O
4738;41;O
4743;44;O
4774;18;O
4779;39;O
4782;47;O
4784;23;O
4794;49;O
4799;21;O
4816;42;O
4817;21;O
4832;24;O
4843;12;O
4852;56;O
4869;47;O
4892;31;O
4895;33;O
