#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;300;0;0;0;0;0;0.66
60;200;300;59.78;57.1;59.99;60;0.45;0.68
119.99;200;300;107.55;67.65;119.97;111.61;0.43;0.69
179.7;200;300;162.61;57.89;179.68;146.06;0.43;0.61
240;200;300;205.2;52.4;239.98;181.57;0.44;0.54
299.92;200;300;241.57;61.08;299.82;239.12;0.45;0.52
359.63;200;300;274.89;65.91;354.33;273.95;0.44;0.51
419.88;200;300;320.98;66.86;412.45;295.48;0.43;0.43
479.69;200;300;345.89;60.46;453.37;268.82;0.42;0.47
539.99;200;300;388.5;68.16;502.8;276.69;0.42;0.53
599.96;200;300;396.97;70.22;526.1;344.37;0.42;0.54
659.97;200;300;428.46;67.72;564.58;393.99;0.43;0.6
719.82;200;300;443.81;84.02;578.56;439.28;0.45;0.58
779.98;200;300;480.05;68.47;615;408.31;0.47;0.53
839.96;200;300;529.3;84.62;665.36;419;0.46;0.51
899.94;200;300;536.82;67.01;694.28;381.73;0.47;0.48
959.89;200;300;575.41;65.72;733.85;381.32;0.47;0.44
1019.89;200;300;640.45;83.07;786.6;464.41;0.46;0.45
1079.59;200;300;704.52;71.87;872.66;415.74;0.45;0.49
1139.98;200;300;766.82;60.86;942.64;477.54;0.44;0.56
1199.89;200;300;808.73;71.44;976.39;447.21;0.44;0.53
1259.89;200;300;716.23;71.81;1073.48;471.03;0.48;0.48
1319.9;200;300;776.78;72.16;1140.96;474.06;0.47;0.47
1379.91;200;300;850.47;72.01;1215.37;481.85;0.46;0.46
1439.99;200;300;838.87;82.79;1283.95;548.02;0.44;0.45
1499.83;200;300;850.13;59.76;1346.23;480.24;0.45;0.43
1559.96;200;300;866.66;66.7;1410.6;602.7;0.46;0.39
1619.94;200;300;887.9;68.44;1483.75;583.78;0.45;0.39
1679.94;200;300;884.29;72.85;1463.79;467.6;0.46;0.41
1739.99;200;300;886.59;56.82;1537.82;337.42;0.45;0.52
1799.98;200;300;940.91;59.28;1628.56;356.7;0.45;0.47
1859.99;200;300;1005.19;77.84;1726.14;427.98;0.45;0.45
1919.99;200;300;1019.44;73.51;1761.93;413.94;0.46;0.53
1979.79;200;300;1071.64;79.03;1814.17;474.38;0.47;0.59
2039.96;200;300;1018.84;81.55;1804.9;621.84;0.47;0.6
2099.96;200;300;1005.49;70;1808.36;542.57;0.45;0.52
2160;200;300;1037.86;66.41;1871.33;493.57;0.45;0.46
2219.98;200;300;1100;92.95;1938.58;624.08;0.45;0.47
2279.97;200;300;1081.17;81.36;1973.17;507.42;0.46;0.45
2339.99;200;300;1167.74;70.37;2026.99;580.48;0.46;0.38
2399.9;200;300;1166.08;56.32;2033.6;614.6;0.47;0.48
2459.87;200;300;1235.02;63.47;2109.03;591.79;0.46;0.45
2519.83;200;300;1248.75;77.86;2122.37;498.35;0.45;0.47
2579.98;200;300;1267.55;73.02;2156.98;511.34;0.44;0.5
2639.84;200;300;1310.03;67.34;2177.15;741.05;0.43;0.51
2700;200;300;1366.03;62.67;2247.93;817.59;0.44;0.53
2759.94;200;300;1457.41;62.82;2297.84;595.43;0.46;0.48
2819.97;200;300;1449.9;76.99;2320.19;679.9;0.45;0.45
2879.79;200;300;1438.03;78.19;2315.35;705.28;0.45;0.46
2939.86;200;300;1443.08;84.29;2301.73;674.96;0.45;0.52
2999.95;200;300;1495.13;95.25;2320.1;862.11;0.45;0.54
3059.79;200;300;1554.51;87.14;2371.33;608.68;0.46;0.53
3119.97;199;300;1518.42;87.72;2378.99;482.86;0.47;0.54
3179.61;190;300;1509.73;91.16;2387.11;549.06;0.47;0.58
3239.88;183;300;1523.83;91.87;2367.4;563.2;0.48;0.52
3299.88;170;300;1490.94;77;2340.82;737.62;0.49;0.51
3359.9;168;300;1567.85;64.15;2420.14;592.57;0.48;0.52
3419.93;156;300;1583.15;74.5;2464.47;682.74;0.5;0.54
3479.87;154;300;1702.4;74.93;2578.77;757.02;0.49;0.51
3540;150;300;1747.36;85.95;2620.34;929.5;0.49;0.43
3599.96;137;300;1707.16;88.35;2588.54;719.16;0.48;0.41
3659.91;129;300;1731.94;73.61;2607.82;620.06;0.49;0.45
3719.97;122;300;1794.9;81.95;2660.77;662.76;0.47;0.47
3779.81;113;300;1796.46;73.91;2686.63;880.1;0.46;0.48
3839.88;108;300;1828.6;74.23;2738.39;613.28;0.46;0.48
3899.99;100;300;1859.65;76.73;2807.26;669.07;0.47;0.46
3959.98;94;300;1906.58;69.46;2929.41;721.95;0.48;0.47
4019.93;85;300;1922.59;59.77;2988.51;735.52;0.48;0.45
4079.92;77;300;1961.36;68.14;3014.8;614.66;0.47;0.48
4139.99;69;300;1954.98;69.71;3054.69;544.48;0.48;0.47
4199.97;65;300;2038.9;78.4;3148.3;605.27;0.47;0.42
4259.88;60;300;2090.21;66.36;3174.01;716.6;0.47;0.44
4319.99;56;300;2163.61;73.47;3274.67;820.85;0.46;0.42
4379.98;55;300;2234.3;78.34;3364.22;882.85;0.46;0.38
4439.9;45;300;2223.17;72.36;3409.46;736.82;0.47;0.45
4499.95;41;300;2286.79;78.87;3456.45;724.66;0.46;0.53
4559.93;35;300;2319.08;80.1;3528.84;742.75;0.45;0.46
4619.75;27;300;2335.06;72.67;3545.69;821.16;0.45;0.49
4679.97;23;300;2393.96;81.52;3599.86;844.34;0.45;0.5
4739.93;20;300;2475.49;75.7;3708.01;807.23;0.45;0.55
4799.98;19;300;2623.7;77.12;3803.94;613.31;0.46;0.51
4859.94;17;300;2734.7;60.77;3852.78;522.78;0.48;0.51
4919.89;17;300;2819.22;68.21;3908.7;943.91;0.49;0.47
4979.92;16;300;2840.48;70.94;3973.29;861.31;0.48;0.44
5039.96;16;300;2902.24;73.94;4042.11;1004.9;0.47;0.48
5099.92;16;300;3013.27;68.93;4111.41;937.17;0.46;0.51
5159.77;16;300;3046.96;69.99;4150.16;726.04;0.46;0.57
5219.79;15;300;3130.58;72.92;4301.03;634.73;0.46;0.54
5279.88;13;300;3075.91;72.19;4315.16;649.69;0.47;0.51
5339.93;13;300;3195.86;75.17;4393.83;766.52;0.47;0.46
5399.96;11;300;3132.84;83.34;4402.14;595.01;0.46;0.47
5459.88;10;300;3208.59;84.1;4525.04;1652.51;0.47;0.45
5519.86;10;300;3363.83;83.68;4644.59;1485.74;0.46;0.44
5579.92;9;300;3471.37;76.51;4712.62;1555.11;0.47;0.44
5639.93;8;300;3520.34;87.72;4798.36;1453.55;0.45;0.4
5699.93;8;300;3872.07;66.35;4908.73;1244.17;0.48;0.49
5759.97;8;300;4054.58;77.94;5006.65;1632.13;0.49;0.45
5819.71;8;300;4191.15;69.8;5112.86;1732.15;0.5;0.46
5879.75;8;300;4022.34;89.69;5031.46;2502.1;0.52;0.45
5939.94;8;300;4178.87;81.04;5313.68;2030.35;0.51;0.44
5999.77;8;300;4326.86;84.61;5467.15;1782.15;0.48;0.47
6059.95;8;300;4131.34;77.38;5360.02;1337.88;0.49;0.56
6119.78;6;300;2541.63;82.02;4471.05;1838.93;0.29;0.58
6179.96;6;300;2149.01;83.51;4334.4;1915.89;0.37;0.51
6239.77;5;300;33.83;80.66;3992.11;1649.39;0.34;0.5
6299.97;4;300;11.48;83.87;5099.55;1684.13;0.34;0.5
6359.99;4;300;71.51;82.72;5159.57;1457.94;0.34;0.51
6419.85;3;300;42.27;82.82;5078.43;1240.98;0.34;0.5
6479.73;3;300;0;72.91;0;1227.7;0;0.5
6540;3;300;0;85.9;0;1319.68;0;0.47
6599.97;3;300;0;73.23;0;1215.01;0;0.49
6659.96;2;300;39.66;78.95;5448.22;1097.15;0.33;0.49
6719.94;2;300;99.64;77.95;5508.2;1215.44;0.33;0.5
6779.98;0;300;30.67;101.04;6779.09;1292.02;0.34;0.55
6839.96;0;300;90.65;84.36;6839.07;1034.69;0.34;0.52
6899.98;0;300;132.43;85.77;6899.09;923.34;0.34;0.51
6959.96;0;300;0;78.42;0;1007.06;0;0.46
7019.91;0;300;0;82.77;0;1472.52;0;0.43
7079.64;0;300;0;80.88;0;1418.24;0;0.46
7139.89;0;300;0;78.91;0;1308.99;0;0.45
7199.72;0;300;0;83.07;0;1156.74;0;0.48
