Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;13.50;0.50;140;0;103;13.6080312138765;33.202757702243;10.0444444444443;30.4727777777778;1.35922330097087;5813.63335491208;7200
InputStation1;23.50;0.50;139;0;96;14.4849513001595;48.4533008101264;10.0444444444443;40.3422222222222;1.44791666666667;5822.9769267457;7200
InputStation2;33.50;0.50;137;0;93;14.7652083839585;58.1787179625221;10.0444444444443;40.1827777777778;1.47311827956989;5843.47191926913;7200
InputStation3;43.50;0.50;132;0;92;14.3498358588656;38.1070354204097;10.0444444444443;30.3526839863649;1.43478260869565;5892.72645750507;7200
InputStation4;53.50;0.50;122;0;101;12.087710700115;24.1747568585224;10.0444444444443;30.2444444444436;1.20792079207921;5991.86127711518;7200
InputStation5;63.50;0.50;157;0;120;13.1056467647803;36.6000116011558;10.0444444444443;40.2917604580795;1.30833333333333;5643.99436503878;7200
OutputStation0;81.50;11.50;696;501;70;101.569777675022;1855.3494083396;12.4128715691759;211.472871569191;9.94285714285714;310.17822487274;7200
OutputStation1;81.50;17.50;697;545;63;112.654534349461;1793.42596437325;32.5268758282505;231.417503596461;11.0634920634921;308.23639361845;7200
OutputStation2;81.50;23.50;705;526;72;99.5736114108172;1980.26565557774;12.5027777777777;274.017323206557;9.79166666666667;230.550563315746;7200
OutputStation3;81.50;29.50;701;525;63;111.73547412186;1634.41585223914;10.0632395419252;233.204632027263;11.1269841269841;265.508692979448;7200
OutputStation4;81.50;35.50;676;464;65;105.444229104966;1725.19770791343;12.3098196100946;203.454076471714;10.4;515.069935263242;7200
OutputStation5;81.50;41.50;639;404;67;97.1853753930597;2525.64871030573;11.7388888888881;233.648253927765;9.53731343283582;879.422745040004;7200
OutputStation6;0.50;14.50;574;353;52;111.705921990356;2003.21495986883;22.5805555555553;211.525836929794;11.0384615384615;1525.68963893665;7200
OutputStation7;0.50;20.50;484;269;44;109.803677694729;2636.50830790766;32.3249062085933;243.830288567164;11;2408.4070495916;7200
OutputStation8;0.50;26.50;281;149;25;110.955312261979;2586.60324626777;22.6821643954754;213.407777777778;11.24;4427.76612464706;7200
OutputStation9;0.50;32.50;164;71;19;85.8186800312866;3129.58336414231;10.0472222222179;213.389444444445;8.63157894736842;5579.89186863552;7200
OutputStation10;0.50;38.50;103;48;8;113.585914501705;1055.25290831889;50.4083333333365;151.008333333334;12.875;6180.83125525294;7200
OutputStation11;0.50;44.50;60;47;3;172.67787156919;3829.13728496038;122.980555555555;241.987409805048;20;6604.13351372324;7200
