#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;94;0;0;0;0;0;0;0;0;0
599.96;0.72;95;0;0;0;0;0;0;0;0;0
1199.99;0.73;95;0;0;0;0;0;0;0;0;0
1799.99;0.74;95;0;0;0;0;0;0;0;0;0
2399.99;0.74;95;0;0;0;0;0;0;0;0;0
2999.99;0.74;95;0;0;0;0;0;0;0;0;0
3599.93;0.74;95;0;0;0;0;0;0;0;0;0
4199.97;0.72;95;0;0;0;0;0;0;0;0;0
4799.97;0.69;95;0;0;0;0;0;0;0;0;0
5399.75;0.66;95;0;0;0;0;0;0;0;0;0
5999.99;0.65;96;0;0;0;0;0;0;0;0;0
6599.85;0.66;96;0;0;0;0;0;0;0;0;0
7200;0.67;98;0;0;0;0;0;0;0;0;0
