#TimeStamp;DistanceTraveled
59.99;2306.18
119.96;534.79
179.98;921.38
239.6;1320.89
299.91;1184.28
359.86;1379.77
419.98;1286.13
479.99;1473.82
539.93;1225.33
599.96;1354.2
659.96;1437.55
719.96;1473.27
779.98;1475.49
839.97;1405.94
899.95;1537.74
959.98;1601.14
1019.97;1400.38
1079.94;1536.99
1139.89;1527.34
1199.99;1582.4
1259.98;1463.3
1319.97;1469.16
1379.95;1533.14
1439.91;1509.33
1499.99;1698.36
1559.96;1519.63
1619.96;1634.37
1679.97;1740.99
1739.96;1784.47
1799.99;1536.99
1859.96;1786.69
1919.96;1717.11
1979.94;1719.86
2040;1781.3
2100;1549.59
2160;1572.03
2219.99;1693.4
2279.89;1652
2339.96;1799.72
2399.99;1869.47
2459.96;1803.8
2519.96;1593.24
2579.91;1653.84
2640;1719.27
2699.98;1704.8
2759.92;1830.51
2819.99;1571.01
2879.97;1740.81
2939.94;1804.39
2999.99;1851.36
3059.86;1792.68
3119.64;1733.85
3179.97;1505.75
3239.97;1522.02
3299.96;1672.75
3359.95;1689.46
3419.96;1613.4
3479.73;1731.38
3539.96;1779.28
3599.93;1616.36
3659.8;1476.03
3719.98;1421.48
3779.98;1371.21
3839.85;1072.01
3899.86;961.44
3959.92;1072.51
4019.99;767.6
4079.99;1016.58
4139.8;747.08
4199.97;1011.31
4259.97;754.76
4319.88;1002.97
4379.99;812.68
4439.91;1027.8
4499.98;905.81
4559.99;922.34
4619.96;905.16
4679.85;958.1
4739.96;774.15
4799.97;759.56
4859.97;957.66
4919.94;1102.2
4980;784.56
5039.8;785.97
5099.99;686.54
5159.96;838.68
5219.61;982.12
5279.92;709.61
5339.94;895.41
5399.75;902.91
5459.84;1290.7
5519.89;1168.91
5579.98;1052.11
5639.89;1138.67
5699.99;1095.76
5760;1206.84
5819.99;1164.05
5879.71;1406.84
5939.96;1127.28
5999.99;1336.61
6059.96;1614.54
6119.98;1386.07
6179.91;1688.59
6239.96;1602.01
6299.98;1691.63
6359.88;1402.18
6419.87;1478.12
6479.98;1572.08
6539.98;1651.09
6599.85;1534.72
6659.98;1584.58
6719.96;1735.23
6779.96;1491.95
6839.97;1453.17
6899.86;1506.39
6959.95;1512.42
7019.98;1591.86
7079.99;1323.46
7139.91;1335.77
7200;1419.62
