#TimeStamp;DistanceTraveled
59.98;1921.12
119.99;433.18
179.99;963.57
240;855.39
299.98;1111.43
359.93;1159
420;1173.23
479.93;1126.08
539.96;1185.37
599.99;1345.72
659.67;1269.15
719.91;1229.96
779.98;1227.1
839.91;1382.63
899.99;1209.19
959.96;1101.42
1019.89;1269.15
1079.98;1428.28
1139.99;1193.82
1199.92;1286.06
1259.97;1224.1
1319.94;1265.11
1379.91;1139.85
1439.95;1154.43
1499.99;1065.44
1559.96;1336.08
1619.93;1363.33
1679.89;1330.57
1739.99;1542.21
1799.99;1294.18
1859.96;1387.88
1919.95;1312.81
1979.87;1337.65
2039.88;1317.06
2099.97;1212.59
2159.59;1286.37
2219.94;1478.13
2279.6;1522.23
2339.96;1559.6
2399.96;1292.88
2459.84;1223.62
2519.99;1237.43
2579.97;1406.09
2639.96;1404.37
2699.96;1436.91
2759.98;1413.1
2819.97;1372.64
2879.9;1492.23
2939.99;1283.25
2999.99;1479.48
3059.92;1521.93
3119.91;1419.86
3179.78;1478.92
3239.95;1282.1
3299.97;1248.66
3359.98;1279.76
3419.98;1340.25
3479.87;1488.66
3539.98;1469.82
3599.88;1322.72
3659.97;1363.13
3719.76;1365.53
3779.65;1320.71
3839.93;1438.52
3900;1279.31
3959.98;1384.04
4019.97;1401.6
4079.99;1417.65
4139.86;1365.93
4199.99;1385.49
4259.79;1282.04
4319.76;1426.78
4379.79;1244.52
4439.97;1420.37
4499.96;1282.54
4559.97;1415.66
4619.97;1404.69
4679.98;1503.32
4739.96;1372.35
4800;1507.46
4860;1564.37
4919.77;1345.12
4979.99;1227.07
5039.97;1075.21
5099.97;1266.85
5159.98;1261.23
5219.82;866.1
5279.85;993.58
5339.9;874.27
5399.82;870.6
5459.97;833.73
5519.8;1047.68
5579.93;934.28
5639.75;1024.44
5699.92;818.63
5759.99;846.57
5819.86;981.03
5879.65;1095.19
5939.98;830.95
5999.81;998.14
6059.59;787.73
6119.99;829.09
6179.98;838.36
6239.86;1053.65
6299.79;994.7
6359.95;1005.39
6419.93;758.79
6479.71;960.71
6539.96;1177.61
6599.96;1023.32
6659.75;971.76
6719.98;842.28
6779.62;861.1
6839.91;816.29
6899.99;1036.14
6959.98;1002.1
7019.98;1058.67
7079.96;918.39
7139.84;1009.64
7199.85;924.73
