#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;94;0;0;0;0;0;0;0;0;0
599.99;0.72;95;0;0;0;0;0;0;0;0;0
1199.92;0.73;95;0;0;0;0;0;0;0;0;0
1799.99;0.73;95;0;0;0;0;0;0;0;0;0
2399.87;0.73;95;0;0;0;0;0;0;0;0;0
2999.86;0.73;96;0;0;0;0;0;0;0;0;0
3599.99;0.73;96;0;0;0;0;0;0;0;0;0
4199.99;0.72;96;0;0;0;0;0;0;0;0;0
4800;0.69;96;0;0;0;0;0;0;0;0;0
5399.82;0.67;96;0;0;0;0;0;0;0;0;0
5999.79;0.64;96;0;0;0;0;0;0;0;0;0
6600;0.66;97;0;0;0;0;0;0;0;0;0
7199.68;0.67;97;0;0;0;0;0;0;0;0;0
