#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
51.95;8;51.95;51.95;-7148.05
52.48;3;52.48;52.48;-7147.52
54.04;9;54.04;54.04;-7145.96
56.24;10;56.24;56.24;-7143.76
62.04;8;62.04;62.04;-7137.96
62.5;3;62.5;62.5;-7137.5
64.02;9;64.02;64.02;-7135.99
68.09;1;68.09;68.09;-7131.91
69.35;2;69.35;69.35;-7130.65
72.57;5;72.57;72.57;-7127.43
72.73;3;72.73;72.73;-7127.27
73.22;11;73.22;73.22;-3526.78
76.33;10;76.33;76.33;-3523.67
79.51;2;79.51;79.51;-7120.49
82.09;8;82.09;82.09;-3517.91
82.66;5;82.66;82.66;-7117.34
82.75;0;82.75;82.75;-7117.25
82.84;3;82.84;82.84;-7117.16
84.15;9;84.15;84.15;-3515.85
88.12;1;88.12;88.12;-7111.88
89.51;2;89.51;89.51;-7110.49
92.88;3;92.88;92.88;-7107.12
93.45;11;93.45;93.45;-3506.55
94.87;7;94.87;94.87;-7105.13
95.97;4;95.97;95.97;-3504.03
96.42;10;96.42;96.42;-7103.58
98.12;1;98.12;98.12;-7101.88
99.55;2;99.55;99.55;-7100.45
102.18;8;102.18;102.18;-7097.82
102.84;0;102.84;102.84;-7097.16
103.01;3;103.01;103.01;-3496.99
104.18;9;104.18;104.18;-7095.82
104.96;7;104.96;104.96;-7095.04
106.01;4;106.01;106.01;-3493.99
106.46;10;106.46;106.46;-7093.54
106.99;6;106.99;106.99;-7093.01
109.8;2;109.8;109.8;-7090.2
112.93;0;112.93;112.93;-7087.07
113.06;3;113.06;60.53;-7086.94
113.64;11;113.64;113.64;-7086.36
114.28;9;114.28;114.28;-7085.72
116.45;10;116.45;116.45;-7083.55
117.27;6;117.27;117.27;-3482.73
118.31;1;118.31;118.31;-7081.69
119.88;2;119.88;119.88;-3480.12
122.27;8;122.27;122.27;-7077.73
122.97;0;122.97;122.97;-7077.03
123.36;3;123.36;60.78;-7076.64
125.31;7;125.31;125.31;-7074.69
126.26;4;126.26;126.26;-3473.74
128.4;1;128.4;128.4;-7071.6
132.35;8;132.35;132.35;-7067.65
132.43;5;132.43;132.43;-7067.57
133.59;3;133.59;60.81;-3466.41
134.51;9;134.51;134.51;-3465.49
136.38;4;136.38;136.38;-7063.62
136.54;10;136.54;136.54;-7063.46
138.58;1;138.58;138.58;-7061.42
142.35;8;142.35;90.32;-3457.65
142.84;5;142.84;142.84;-7057.16
143.08;0;143.08;143.08;-7056.92
143.76;11;143.76;143.76;-3456.24
146.43;4;146.43;146.43;-7053.57
147.3;6;147.3;147.3;-7052.7
148.88;1;148.88;80.75;-7051.12
150.01;2;150.01;80.58;-7049.99
152.45;8;152.45;90.37;-7047.55
153.26;0;153.26;153.26;-7046.74
153.81;3;153.81;70.93;-7046.19
153.86;11;153.86;153.86;-7046.14
154.83;9;154.83;100.75;-3445.17
155.35;7;155.35;155.35;-7044.65
156.5;4;156.5;156.5;-3443.5
156.64;10;156.64;100.34;-7043.36
158.77;1;79.19;70.54;-7120.81
162.56;8;162.56;80.43;-7037.44
162.93;5;162.93;162.93;-7037.07
163.44;0;163.44;80.64;-7036.56
163.94;11;163.94;163.94;-7036.06
165.49;7;165.49;165.49;-3434.51
166.89;10;166.89;90.52;-7033.11
167.5;6;167.5;167.5;-3432.5
168.94;1;168.94;70.67;-3431.06
169.98;2;169.98;90.41;-7030.02
173.14;5;173.14;173.14;-3426.86
173.95;11;173.95;100.57;-7026.05
174.93;9;174.93;110.81;-7025.07
175.43;7;175.43;175.43;-7024.57
176.59;4;103.81;80.51;-7096.19
178.99;1;178.99;60.64;-3421.01
182.65;8;182.65;80.43;-3417.35
183.27;0;183.27;80.39;-3416.73
183.9;3;183.9;90.87;-7016.1
185.03;9;185.03;100.84;-7014.97
186.59;4;186.59;80.32;-7013.41
190.21;2;190.21;100.59;-7009.79
192.73;8;192.73;70.42;-3407.27
192.87;5;192.87;120.25;-7007.14
193.39;0;193.39;80.42;-7006.61
193.97;3;193.97;90.68;-3406.03
194.08;11;194.08;100.59;-7005.92
195.52;7;195.52;100.49;-7004.48
196.97;10;114.17;100.51;-7085.83
197.33;6;197.33;197.33;-7002.67
200.31;2;200.31;100.65;-6999.69
203.63;0;89.3;80.61;-7110.7
204.05;3;204.05;90.72;-6995.95
207.03;10;207.03;100.52;-6992.97
207.69;6;207.69;207.69;-6992.31
209.01;1;85.99;80.56;-3514.01
213.29;5;143.85;130.58;-3456.15
214.11;3;214.11;90.71;-6985.89
214.11;11;214.11;100.43;-3385.89
215.15;9;215.15;110.9;-6984.85
217.09;10;217.09;100.54;-3382.91
220.38;2;117.5;110.53;-7082.5
223.09;5;223.09;90.29;-6976.91
224.48;3;40.95;40.54;-7159.05
224.48;11;224.48;80.62;-3375.52
225.97;7;225.97;120.89;-6974.03
230.46;2;230.46;110.54;-6969.54
232.8;8;106.48;100.41;-7093.52
233.71;0;233.71;90.59;-3366.29
234.61;11;234.61;80.7;-3365.39
235.51;9;235.51;121.18;-6964.49
235.97;7;235.97;110.62;-3364.03
237.29;10;237.29;100.61;-6962.71
237.77;6;237.77;130.68;-6962.23
238.94;1;238.94;100.32;-6961.06
242.91;8;242.91;100.48;-6957.09
243.29;5;243.29;100.41;-3356.71
246.2;7;82.72;80.64;-7117.28
246.64;4;246.64;120.33;-6953.36
247.9;6;247.9;130.59;-3352.1
248.89;1;105.77;99.97;-7094.23
252.93;8;252.93;100.41;-6947.07
253.71;0;56.07;50.04;-7143.93
254.73;11;144.88;90.75;-7055.12
255.51;9;255.51;120.95;-6944.49
256.85;4;256.85;120.43;-6943.15
257.48;10;257.48;100.75;-6942.52
260.62;2;64.92;60.26;-7135.08
262.97;8;106.43;100.37;-7093.58
263.54;5;119.68;100.57;-3480.32
263.77;0;211.74;110.46;-6988.26
264.52;3;132.13;130.89;-7067.87
266.3;7;116.24;110.9;-3483.76
270.6;2;55.33;50.17;-7144.67
273.63;5;106.08;100.44;-3493.92
275.58;9;275.58;120.71;-6924.42
276.85;4;134.42;130.35;-7065.58
279.11;1;279.11;120.14;-6920.89
280.78;2;280.78;130.72;-6919.22
283.11;8;283.11;100.42;-6916.89
283.67;5;108.69;90.44;-7091.31
284.02;0;284.02;120.54;-6915.98
284.9;11;179.82;110.87;-3420.18
287.61;10;287.61;120.68;-6912.39
287.99;6;80.92;80.25;-7119.08
290.97;2;144.47;120.8;-7055.53
294.52;3;294.52;140.66;-6905.48
296.34;7;296.34;120.73;-6903.66
297.01;4;297.01;140.46;-6902.99
301;2;301;110.74;-3299
303.4;8;303.4;110.63;-6896.6
303.7;5;303.7;90.37;-6896.3
304.16;0;304.16;120.63;-6895.84
304.62;3;135.61;110.61;-7064.39
304.94;11;304.94;110.82;-3295.06
307.75;10;307.75;110.74;-6892.25
308.12;6;23.18;20.09;-7176.82
309.37;1;309.37;140.35;-6890.63
311.03;2;311.03;80.52;-6888.97
314.21;0;232.08;120.64;-6967.92
314.71;3;314.71;110.62;-6885.29
314.94;11;230.75;100.76;-3369.25
317.09;4;154.48;140.46;-7045.52
319.46;1;319.46;140.39;-6880.54
323.55;8;93.04;90.7;-7106.96
323.88;5;323.88;100.5;-6876.12
325.01;3;325.01;110.83;-6874.99
325.75;9;325.75;150.77;-6874.25
326.46;7;326.46;130.77;-6873.54
327.88;10;327.88;120.81;-6872.12
329.5;1;174.62;120.4;-7025.38
331.05;2;234.97;70.39;-6965.03
334.34;0;121.01;100.49;-3478.99
335.08;11;222.11;110.52;-6977.89
335.72;9;335.72;150.65;-6864.28
336.5;7;336.5;110.49;-6863.5
338.21;6;209.76;190.73;-6990.24
339.55;1;283.25;100.38;-6916.75
341.09;2;341.09;70.36;-6858.91
343.43;8;149.85;100.47;-7050.15
