#TimeStamp;Runtime;Requests
0.88;0.11;45
1.88;0.01;4
2.88;0;2
3.97;0;3
5.01;0.01;3
6.05;0;2
7.08;0;2
8.19;0;1
10.3;0;1
11.35;0;2
12.62;0;1
13.64;0;3
14.64;0;1
15.68;0;5
16.93;0.01;4
18.02;0;2
19.06;0;4
20.06;0;4
21.07;0;3
22.22;0.01;2
23.22;0;2
24.4;0;2
25.47;0;3
26.61;0;2
27.64;0;4
28.67;0;2
29.92;0;2
30.93;0;2
31.97;0;12
32.99;0;4
34;0;3
35.03;0;2
36.08;0;3
37.09;0;4
38.17;0;2
39.28;0;2
40.34;0;2
41.5;0.01;3
42.53;0;1
43.55;0;2
44.56;0;1
45.65;0;1
46.68;0;3
48.06;0;1
49.4;0;1
51.1;0;1
52.12;0;1
53.14;0;1
54.23;0;2
57.72;0;1
58.75;0;1
61.99;0;1
67.68;0;1
68.68;0;1
71.19;0;1
72.22;0;1
73.22;0;1
74.23;0;1
75.26;0;1
77.69;0;1
81.21;0;1
82.66;0;1
89.9;0;1
94.47;0;1
95.79;0;1
96.96;0;1
99.3;0;1
100.75;0;1
106.95;0;1
110.92;0;1
113.01;0;1
114.55;0;1
117.04;0;1
118.06;0;1
119.28;0;2
120.31;0;1
121.31;0;1
122.31;0;1
123.36;0;1
124.4;0;1
125.54;0;1
126.63;0;1
127.79;0;1
128.82;0;2
129.82;0;1
130.86;0;3
135.44;0;1
136.5;0;1
137.53;0;2
138.53;0;1
139.55;0;1
141.16;0;1
142.17;0;2
144;0;1
145.02;0;1
146.06;0;2
147.97;0;1
148.97;0.01;3
150.01;0;1
151.6;0;1
153.52;0;1
154.73;0;1
155.79;0;2
157.1;0;1
158.12;0;3
160;0;1
161.5;0;1
163.48;0;1
164.73;0;1
165.8;0;2
166.94;0;1
169.22;0;1
170.23;0.01;1
173.23;0;1
174.27;0;3
175.3;0;3
176.63;0;1
179.28;0;1
180.32;0;1
181.33;0;2
182.74;0;1
184.53;0;1
185.69;0;2
186.72;0;3
187.72;0.01;4
188.74;0;1
190.34;0;1
194.36;0;1
196.12;0;1
197.15;0;1
200.27;0;1
201.29;0;1
202.35;0;1
203.4;0;1
204.44;0;2
205.69;0;1
206.72;0;1
207.74;0;3
208.81;0;2
211.49;0;1
212.53;0;1
216.49;0;1
217.51;0;1
219.99;0;1
221.03;0.01;2
222.03;0;1
223.04;0;3
224.1;0;2
225.88;0;1
226.88;0;1
228.22;0;1
229.66;0;1
232.65;0;2
233.66;0;1
234.77;0.01;2
235.83;0;1
236.9;0;1
239.71;0;1
240.71;0;2
241.75;0;3
242.87;0;1
243.88;0;1
244.94;0;1
245.96;0;3
246.97;0;1
247.99;0;4
249.24;0;2
250.48;0;1
251.62;0;1
252.64;0;3
253.66;0;2
254.68;0;1
256.58;0;1
259.33;0;1
260.4;0;3
261.42;0.01;2
262.43;0;1
264.08;0;1
265.5;0;2
266.63;0;1
267.64;0;2
268.68;0;2
269.68;0;1
270.73;0;2
272.09;0;1
273.2;0;1
274.23;0;1
275.4;0;1
276.44;0;1
277.44;0;2
278.75;0;1
279.77;0;1
280.78;0.01;2
283.71;0;1
285.05;0;1
286.05;0;1
287.16;0;1
288.19;0;1
289.23;0;2
290.27;0;1
291.41;0;4
292.44;0;1
293.47;0;1
294.48;0;1
295.61;0;2
296.64;0;1
297.68;0;1
298.79;0;1
299.82;0;1
301.53;0;1
302.57;0;1
303.61;0;1
304.99;0;1
306.83;0;1
307.94;0.01;1
308.95;0;1
309.99;0;2
310.99;0;1
312;0;1
313.03;0;2
314.08;0;1
315.08;0;1
316.08;0;3
317.09;0;2
318.12;0.01;3
319.13;0;3
320.17;0;1
321.2;0;2
322.24;0;2
323.25;0;1
324.3;0;2
325.34;0;2
326.37;0;3
327.42;0;1
328.46;0;1
329.5;0;1
330.54;0;1
332.64;0;1
333.66;0;1
334.74;0;1
337.95;0;1
338.96;0;1
341.09;0;1
342.1;0;2
344.05;0;2
345.09;0;2
346.09;0;1
347.1;0;1
348.18;0;1
349.18;0;1
350.21;0;1
351.22;0;1
352.38;0;1
353.43;0;1
358.17;0;1
359.36;0;3
360.38;0;1
361.4;0;1
362.43;0;1
364.35;0;1
365.52;0;1
366.52;0;1
367.6;0;1
368.72;0;1
369.73;0;1
370.9;0;1
373.61;0;1
374.63;0;2
375.93;0;1
377.15;0;1
378.52;0;1
379.52;0.01;3
380.65;0;1
381.81;0.01;1
382.97;0;1
384.1;0;1
385.1;0;1
388.48;0;1
389.87;0;1
390.97;0;3
391.99;0;2
393;0.01;3
394.19;0;1
395.23;0.01;3
396.24;0;1
397.45;0;1
398.48;0;1
399.48;0;2
400.49;0;2
404.16;0;1
405.23;0;2
406.23;0;1
407.28;0;1
408.28;0;2
409.3;0;1
410.32;0;4
411.32;0;1
412.36;0;1
413.49;0.01;4
414.62;0.01;2
415.83;0;1
416.92;0;1
418.15;0;3
419.16;0;2
420.19;0;2
421.21;0;3
422.25;0.01;2
423.29;0;1
424.7;0;1
425.83;0;1
426.84;0;1
427.93;0;1
430.24;0;1
431.37;0;1
434.81;0;1
435.81;0;1
438.02;0;1
439.21;0;2
440.25;0;1
441.26;0;2
442.55;0;1
443.55;0;2
444.77;0;2
445.81;0;1
446.82;0;1
448.02;0;1
449.05;0;1
450.15;0;1
451.22;0;2
452.22;0;1
453.26;0;1
454.27;0;1
455.51;0;3
456.56;0.01;4
457.6;0;2
458.64;0.01;2
459.65;0;1
460.65;0.01;2
461.93;0;1
462.93;0;5
463.94;0;1
464.97;0;2
466.02;0;2
467.02;0;2
468.06;0;2
469.47;0;1
470.6;0.01;2
471.65;0;2
472.65;0;2
473.69;0;3
474.69;0;3
475.78;0.01;4
476.83;0;3
477.83;0;2
478.87;0;3
479.87;0;3
481;0;2
482.05;0;5
483.15;0;4
484.18;0;2
485.19;0;2
486.2;0;2
487.43;0.02;3
488.48;0;1
489.48;0;3
490.48;0;2
491.5;0;2
492.52;0;4
493.52;0;3
494.52;0;3
495.53;0;2
496.65;0;3
497.65;0;1
498.74;0;1
499.79;0;2
500.79;0;1
501.82;0;1
502.83;0;3
503.87;0;1
504.87;0;3
505.92;0;2
506.96;0;2
507.96;0;3
508.96;0;2
511.11;0;1
512.71;0;1
513.76;0;3
514.92;0;1
518.42;0;1
519.43;0;1
520.43;0;3
521.43;0;1
522.43;0;1
523.47;0;2
524.52;0;1
525.52;0;3
526.52;0;1
527.52;0;3
528.74;0;2
529.84;0;1
530.87;0;1
531.94;0;1
534.6;0;1
535.6;0;3
536.68;0;1
537.72;0;2
538.78;0;2
540;0;2
541.02;0;1
542.03;0;3
543.03;0;1
544.39;0;1
545.55;0;2
550.39;0;1
552.03;0;1
553.05;0;3
554.22;0;1
555.83;0;1
556.93;0;1
558.53;0;1
559.62;0;1
560.84;0;1
561.93;0;1
562.95;0;1
564.01;0;1
565.02;0;1
566.05;0;1
567.06;0;1
568.06;0;2
569.11;0;3
570.11;0;3
571.15;0;2
572.15;0;3
573.19;0;3
574.21;0;6
575.25;0;2
576.25;0;3
577.27;0;3
578.35;0;2
579.39;0;1
580.4;0;2
581.44;0;1
582.44;0;1
583.48;0.01;2
584.48;0;2
585.74;0;1
589.85;0;1
591.18;0;1
592.28;0;1
593.97;0;1
595;0.01;2
596.06;0;1
597.1;0;1
598.52;0;1
599.54;0.01;4
600.74;0.01;3
601.85;0;1
606.33;0;1
607.36;0;1
608.36;0;1
609.5;0;3
610.54;0;5
612.4;0;1
613.41;0;1
614.55;0;1
617.36;0;1
618.36;0;1
620.06;0;1
621.07;0;1
622.09;0;1
623.12;0;2
624.13;0;1
625.91;0;1
627.01;0;2
628.1;0;1
629.13;0;1
