#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;66.9;2.27;PP/0,TA/0,IS/0.01,PS/0,RB/0,OB/2.19,RP/0
59.99;77.16;2.95;PP/0.23,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/2.36,RP/0
119.97;111.42;9.52;PP/0.26,TA/4.28,IS/0.04,PS/4.24,RB/0.01,OB/4.53,RP/0
179.98;117.47;13.84;PP/0.33,TA/4.53,IS/0.06,PS/4.5,RB/0.01,OB/8.38,RP/0
239.98;121.41;20.75;PP/0.42,TA/9.12,IS/0.1,PS/9.08,RB/0.01,OB/10.44,RP/0
299.99;129.94;27.61;PP/0.51,TA/12.29,IS/0.14,PS/12.25,RB/0.01,OB/13.86,RP/0
359.98;130.6;32.44;PP/0.6,TA/13.99,IS/0.17,PS/13.94,RB/0.01,OB/16.74,RP/0
419.97;130.76;37.02;PP/0.7,TA/14.98,IS/0.21,PS/14.93,RB/0.01,OB/20.06,RP/0
479.96;131.62;40.84;PP/0.81,TA/15.42,IS/0.24,PS/15.37,RB/0.01,OB/23.16,RP/0
539.77;130.86;44.94;PP/0.92,TA/15.85,IS/0.27,PS/15.8,RB/0.01,OB/26.55,RP/0
599.99;130.89;48.15;PP/1.01,TA/16.1,IS/0.3,PS/16.05,RB/0.01,OB/29.25,RP/0
659.88;131.54;52.4;PP/1.12,TA/17.08,IS/0.34,PS/17.01,RB/0.01,OB/32.25,RP/0
719.95;130.87;56.46;PP/1.21,TA/17.52,IS/0.39,PS/17.46,RB/0.01,OB/35.6,RP/0
779.89;130.99;59.1;PP/1.29,TA/18.2,IS/0.42,PS/18.13,RB/0.01,OB/37.32,RP/0
839.98;133.38;61.98;PP/1.37,TA/18.54,IS/0.46,PS/18.46,RB/0.01,OB/39.64,RP/0
899.92;134.17;65.39;PP/1.48,TA/18.84,IS/0.49,PS/18.76,RB/0.01,OB/42.5,RP/0
959.97;136;69.6;PP/1.58,TA/19.15,IS/0.53,PS/19.07,RB/0.01,OB/46.12,RP/0
1019.98;131.79;73.75;PP/1.72,TA/20.17,IS/0.56,PS/20.09,RB/0.01,OB/48.95,RP/0
1079.98;132.72;77.74;PP/1.81,TA/20.66,IS/0.59,PS/20.57,RB/0.01,OB/52.2,RP/0
1139.94;133.18;80.52;PP/1.92,TA/21.03,IS/0.63,PS/20.93,RB/0.01,OB/54.36,RP/0
1199.92;132.29;83.89;PP/2.03,TA/21.22,IS/0.65,PS/21.12,RB/0.01,OB/57.27,RP/0
1259.92;131.45;86.71;PP/2.1,TA/21.79,IS/0.7,PS/21.69,RB/0.01,OB/59.28,RP/0
1319.9;130.88;91.68;PP/2.19,TA/22.33,IS/0.74,PS/22.22,RB/0.01,OB/63.46,RP/0
1380;133.96;96.22;PP/2.33,TA/23.3,IS/0.79,PS/23.19,RB/0.01,OB/66.68,RP/0
1439.98;131.36;100.17;PP/2.45,TA/23.68,IS/0.83,PS/23.57,RB/0.01,OB/69.97,RP/0
1499.98;131.52;105.34;PP/2.58,TA/24.25,IS/0.88,PS/24.13,RB/0.01,OB/74.26,RP/0
1559.99;130.17;116.74;PP/2.67,TA/24.52,IS/0.92,PS/24.4,RB/0.01,OB/85.12,RP/0
1619.96;132.33;122.04;PP/2.95,TA/25.4,IS/0.97,PS/25.27,RB/0.01,OB/89.09,RP/0
1679.97;134.22;125.63;PP/3.02,TA/25.7,IS/1,PS/25.57,RB/0.01,OB/92.12,RP/0
1739.96;137.95;161.73;PP/3.14,TA/26.34,IS/1.04,PS/26.2,RB/0.01,OB/127.23,RP/0
1799.99;139.18;165.29;PP/3.23,TA/26.74,IS/1.07,PS/26.6,RB/0.01,OB/130.15,RP/0
1859.98;138.11;205.75;PP/3.36,TA/27.34,IS/1.1,PS/27.2,RB/0.01,OB/169.64,RP/0
1919.62;230.74;258.83;PP/3.48,TA/27.7,IS/1.14,PS/27.55,RB/0.01,OB/221.99,RP/0
1979.98;176.9;313.01;PP/3.6,TA/28.32,IS/1.16,PS/28.17,RB/0.01,OB/275.16,RP/0
2039.8;176.54;362.2;PP/3.7,TA/28.59,IS/1.19,PS/28.44,RB/0.01,OB/323.74,RP/0
2099.98;179.27;409.64;PP/3.8,TA/28.91,IS/1.21,PS/28.75,RB/0.01,OB/370.53,RP/0
2159.98;3780.92;984.45;PP/3.88,TA/29.23,IS/1.24,PS/29.08,RB/0.02,OB/944.67,RP/0
2219.83;3800.67;1032.09;PP/4.01,TA/29.4,IS/1.26,PS/29.24,RB/0.02,OB/991.76,RP/0
2280;1080.94;1079.95;PP/4.12,TA/30.06,IS/1.28,PS/29.9,RB/0.02,OB/1038.61,RP/0
2339.96;207.9;1128.61;PP/4.2,TA/30.21,IS/1.3,PS/30.04,RB/0.02,OB/1086.82,RP/0
2399.87;682.3;1172.35;PP/4.32,TA/30.56,IS/1.32,PS/30.39,RB/0.02,OB/1129.8,RP/0
2459.93;688.27;1217.71;PP/4.41,TA/30.85,IS/1.33,PS/30.68,RB/0.02,OB/1174.54,RP/0
2519.94;780.47;1259.78;PP/4.51,TA/31.13,IS/1.34,PS/30.95,RB/0.02,OB/1216.01,RP/0
2579.78;779.74;1309.82;PP/4.62,TA/31.33,IS/1.35,PS/31.15,RB/0.02,OB/1265.5,RP/0
2639.68;783.7;1345.98;PP/4.74,TA/31.52,IS/1.37,PS/31.33,RB/0.02,OB/1301.13,RP/0
2699.97;197.21;1392.49;PP/4.83,TA/31.91,IS/1.38,PS/31.72,RB/0.02,OB/1346.95,RP/0
2759.92;204.14;1440.2;PP/4.96,TA/32.38,IS/1.39,PS/32.19,RB/0.02,OB/1393.82,RP/0
2819.98;207.63;1497.4;PP/5.11,TA/32.75,IS/1.4,PS/32.55,RB/0.02,OB/1450.29,RP/0
2879.9;208.98;1505.31;PP/5.2,TA/33.19,IS/1.4,PS/32.99,RB/0.02,OB/1457.52,RP/0
2939.99;211;1508.9;PP/5.31,TA/33.38,IS/1.41,PS/33.18,RB/0.02,OB/1460.64,RP/0
2999.86;221.69;1516.96;PP/5.43,TA/33.76,IS/1.41,PS/33.56,RB/0.02,OB/1468.05,RP/0
3059.94;230.4;1543.18;PP/5.55,TA/34.06,IS/1.42,PS/33.86,RB/0.02,OB/1493.61,RP/0
3119.97;235.91;1549.22;PP/5.62,TA/34.35,IS/1.42,PS/34.15,RB/0.02,OB/1499.17,RP/0
3179.99;236.43;1584.24;PP/5.71,TA/34.75,IS/1.42,PS/34.54,RB/0.02,OB/1533.51,RP/0
3239.92;235.98;1633.7;PP/5.81,TA/35.08,IS/1.42,PS/34.87,RB/0.02,OB/1582.32,RP/0
3299.91;236.6;1663.34;PP/5.91,TA/35.35,IS/1.42,PS/35.14,RB/0.02,OB/1611.43,RP/0
3359.84;238.5;1678.65;PP/6.01,TA/35.61,IS/1.42,PS/35.41,RB/0.02,OB/1626.24,RP/0
3419.97;236.26;1682.65;PP/6.1,TA/35.91,IS/1.42,PS/35.7,RB/0.02,OB/1629.73,RP/0
3479.99;236.82;1710.14;PP/6.18,TA/36.29,IS/1.42,PS/36.07,RB/0.02,OB/1656.58,RP/0
3539.97;239.9;1745.1;PP/6.41,TA/36.49,IS/1.42,PS/36.27,RB/0.02,OB/1690.92,RP/0
3599.99;238.7;1774.06;PP/6.5,TA/36.87,IS/1.42,PS/36.66,RB/0.02,OB/1719.22,RP/0
3659.98;243.05;1784.64;PP/6.6,TA/37.27,IS/1.42,PS/37.05,RB/0.02,OB/1729.16,RP/0
3719.99;250.57;1831.87;PP/6.69,TA/37.55,IS/1.42,PS/37.33,RB/0.02,OB/1775.82,RP/0
3779.84;250.09;1881.91;PP/6.8,TA/37.73,IS/1.42,PS/37.51,RB/0.02,OB/1825.33,RP/0
3840;252.31;1926.78;PP/6.9,TA/38.06,IS/1.42,PS/37.83,RB/0.02,OB/1869.57,RP/0
3899.81;252.1;1957.26;PP/7,TA/38.51,IS/1.42,PS/38.28,RB/0.02,OB/1899.33,RP/0
3959.95;252.09;1961.03;PP/7.11,TA/38.75,IS/1.42,PS/38.52,RB/0.02,OB/1902.63,RP/0
4019.67;252.47;1967.89;PP/7.21,TA/39.08,IS/1.42,PS/38.84,RB/0.02,OB/1908.97,RP/0
4079.96;253.7;1971.83;PP/7.32,TA/39.3,IS/1.42,PS/39.06,RB/0.02,OB/1912.47,RP/0
4139.95;271.04;1977.28;PP/7.4,TA/39.42,IS/1.42,PS/39.19,RB/0.02,OB/1917.6,RP/0
4199.99;272.16;1980.87;PP/7.49,TA/39.77,IS/1.42,PS/39.54,RB/0.02,OB/1920.63,RP/0
4259.87;294.35;1985.73;PP/7.57,TA/39.87,IS/1.42,PS/39.63,RB/0.02,OB/1925.24,RP/0
4319.98;298.52;1989.49;PP/7.66,TA/40.03,IS/1.42,PS/39.79,RB/0.02,OB/1928.68,RP/0
4379.97;301.69;1992.17;PP/7.71,TA/40.18,IS/1.42,PS/39.94,RB/0.02,OB/1931.06,RP/0
4439.86;320.95;1996.96;PP/7.77,TA/40.28,IS/1.42,PS/40.04,RB/0.02,OB/1935.59,RP/0
4499.93;324.91;1999.31;PP/7.88,TA/40.43,IS/1.42,PS/40.19,RB/0.02,OB/1937.59,RP/0
4559.8;328.74;2004;PP/7.94,TA/40.49,IS/1.42,PS/40.24,RB/0.02,OB/1942.09,RP/0
4619.99;343.74;2007.59;PP/8.01,TA/40.6,IS/1.42,PS/40.36,RB/0.02,OB/1945.4,RP/0
4680;346.34;2012.11;PP/8.08,TA/40.69,IS/1.42,PS/40.45,RB/0.02,OB/1949.69,RP/0
4739.99;307.12;2014.89;PP/8.13,TA/40.79,IS/1.42,PS/40.54,RB/0.02,OB/1952.2,RP/0
4800;312.1;2020.66;PP/8.22,TA/40.84,IS/1.42,PS/40.59,RB/0.02,OB/1957.74,RP/0
4859.79;315.62;2023.61;PP/8.28,TA/40.96,IS/1.42,PS/40.71,RB/0.02,OB/1960.42,RP/0
4919.98;318.29;2026.82;PP/8.33,TA/41.06,IS/1.42,PS/40.81,RB/0.02,OB/1963.41,RP/0
4979.88;322.65;2030.75;PP/8.4,TA/41.23,IS/1.42,PS/40.99,RB/0.02,OB/1967.02,RP/0
5039.62;325.95;2035.87;PP/8.49,TA/41.37,IS/1.42,PS/41.13,RB/0.02,OB/1971.82,RP/0
5099.93;329.41;2039.44;PP/8.55,TA/41.51,IS/1.42,PS/41.27,RB/0.02,OB/1975.12,RP/0
5159.8;332.43;2043.9;PP/8.6,TA/41.7,IS/1.42,PS/41.46,RB/0.02,OB/1979.27,RP/0
5219.59;336.49;2047.92;PP/8.66,TA/41.89,IS/1.42,PS/41.64,RB/0.02,OB/1982.95,RP/0
5279.99;408.29;2053.77;PP/8.74,TA/42.04,IS/1.42,PS/41.79,RB/0.02,OB/1988.49,RP/0
5339.99;461.39;2057.33;PP/8.83,TA/42.22,IS/1.42,PS/41.97,RB/0.02,OB/1991.7,RP/0
5399.82;465.46;2062.19;PP/8.91,TA/42.38,IS/1.42,PS/42.13,RB/0.02,OB/1996.25,RP/0
5459.98;384.44;2105.79;PP/9.04,TA/42.61,IS/1.42,PS/42.36,RB/0.02,OB/2039.3,RP/0
5519.91;391.9;2149.41;PP/9.11,TA/42.75,IS/1.42,PS/42.5,RB/0.02,OB/2082.57,RP/0
5579.94;869.46;2304.25;PP/9.21,TA/42.95,IS/1.42,PS/42.7,RB/0.02,OB/2236.95,RP/0
5639.97;690.6;2409.38;PP/9.27,TA/43.07,IS/1.42,PS/42.82,RB/0.02,OB/2341.76,RP/0
5699.98;839.13;2420.84;PP/9.38,TA/43.33,IS/1.42,PS/43.08,RB/0.02,OB/2352.74,RP/0
5760;842.36;2425.19;PP/9.44,TA/43.35,IS/1.43,PS/43.1,RB/0.02,OB/2356.92,RP/0
5819.99;856.52;2429.03;PP/9.54,TA/43.55,IS/1.44,PS/43.29,RB/0.02,OB/2360.35,RP/0
5879.86;861.2;2431.95;PP/9.61,TA/43.76,IS/1.46,PS/43.51,RB/0.02,OB/2362.87,RP/0
5939.99;866.84;2437.37;PP/9.69,TA/44.3,IS/1.47,PS/44.05,RB/0.02,OB/2367.55,RP/0
5999.79;874.16;2473.68;PP/9.79,TA/44.67,IS/1.47,PS/44.41,RB/0.02,OB/2403.2,RP/0
6059.87;880.76;2525;PP/9.86,TA/44.98,IS/1.48,PS/44.72,RB/0.02,OB/2453.91,RP/0
6119.96;432.02;2579.63;PP/10.06,TA/45.2,IS/1.49,PS/44.94,RB/0.02,OB/2507.89,RP/0
6179.99;435.75;2701.09;PP/10.16,TA/45.26,IS/1.51,PS/44.99,RB/0.02,OB/2628.86,RP/0
6239.97;438.03;2778.55;PP/10.26,TA/45.43,IS/1.52,PS/45.16,RB/0.02,OB/2705.76,RP/0
6299.99;560.36;2834.29;PP/10.37,TA/45.66,IS/1.53,PS/45.38,RB/0.02,OB/2760.91,RP/0
6359.99;568.55;2876.96;PP/10.48,TA/45.9,IS/1.55,PS/45.62,RB/0.02,OB/2803.02,RP/0
6419.98;582.5;2926.08;PP/10.58,TA/46.13,IS/1.56,PS/45.85,RB/0.02,OB/2851.55,RP/0
6479.96;451.83;2982.67;PP/10.68,TA/46.4,IS/1.57,PS/46.13,RB/0.02,OB/2907.54,RP/0
6540;457.48;3039.32;PP/10.78,TA/46.56,IS/1.58,PS/46.28,RB/0.02,OB/2963.68,RP/0
6600;460.78;3095.69;PP/10.87,TA/46.78,IS/1.59,PS/46.5,RB/0.02,OB/3019.47,RP/0
6659.81;460.63;3154.08;PP/10.98,TA/46.97,IS/1.6,PS/46.68,RB/0.02,OB/3077.3,RP/0
6719.89;460.67;3203.34;PP/11.08,TA/47.1,IS/1.6,PS/46.82,RB/0.02,OB/3126.1,RP/0
6779.98;460.64;3269.43;PP/11.17,TA/47.17,IS/1.61,PS/46.88,RB/0.02,OB/3191.79,RP/0
6839.98;459.52;3335.53;PP/11.27,TA/47.38,IS/1.61,PS/47.1,RB/0.02,OB/3257.27,RP/0
6899.97;459.9;3410;PP/11.4,TA/47.52,IS/1.62,PS/47.23,RB/0.02,OB/3331.19,RP/0
6959.99;449.52;3476.43;PP/11.51,TA/47.73,IS/1.63,PS/47.44,RB/0.02,OB/3397.02,RP/0
7019.98;474.49;3549.32;PP/11.62,TA/48,IS/1.66,PS/47.7,RB/0.02,OB/3469.22,RP/0
7079.98;477.5;3621.71;PP/11.72,TA/48.36,IS/1.68,PS/48.05,RB/0.02,OB/3540.86,RP/0
7139.96;477.47;3697.3;PP/11.85,TA/48.4,IS/1.71,PS/48.1,RB/0.02,OB/3616.02,RP/0
7199.68;477.31;3770.44;PP/11.96,TA/48.65,IS/1.74,PS/48.34,RB/0.02,OB/3688.54,RP/0
