#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;94;0;0;0;0;0;0;0;0;0
599.88;0.73;96;0;0;0;0;0;0;0;0;0
1199.97;0.74;98;0;0;0;0;0;0;0;0;0
1799.97;0.75;98;0;0;0;0;0;0;0;0;0
2399.92;0.76;99;0;0;0;0;0;0;0;0;0
2999.96;0.76;99;0;0;0;0;0;0;0;0;0
3599.91;0.74;99;0;0;0;0;0;0;0;0;0
4199.94;0.71;99;0;0;0;0;0;0;0;0;0
4799.94;0.68;99;0;0;0;0;0;0;0;0;0
5400;0.65;99;0;0;0;0;0;0;0;0;0
5999.93;0.65;99;0;0;0;0;0;0;0;0;0
6599.97;0.67;99;0;0;0;0;0;0;0;0;0
7199.98;0.67;99;0;0;0;0;0;0;0;0;0
