#TimeStamp;DistanceTraveled
59.99;2662.34
119.96;745.54
179.98;974.84
240;1296.21
299.98;1416.43
359.97;1444.88
419.97;1369.26
479.94;1627.29
539.98;1634.41
599.88;1647.12
659.96;1749.67
719.93;1539.76
779.96;1501.44
839.96;1659.29
899.65;1684.85
959.86;1550.68
1019.9;1764.06
1080;1539.95
1139.95;1742.32
1199.97;1720.06
1259.97;1653.58
1319.89;1524.9
1380;1586.36
1439.94;1567.16
1499.98;1519.79
1559.99;1821.56
1619.97;1749.38
1679.98;1728.39
1739.98;1774.51
1799.97;1762.18
1859.78;2058.5
1919.98;2015.65
1979.93;1741.82
2039.98;1827.24
2099.97;1668.75
2159.97;2080.53
2219.99;2015.41
2279.99;1829.98
2339.98;1946.78
2399.92;1822.06
2459.97;1742.65
2519.87;1928.22
2579.98;2054.22
2639.97;1873.47
2700;1548.79
2759.99;1575.49
2819.96;1432.22
2880;1419.86
2939.94;1186.51
2999.96;973
3059.95;991.87
3119.98;1036.37
3179.98;1092.06
3239.98;1071.43
3299.9;1217.87
3359.96;862.27
3419.91;666.74
3479.63;759.89
3539.88;782.01
3599.91;954.73
3659.92;706.63
3719.97;988.56
3779.97;688.21
3839.99;902.03
3899.82;768.45
3959.99;851.95
4019.89;797.25
4079.97;865.49
4139.98;926.09
4199.94;771.45
4259.99;678.93
4319.8;874.17
4379.75;1010.77
4439.99;895.44
4499.96;1054.02
4559.96;799.36
4619.96;942.94
4679.91;1000.76
4739.99;895.21
4799.94;940.7
4859.95;941.26
4919.99;887
4979.97;999.9
5039.99;1063.92
5099.99;1022.32
5160;1082.93
5219.97;1031.73
5279.99;1107.91
5339.74;1023.37
5400;971.91
5459.96;1807.72
5519.89;1308.84
5579.78;967.2
5639.96;1225.07
5700;1439.05
5759.92;1538.39
5819.88;1483.89
5879.97;2066.07
5939.98;1842.69
5999.93;1953.23
6059.95;2209.67
6119.97;2044.01
6179.99;2003.06
6239.97;2170.23
6299.94;2113.31
6359.63;2007.56
6419.97;2039.21
6480;2130.86
6539.96;2038.83
6599.97;1816.7
6659.98;1483.92
6719.86;1343.43
6779.89;1647.66
6839.97;1589.83
6899.93;1673.95
6959.97;1894.34
7019.95;2017.49
7079.98;1961.59
7139.96;2024.04
7199.98;2022.63
