#TimeStamp;TripTime;Type
27;14;O
28;18;O
30;14;I
31;20;O
35;24;O
37;25;O
38;26;I
46;38;O
47;30;O
50;35;O
54;38;I
54;36;I
57;35;I
64;39;I
66;47;I
66;42;I
68;38;I
68;44;I
70;56;O
70;53;O
77;49;I
78;50;I
79;60;I
80;66;O
82;58;I
86;38;I
88;45;I
92;48;I
97;70;I
104;58;I
107;65;I
119;105;O
123;27;I
148;27;I
152;26;I
165;29;O
168;53;O
172;49;I
176;30;I
179;18;O
181;27;O
185;49;I
187;33;I
189;35;I
190;49;I
194;14;O
197;35;O
208;39;O
209;15;O
213;35;I
215;46;I
216;31;I
223;40;O
229;29;I
233;34;I
234;29;O
241;21;O
242;38;O
242;39;I
265;16;I
266;10;I
266;72;I
280;38;I
289;72;I
293;36;O
295;54;I
296;58;I
300;24;I
301;41;I
303;43;I
308;37;I
310;41;I
317;28;O
319;66;I
320;50;O
320;70;I
323;35;I
323;21;I
327;41;O
336;49;O
343;37;I
343;41;I
354;25;I
357;52;O
362;33;I
364;32;I
366;42;I
382;35;O
383;58;O
383;25;I
388;22;I
392;43;O
395;20;I
405;42;I
405;48;O
406;45;I
417;47;I
421;33;I
423;19;I
426;29;I
429;65;O
431;29;I
435;41;I
436;41;I
438;43;O
442;12;I
454;86;I
461;38;O
468;28;O
473;62;I
473;39;I
476;14;O
482;51;I
485;15;O
489;21;O
490;46;I
495;64;I
502;77;O
509;45;O
512;43;I
512;29;O
518;25;I
525;50;I
525;48;I
531;35;O
532;23;I
535;28;I
539;22;O
555;46;O
557;65;I
564;67;I
570;75;I
573;55;I
574;20;O
581;22;O
583;43;I
590;69;I
591;36;O
592;26;I
596;23;O
599;64;I
600;55;I
606;29;O
613;85;I
614;51;I
619;52;O
627;36;O
637;46;I
639;37;O
646;71;I
647;42;I
649;59;I
654;86;I
655;29;O
657;43;I
659;25;O
659;34;O
665;34;O
666;22;I
667;53;I
672;57;I
676;26;O
680;36;I
692;41;I
696;53;I
704;26;O
705;72;I
716;59;I
721;36;O
726;29;I
726;52;O
728;35;I
730;46;I
738;34;I
741;52;I
742;18;O
747;20;O
748;36;I
750;66;I
760;43;I
762;59;I
766;37;I
768;36;I
768;69;I
771;7;O
794;25;I
796;53;O
796;47;I
805;64;O
814;44;I
814;57;I
819;60;I
820;27;O
822;21;O
824;58;I
830;40;O
832;22;O
833;34;I
842;37;I
846;44;O
846;56;I
849;50;I
852;43;I
857;27;I
859;51;I
865;35;I
870;36;I
874;32;O
875;43;I
882;42;I
883;70;I
888;37;O
892;78;I
895;47;O
907;59;I
918;42;I
919;38;I
921;30;O
926;61;O
929;45;I
931;16;O
933;56;I
936;47;I
937;34;O
944;39;I
948;39;I
948;28;I
949;41;I
949;20;I
952;29;O
957;35;O
959;39;I
965;37;I
967;68;I
972;30;I
973;41;O
977;37;I
984;37;I
996;62;O
1000;65;O
1001;24;I
1001;31;I
1002;45;I
1007;25;O
1017;41;I
1032;24;O
1033;39;I
1034;35;I
1040;29;I
1041;52;I
1041;36;I
1042;15;O
1046;40;I
1061;33;O
1061;37;I
1064;19;O
1065;39;I
1067;19;I
1068;47;I
1072;44;I
1077;33;I
1080;34;O
1081;56;O
1083;47;O
1083;37;I
1090;40;I
1090;48;I
1099;23;I
1101;32;O
1102;25;I
1104;42;I
1107;35;I
1115;21;O
1117;33;O
1133;67;I
1135;37;O
1141;35;I
1142;35;O
1143;45;O
1146;39;I
1147;26;I
1152;43;I
1153;27;O
1156;23;I
1158;40;O
1162;30;O
1166;42;I
1171;56;I
1172;44;I
1181;39;I
1194;42;I
1194;54;I
1194;20;I
1197;12;O
1199;21;O
1202;35;O
1204;43;O
1204;28;I
1205;41;I
1206;34;O
1216;43;I
1219;37;O
1223;55;I
1231;35;O
1234;26;I
1235;37;I
1240;42;O
1242;29;O
1242;51;I
1249;25;I
1252;45;I
1253;95;I
1254;29;I
1258;38;I
1269;44;I
1270;50;I
1271;34;I
1273;30;I
1277;23;I
1293;41;O
1296;34;I
1299;29;O
1299;46;I
1302;39;O
1304;74;O
1307;51;I
1308;22;O
1316;22;O
1321;54;I
1326;54;I
1333;24;O
1336;26;I
1339;34;O
1340;46;I
1353;54;O
1357;44;O
1362;56;I
1362;30;O
1368;37;I
1370;51;I
1372;46;I
1381;42;I
1392;49;I
1394;81;I
