#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
35.53;57;322;2;35.53;35.48
43.2;58;611;1;43.2;43.16
45.58;57;322;2;45.58;45.54
53.42;58;611;1;53.42;53.38
55.61;57;322;2;55.61;55.57
60.04;41;598;4;60.04;60
63.47;58;611;1;63.47;63.42
69.14;59;50;3;69.14;69.09
70.03;18;1029;2;70.03;69.99
70.08;41;598;4;70.08;70.03
73.13;45;54;5;73.13;73.09
73.82;36;60;0;73.82;73.78
77.86;6;679;1;77.86;77.82
79.18;59;50;3;79.18;79.14
80.04;18;1029;2;80.04;79.99
80.08;41;598;4;80.08;80.04
83.22;45;54;5;83.22;83.17
83.87;36;60;0;83.87;83.82
87.92;6;679;1;87.92;87.87
90.07;18;1029;2;90.07;90.02
94.02;47;1188;3;94.02;93.97
94.86;21;267;4;94.86;94.82
97.96;6;679;1;97.96;97.92
98.45;0;334;5;98.45;98.41
99.55;38;439;0;99.55;99.51
100.11;18;1029;2;100.11;100.07
104.07;47;1188;3;104.07;104.02
104.95;21;267;4;104.95;104.91
107.97;6;679;1;107.97;107.93
108.58;0;334;5;108.58;108.53
109.57;38;439;0;109.57;109.52
114.11;47;1188;3;114.11;114.07
114.97;21;267;4;114.97;114.93
115.18;4;943;2;115.18;115.13
118.62;0;334;5;118.62;118.58
122.17;22;779;1;122.17;122.12
123.72;2;488;0;123.72;123.67
125.2;4;943;2;125.2;125.16
128.2;23;535;3;128.2;128.16
128.67;0;334;5;128.67;128.62
129.43;56;489;4;129.43;129.38
132.26;22;779;1;132.26;132.22
133.85;2;488;0;133.85;133.81
135.21;4;943;2;135.21;135.16
138.38;23;535;3;138.38;138.33
139.46;56;489;4;139.46;139.42
142.29;22;779;1;142.29;142.25
143.69;34;725;5;143.69;143.65
143.87;2;488;0;143.87;143.83
145.25;4;943;2;145.25;145.21
148.42;23;535;3;148.42;148.38
152.33;22;779;1;152.33;152.29
153.74;34;725;5;153.74;153.69
158.82;10;1158;0;158.82;158.77
159.52;57;910;2;159.52;159.47
162.86;59;718;3;162.82;68.8
163.78;34;725;5;163.78;163.74
168.86;10;1158;0;168.86;168.82
169.75;57;910;2;169.75;169.7
172.92;59;718;3;172.92;78.85
177.18;58;125;1;177.18;177.13
178.42;15;1023;5;178.42;178.38
178.86;10;1158;0;178.86;178.82
179.76;57;910;2;179.76;179.72
182.96;59;718;3;182.91;88.89
187.22;58;125;1;187.22;187.18
188.47;15;1023;5;188.47;188.42
193.93;36;246;0;193.88;193.04
194.91;41;1061;4;194.87;194.03
194.96;18;1059;2;194.96;194.91
198.51;15;1023;5;198.51;198.47
