layer,metric,empty,loaded,total,unit
L1,orders_completed,,,3746,orders
L1,orders_per_hour,,,1873,orders/h
L1,total_energy_with_support_kJ,,,53827.6306075404,kJ
L1,total_energy_mech_kJ,,,15167.2431738933,kJ
L1,energy_total_with_support_per_order_kJ,,,14.3693621483023,kJ/order
L1,energy_mech_per_order_kJ,,,4.04891702453105,kJ/order
L1,total_distance_m,,,176187.692927322,m
L1,order_distance_m,,,47.0335539047843,m/order
L1,system_order_pile_on,,,4.37616822429907,orders/output_station_arrival
L1,input_station_arrivals,,,714,count
L1,output_station_arrivals,,,856,count
L1,station_arrivals_total,,,1570,count
L2,trip_count,2367,3158,5525,trips
L2,distance_m,66340,110031,176371,m
L2,total_time_sec,57914.3815636988,112049.022129672,169963.403693371,s
L2,total_move_turn_energy_kJ,4319.60940697211,10195.5107748389,14515.120181811,kJ
L2,move_turn_pct_of_mech,28.4798585837092,67.2205928127268,,%
L2,avg_distance_per_trip_m,28.0270384452894,34.84198860038,,m/trip
L2,avg_time_per_trip_sec,24.467419334051,35.4810076408082,,s/trip
L2,avg_energy_per_trip_kJ,1.82493004096836,3.22847079633912,,kJ/trip
L3,e1_accel_kJ,,,2761.92144034989,kJ
L3,e2_decel_kJ,,,0,kJ
L3,e3_cruise_kJ,,,9509.09976180145,kJ
L3,e4_rotation_kJ,,,2244.09897965972,kJ
L3,e5_lift_kJ,,,652.122992082276,kJ
L3,e1_pct_of_mech,,,18.2097788548934,%
L3,e2_pct_of_mech,,,0,%
L3,e3_pct_of_mech,,,62.6949779388322,%
L3,e4_pct_of_mech,,,14.7956946027106,%
L3,e5_pct_of_mech,,,4.29954860356393,%
L4,turn_count,4882,12746,17628,events
L4,turn_energy_kJ,504.06518197211,1740.03379768761,2244.09897965972,kJ
L4,turn_pct_of_total,0.936443191503766,3.23260336382678,,%
L4,turn_pct_of_state,11.6692305827124,17.0666662623884,,%
L4,turn_per_trip,2.06252640473173,4.03609879670678,,per trip
L4,turn_per_m,0.0735905939101598,0.115840081431597,,per m
L5,wait_time_sec,1449.45198372236,5482.27677512791,6931.72875885027,s
L5,wait_energy_kJ,130.450678535013,493.404909761512,623.855588296524,kJ
L5,wait_pct_of_total,0.242348914605093,0.916638730318538,,%
L5,wait_ratio_mean,0.0221951559839565,0.0284712521849546,0.0257845398104077,ratio
L5,wait_ratio_median,0.00610718774682994,0.00620583881299056,0.00616934853800266,ratio
L5,wait_ratio_p95,0.10752997020389,0.131702939894492,0.124655556474641,ratio
L6,composition_move_pct,,,22.7968815711393,%
L6,composition_turn_pct,,,4.16904655533055,%
L6,composition_lift_pct,,,1.21150231715925,%
L6,composition_wait_pct,,,1.15898764492363,%
L6,composition_support_pct,,,70.6635819114473,%
L6,energy_empty_to_loaded_ratio,,,0.423677587358574,ratio
L6,effective_motion_ratio,,,0.959216345353052,ratio
L6,wait_energy_per_order_kJ,,,0.166539131953157,kJ/order
L6,energy_per_m_empty_J,65.1131957638244,,,J/m
L6,energy_per_m_loaded_J,,92.6603482185833,,J/m
