#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;94;0;0;0;0;0;0;0;0;0
599.99;0.73;96;0;0;0;0;0;0;0;0;0
1199.85;0.74;96;0;0;0;0;0;0;0;0;0
1799.87;0.75;96;0;0;0;0;0;0;0;0;0
2399.95;0.76;97;0;0;0;0;0;0;0;0;0
2999.99;0.76;97;0;0;0;0;0;0;0;0;0
3599.84;0.75;97;0;0;0;0;0;0;0;0;0
4199.98;0.75;97;0;0;0;0;0;0;0;0;0
4799.74;0.75;97;0;0;0;0;0;0;0;0;0
5400;0.75;97;0;0;0;0;0;0;0;0;0
5999.89;0.75;97;0;0;0;0;0;0;0;0;0
6600;0.75;97;0;0;0;0;0;0;0;0;0
7199.96;0.75;97;0;0;0;0;0;0;0;0;0
