#TimeStamp;DistanceTraveled
59.99;2537.46
119.99;834.82
179.99;1064.7
240;1238.4
300;1607.36
359.94;1104.27
419.99;1544.61
479.99;1352.21
539.99;1583.78
599.99;1664.42
659.75;1658.73
719.96;1560.74
779.96;1750.33
839.95;1748.5
899.97;1940.35
959.95;1779.54
1019.94;1870.35
1079.97;1819.94
1139.97;1666.93
1199.85;1616.03
1260;1723.43
1319.98;1571.16
1379.96;1407.76
1439.99;1602.42
1499.79;1736.33
1559.99;1767.65
1619.99;1986.37
1679.97;1835.74
1739.98;1748.27
1799.87;1717.8
1859.99;1822.74
1919.98;1035.25
1979.91;1703.82
2040;1764.02
2099.93;1723.29
2159.94;1857.41
2219.98;1740.79
2279.97;1779.82
2339.96;1990.44
2399.95;2013.71
2459.95;1888.52
2519.96;1548.66
2579.98;1977.91
2639.93;1911.73
2699.9;1696.05
2759.94;1606.14
2819.76;1421.76
2879.97;1270.12
2939.92;1220.67
2999.99;1064.97
3059.98;1151.35
3119.91;1169.5
3179.95;1372.58
3239.96;1045.8
3299.84;267.65
3359.99;234.3
3419.79;260.79
3479.91;125.48
3539.69;69.35
3599.84;23.55
3659.99;36.61
3719.93;17.84
3779.89;7
3839.99;16
3899.9;14
3959.83;9.25
4019.88;8.75
4079.93;14
4139.89;16
4199.98;2
4259.95;16
4320;14
4379.98;5.82
4439.87;12.18
4500;14
4559.89;12.04
4619.82;5.96
4680;14
4739.88;16
4799.74;2
4859.89;16
4919.87;14
4979.98;6
5039.87;12
5099.97;14
5159.95;14.07
5219.86;3.93
5279.97;14.83
5339.86;15.17
5400;2
5459.89;16
5519.96;14
5580;8.77
5639.84;9.23
5699.98;14
5759.77;16
5819.76;2
5879.96;14.07
5939.84;15.93
5999.89;2.18
6059.98;15.82
6119.85;14
6179.89;9
6239.95;9
6299.97;14
6359.83;16
6419.93;2
6479.98;15
6539.98;15
6600;2
6659.91;16
6719.96;14
6779.96;2.98
6839.96;15.02
6899.82;14
6959.89;9
7019.96;9
7079.96;14
7139.82;16
7199.96;2
