#TimeStamp;TripTime;Type
27;14;O
28;19;O
30;14;I
31;20;O
33;21;O
37;25;O
38;26;I
43;35;O
44;29;O
44;28;O
45;32;O
49;24;I
53;37;I
56;34;I
59;40;I
60;32;I
61;43;I
62;40;I
67;37;I
70;53;O
79;56;I
83;36;I
85;61;I
86;72;O
86;45;I
87;37;I
87;74;O
88;60;I
92;64;I
108;55;I
113;50;I
115;70;I
123;27;I
151;11;O
157;25;I
160;38;I
163;30;O
168;26;I
175;46;I
176;30;I
180;25;O
181;17;O
182;29;I
185;52;I
189;48;O
191;33;O
191;35;I
193;16;O
196;42;I
197;32;O
203;23;I
205;25;I
205;28;O
221;60;O
224;22;O
225;53;I
236;35;I
238;15;I
240;29;O
255;17;I
269;61;I
280;33;I
292;63;I
295;76;I
295;55;I
297;27;O
298;21;I
299;26;O
300;70;I
300;35;O
300;36;I
302;25;I
303;45;I
306;29;O
307;31;O
307;32;I
311;55;I
312;50;I
315;41;O
316;46;I
316;44;I
321;53;O
321;22;O
323;32;I
327;26;I
333;69;O
333;60;O
344;67;O
369;23;I
380;26;I
387;48;I
389;32;I
392;41;I
398;21;I
402;23;O
410;38;I
413;37;I
416;33;I
416;25;I
425;28;O
426;38;I
427;43;I
427;16;I
429;29;I
429;21;O
430;19;O
430;37;I
433;29;I
436;40;I
440;18;O
442;28;O
447;68;I
449;13;I
465;40;O
468;23;O
471;57;O
472;36;I
479;51;I
486;28;O
490;39;I
507;47;O
510;33;I
527;39;I
527;27;I
528;37;O
529;22;I
531;51;I
532;47;I
545;48;I
546;41;I
548;25;O
553;42;I
555;43;O
559;53;O
559;22;I
572;54;I
581;31;O
582;58;I
582;66;I
593;64;O
595;38;O
597;53;I
604;58;I
605;51;I
611;6;O
616;50;O
617;75;I
622;46;I
624;41;O
626;27;I
630;67;I
631;27;I
634;35;I
637;33;O
639;56;O
650;21;O
655;41;I
656;28;I
662;46;I
664;29;O
664;76;I
674;41;I
679;29;I
682;16;O
684;52;O
690;49;I
698;62;I
699;35;I
700;56;O
701;49;I
713;38;I
717;57;I
718;27;I
719;31;I
732;56;O
732;35;O
733;26;O
735;28;O
736;46;I
741;45;I
746;40;I
752;41;O
754;37;I
754;45;I
757;34;O
765;40;I
767;41;I
771;74;I
776;29;I
781;24;O
783;34;O
790;34;O
798;35;I
799;49;I
801;32;I
807;46;I
810;37;I
812;58;I
819;54;I
822;22;O
826;21;O
830;28;O
831;28;I
837;64;O
840;37;O
842;51;I
847;49;I
853;29;O
857;23;O
857;43;I
859;90;I
860;42;I
860;37;I
864;43;O
868;32;I
870;46;I
873;53;I
879;62;O
885;43;I
886;66;O
889;41;O
893;23;O
894;34;O
895;32;I
898;75;I
908;53;I
915;32;I
920;38;I
925;49;I
934;68;O
934;23;O
934;20;O
942;33;I
944;31;I
950;5;I
959;42;I
962;93;I
965;75;I
968;36;I
968;40;O
971;47;I
971;30;O
974;63;I
978;35;O
992;34;O
995;21;I
998;43;I
999;20;O
1008;35;O
1010;67;O
1010;66;I
1012;36;I
1012;17;O
1022;61;O
1026;31;I
1027;30;I
1029;54;I
1035;41;I
1036;53;I
1039;55;O
1041;36;I
1045;24;O
1049;22;I
1051;51;I
1060;67;I
1062;46;I
1063;39;O
1075;34;O
1076;39;I
1080;53;O
1082;51;I
1090;87;I
1090;48;O
1091;36;I
1097;50;I
1099;28;I
1106;42;I
1109;43;I
1109;41;I
1110;57;O
1112;56;O
1129;38;I
1131;36;I
1132;38;I
1140;27;I
1148;13;O
1155;35;O
1155;41;I
1155;44;I
1156;25;O
1157;57;O
1162;40;I
1168;36;I
1171;67;O
1172;27;O
1175;36;I
1178;46;I
1185;31;I
