#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;129;300;0;0;0;0;0;0.6
59.86;52;300;59.82;59.18;59.86;59.86;0.47;0.6
119.96;50;300;116.49;105.28;119.96;119.96;0.46;0.59
179.97;49;300;171.86;152.41;179.97;179.97;0.48;0.6
239.96;46;300;214.42;186.57;239.96;238.93;0.46;0.61
299.94;45;300;263.77;215.97;299.94;294.83;0.43;0.63
359.94;45;300;308.97;225.73;359.94;339.66;0.47;0.64
419.82;44;300;356.59;210.23;419.82;391.5;0.75;0.63
479.91;42;300;180.87;172.36;479.91;435.57;0.6;0.61
539.79;41;300;191.75;136.76;539.79;463.16;0.51;0.6
600;41;300;599.95;151.15;600;519.25;1;0.58
659.93;39;300;235.84;198.37;659.93;581.21;0.5;0.58
719.91;39;300;68.07;212.69;719.91;627.31;0.25;0.57
779.87;39;300;0;199.75;0;638.68;0;0.55
839.67;39;300;0;193.6;0;693.08;0;0.52
899.81;39;300;0;212.48;0;728.65;0;0.5
959.88;39;300;0;207.79;0;753.63;0;0.48
1019.97;39;300;0;217.01;0;779.75;0;0.48
1079.96;39;300;0;207.58;0;778.65;0;0.5
1139.99;39;300;0;195.32;0;814.25;0;0.49
1199.89;39;300;0;198.76;0;843.63;0;0.49
1259.84;0;300;59.67;180.13;1259.84;812.03;0.45;0.5
1319.92;0;300;119.75;204.66;1319.92;881.92;0.52;0.51
1379.97;0;300;179.8;195.7;1379.97;962.85;0.47;0.5
1439.94;0;300;239.77;186.66;1439.94;988.51;0.33;0.49
1500;0;300;299.83;179.6;1500;928.29;0.07;0.48
1559.89;0;300;0;180.14;0;917.24;0;0.49
1619.95;0;300;0;196.98;0;924.87;0;0.49
1679.97;0;300;0;215.61;0;1034.61;0;0.5
1739.9;0;300;0;213.9;0;1037.07;0;0.5
1799.79;0;300;0;218.74;0;1081.37;0;0.52
1859.99;0;300;0;210.81;0;1214.88;0;0.51
1919.96;0;300;0;201.99;0;1411.77;0;0.5
1979.61;0;300;0;188.08;0;1417.79;0;0.48
2039.98;0;300;0;169.64;0;1395.46;0;0.48
2099.64;0;300;0;176.97;0;1428.43;0;0.47
2159.95;0;300;0;180.59;0;1437.8;0;0.44
2219.85;0;300;0;208.43;0;1405.7;0;0.43
2279.99;0;300;0;247.48;0;1422.42;0;0.43
2339.72;0;300;0;256.48;0;1405.79;0;0.45
2399.99;0;300;0;264.68;0;1347.2;0;0.48
2459.75;0;300;0;253.63;0;1284;0;0.5
2519.94;84;300;47.83;247.72;47.94;1214.28;0.4;0.52
2579.83;79;300;102.83;212.95;107.83;1063.19;0.4;0.53
2639.99;66;300;141.06;219.68;167.99;1095.55;0.41;0.54
2699.99;58;300;179.09;231.62;227.99;1175.77;0.45;0.54
2759.82;55;300;227.03;203.01;287.82;1128.13;0.45;0.54
2819.96;52;300;273.62;200.35;347.96;1126.27;0.42;0.52
2879.96;50;300;287.29;165.2;407.96;1031.19;0.43;0.52
2939.92;50;300;326.36;171.69;467.92;1085.66;0.42;0.52
2999.95;50;300;384.86;165.01;527.95;1113.32;0.45;0.49
3059.77;49;300;386.07;182.8;587.77;1076.26;0.47;0.48
3119.9;48;300;320.57;198.45;647.9;1144.66;0.42;0.47
3179.98;47;300;344.22;223.55;707.98;1279.24;0.63;0.46
3239.96;46;300;386.72;204.3;767.96;1342.89;0.63;0.44
3299.91;46;300;622.47;217.65;827.91;1574.18;0.82;0.42
3359.95;46;300;682.5;210.16;887.95;1505.94;0.82;0.44
3419.73;46;300;0;233.53;0;1536.03;0;0.42
3479.99;46;300;0;213.15;0;1611.29;0;0.43
3539.92;46;300;0;222.99;0;1753.65;0;0.43
3599.86;46;300;0;207.24;0;1577.68;0;0.44
3659.85;46;300;0;203.09;0;1439.95;0;0.47
3719.99;0;300;47.82;187.34;1247.99;1366.8;0.39;0.47
3779.83;0;300;107.66;187.99;1307.83;1412.89;0.38;0.46
3839.76;0;300;167.59;194.79;1367.76;1366.36;0.35;0.46
3899.84;0;300;227.67;198.91;1427.84;1321.53;0.37;0.49
3960;0;300;287.83;217.76;1488;1374.16;0.31;0.5
4019.95;0;300;347.78;204.4;1547.95;1415.41;0.29;0.48
4079.89;0;300;407.72;206.64;1607.89;1365.21;0.37;0.47
4139.85;0;300;0;197.07;0;1478.5;0;0.44
4199.99;0;300;0;180.81;0;1383.01;0;0.46
4259.99;0;300;0;199.01;0;1340.8;0;0.47
4319.88;0;300;0;193.94;0;1270.11;0;0.46
4379.78;0;300;0;229.87;0;1348.94;0;0.45
4439.97;0;300;0;214.79;0;1319.71;0;0.46
4499.99;0;300;0;242.51;0;1410.22;0;0.47
4559.96;0;300;0;217.33;0;1366.32;0;0.46
4619.93;0;300;0;208.31;0;1156.49;0;0.49
4679.77;0;300;0;203.33;0;1234.72;0;0.47
4739.76;0;300;0;191.67;0;1326.98;0;0.45
4799.94;87;300;41.53;185.17;41.68;1365.38;0.46;0.45
4859.75;79;300;92.34;193.73;101.48;1245.03;0.49;0.48
4919.95;74;300;141.04;203.92;161.68;1318.87;0.47;0.48
4979.99;66;300;178.55;194.63;221.72;1332.3;0.49;0.48
5039.85;57;300;209.23;193.08;281.58;1409.43;0.49;0.47
5099.97;50;300;247.24;205.53;341.7;1495.8;0.5;0.46
5159.96;48;300;294.19;212.59;401.69;1537.57;0.49;0.47
5219.96;47;300;331.97;209.34;461.7;1415.99;0.49;0.49
5279.67;46;300;391.24;221.86;521.4;1379.38;0.45;0.5
5339.99;46;300;440.94;204.83;581.72;1336.4;0.47;0.51
5399.95;45;300;505.89;220.56;641.68;1390.88;0.52;0.5
5459.89;45;300;547.8;208.62;701.62;2153.18;0.53;0.48
5519.62;45;300;607.6;231.59;761.35;2398.93;0.54;0.47
5579.93;45;300;587.15;246.26;821.66;2979.3;0.59;0.46
5639.96;45;300;685.03;204.08;881.7;2988.78;0.41;0.46
5699.99;44;300;380.81;204.61;941.73;3022.66;0.34;0.48
5759.62;43;300;419.85;190.89;1001.35;3040.55;0.34;0.47
5819.86;43;300;864.92;191.31;1061.59;2914.36;0.41;0.46
5879.98;42;300;465.88;233.05;1121.71;2946.32;0.34;0.46
5939.85;41;300;352.1;224.22;1181.58;2823.83;0.32;0.47
5999.85;1;300;66.45;216.59;1241.58;2637.64;0.47;0.45
6059.99;0;300;130.5;196.38;1301.73;2160.03;0.44;0.45
6119.97;0;300;158.56;213.85;1361.7;2071.96;0.43;0.45
6179.78;0;300;221.29;220.66;1421.52;2124.93;0.47;0.45
6239.99;0;300;281.5;237.88;1481.72;2155.15;0.52;0.46
6299.98;0;300;341.49;247.88;1541.71;2104.3;0.55;0.47
6359.99;0;300;401.5;245.58;1601.72;2130.34;0.61;0.46
6419.99;0;300;461.5;219.68;1661.72;2229.54;0.61;0.47
6479.71;0;300;521.22;213.36;1721.44;2200.65;0.64;0.48
6539.85;0;300;581.36;233.58;1781.58;2392.67;0.64;0.45
6599.97;0;300;641.48;221.51;1841.7;2414.54;0.63;0.44
6659.8;0;300;701.31;240.46;1901.53;2389.15;0.63;0.45
6719.64;0;300;761.15;238.85;1961.37;2317.69;0.63;0.46
6779.83;0;300;821.34;218.09;2021.56;2269.23;0.74;0.48
6839.96;0;300;0;181.86;0;2231.1;0;0.48
6899.76;0;300;0;184.6;0;2171.5;0;0.51
6959.94;0;300;0;227.69;0;2118.05;0;0.52
7019.98;0;300;0;242.47;0;1906.12;0;0.53
7079.98;0;300;0;239.03;0;1909.32;0;0.53
7139.83;88;300;8.84;224.3;9.56;1781.4;0.46;0.55
7199.96;86;300;67.32;220.02;69.69;1520.18;0.45;0.59
