#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;100;0;0;0;0;0;0.5
59.89;200;100;57.8;59.89;59.88;59.89;0.44;0.5
119.99;200;100;111.91;103.79;119.98;119.99;0.46;0.49
179.96;200;100;163.59;134.89;179.94;172.53;0.46;0.48
239.79;200;100;209.73;185.01;239.77;234.19;0.47;0.46
299.93;200;100;253.93;211.64;299.91;283.13;0.47;0.43
359.77;200;100;299.71;245.16;359.75;339.09;0.48;0.44
419.77;200;100;347.52;282.03;419.71;401.85;0.48;0.41
479.98;200;100;396.64;308.04;478.99;448.44;0.47;0.39
539.97;200;100;437.97;333.44;537.84;482.29;0.47;0.4
599.72;200;100;468.94;347.02;590.3;499.3;0.47;0.41
659.96;200;100;503.6;369.73;641.27;542.71;0.48;0.4
719.99;200;100;538.73;381.99;687.38;575.63;0.49;0.39
779.69;200;100;573.93;410.1;739.02;606.53;0.49;0.39
839.99;200;100;577.7;444.4;757.73;662.55;0.49;0.38
899.99;200;100;615.85;479.8;804.84;685.27;0.49;0.39
959.94;200;100;616.72;496.87;826.58;724.95;0.49;0.39
1019.87;200;100;648.41;511.66;852.69;757.91;0.49;0.39
1079.98;200;100;687.02;532.73;879.28;841.48;0.5;0.4
1139.99;200;100;744.72;547.04;935.89;855.81;0.5;0.4
1199.93;200;100;782.4;569.24;983.02;849.47;0.5;0.38
1259.99;200;100;766.37;590.2;985.36;877.07;0.51;0.4
1320;200;100;798.78;611.3;1067.39;961.81;0.51;0.37
1379.8;200;100;804.76;622.06;1139.99;1024.27;0.51;0.38
1439.92;200;100;847.39;659.95;1198.14;1010.66;0.51;0.38
1499.96;200;100;904.31;688.6;1263.7;1026.44;0.5;0.39
1559.61;200;100;956.52;693.95;1324.63;1037.23;0.49;0.38
1619.98;200;100;976.87;671.87;1400.7;1046.03;0.48;0.39
1679.99;200;100;1035.44;692.71;1455.04;1115.22;0.48;0.38
1739.97;200;100;1082.69;700.5;1500.78;1104.57;0.48;0.38
1799.96;200;100;1152.08;727.65;1556.58;1121.1;0.47;0.37
1859.93;200;100;1128.52;757.59;1649.71;1122.16;0.47;0.38
1919.95;200;100;1184.52;711.11;1709.72;1072.15;0.48;0.36
1979.88;200;100;1222.7;725.17;1770.35;1112.41;0.46;0.36
2039.96;200;100;1233.44;698.67;1835.59;1022.99;0.46;0.38
2099.98;200;100;1259.56;719.44;1905.93;987.43;0.45;0.38
2159.99;200;100;1327.13;737.19;1961.1;1021.53;0.45;0.38
2219.98;200;100;1328.5;763.8;2030.24;1101.42;0.47;0.36
2279.96;200;100;1376.95;766.17;2079.11;1153.07;0.48;0.35
2339.98;200;100;1361.94;788.88;2142.06;1206.95;0.47;0.34
2399.93;200;100;1393.16;841.01;2202.97;1294.01;0.47;0.34
2459.95;198;100;1427.13;811.63;2261.22;1241.56;0.46;0.36
2519.98;192;100;1442.01;794.35;2316.77;1245.39;0.46;0.34
2579.79;190;100;1472.99;826.82;2357.42;1273.44;0.47;0.33
2639.9;183;100;1478.09;863.88;2431.6;1304.66;0.46;0.34
2699.74;180;100;1514.84;871.42;2473.1;1320.55;0.46;0.34
2759.96;174;100;1545.86;877.16;2531.98;1302.38;0.46;0.35
2820;172;100;1593.46;859.05;2589.75;1303.91;0.46;0.34
2879.8;168;100;1642.95;901.64;2624.9;1347.6;0.46;0.34
2939.91;160;100;1631.16;852.95;2676.58;1294.6;0.46;0.35
2999.6;157;100;1670.59;887.98;2731.82;1321.59;0.46;0.36
3059.9;153;100;1705.21;884;2770.78;1348.52;0.47;0.36
3119.82;143;100;1710.36;919.37;2776.06;1400.15;0.45;0.36
3179.97;134;100;1697.94;899.81;2783.88;1333.07;0.45;0.36
3239.85;129;100;1732.25;894.26;2826.19;1305.37;0.46;0.35
3299.88;125;100;1796.83;918.09;2875.18;1390.04;0.46;0.36
3359.8;125;100;1919.59;932.5;2963.74;1436.07;0.46;0.36
3419.92;115;100;1856.87;902.57;2927.37;1345.2;0.47;0.37
3479.9;109;100;1884.5;943.86;2982.24;1472.18;0.47;0.38
3539.89;103;100;1902.99;973.65;3037.35;1453.35;0.47;0.39
3599.95;98;100;1928.9;1003.79;3069.82;1486.63;0.46;0.38
3659.97;96;100;1987.89;1040.99;3122.69;1511.11;0.46;0.35
3719.9;94;100;2071.75;1056.53;3195.28;1517.62;0.46;0.37
3779.6;87;100;2061.11;1020.89;3197.59;1498.67;0.46;0.37
3839.91;83;100;2090.53;1054.74;3246.32;1577.06;0.47;0.34
3900;75;100;2129.05;999.36;3333.91;1455.43;0.47;0.37
3959.96;75;100;2202.23;1032.14;3406.22;1485.41;0.46;0.37
4019.94;75;100;2334.97;1051.75;3483.87;1556.44;0.47;0.37
4079.92;68;100;2318.21;1057.06;3514.42;1563.32;0.47;0.35
4139.79;64;100;2300;1082.75;3543.85;1598.04;0.46;0.34
4199.97;62;100;2393.97;1131.44;3639.74;1628.52;0.46;0.34
4259.99;52;100;2301.03;1150.63;3635.44;1669.52;0.46;0.36
4319.99;49;100;2334.27;1198.07;3681.72;1697.09;0.46;0.37
4379.71;49;100;2416.1;1156.52;3751.36;1684.38;0.45;0.35
4439.98;44;100;2439.33;1176.73;3768.23;1701.19;0.45;0.35
4499.75;42;100;2483.05;1209.9;3838.73;1751.14;0.46;0.35
4559.97;40;100;2559.92;1212.68;3920.02;1759.39;0.45;0.35
4619.71;37;100;2620.64;1231.14;3998.89;1748.05;0.45;0.36
4679.94;36;100;2713.67;1230.89;4079.22;1751.2;0.45;0.34
4739.87;32;100;2737.51;1275.27;4126.72;1735.11;0.46;0.34
4799.85;27;100;2727.66;1277.75;4200.72;1772;0.46;0.33
