#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/20,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.89;1;None/0,ParkPod/0,RepositionPod/0,Insert/7,Extract/13,Rest/0
119.99;2;None/0,ParkPod/1,RepositionPod/0,Insert/7,Extract/12,Rest/0
179.99;0;None/0,ParkPod/1,RepositionPod/0,Insert/7,Extract/12,Rest/0
240;2;None/0,ParkPod/2,RepositionPod/0,Insert/7,Extract/11,Rest/0
299.98;1;None/0,ParkPod/1,RepositionPod/0,Insert/6,Extract/13,Rest/0
359.7;1;None/0,ParkPod/3,RepositionPod/0,Insert/7,Extract/10,Rest/0
419.93;0;None/0,ParkPod/3,RepositionPod/0,Insert/5,Extract/12,Rest/0
479.99;2;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
539.71;0;None/0,ParkPod/4,RepositionPod/0,Insert/6,Extract/10,Rest/0
599.77;0;None/0,ParkPod/6,RepositionPod/0,Insert/5,Extract/9,Rest/0
659.66;1;None/0,ParkPod/1,RepositionPod/0,Insert/6,Extract/13,Rest/0
719.94;1;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/8,Rest/0
779.89;0;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
839.92;0;None/0,ParkPod/4,RepositionPod/0,Insert/4,Extract/12,Rest/0
899.9;1;None/0,ParkPod/2,RepositionPod/0,Insert/7,Extract/11,Rest/0
959.91;0;None/0,ParkPod/3,RepositionPod/0,Insert/5,Extract/12,Rest/0
1019.97;3;None/0,ParkPod/1,RepositionPod/0,Insert/7,Extract/12,Rest/0
1079.99;0;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/9,Rest/0
1139.6;1;None/0,ParkPod/2,RepositionPod/0,Insert/7,Extract/11,Rest/0
1199.93;0;None/0,ParkPod/3,RepositionPod/0,Insert/5,Extract/12,Rest/0
1259.78;0;None/0,ParkPod/0,RepositionPod/0,Insert/7,Extract/13,Rest/0
1319.98;1;None/0,ParkPod/5,RepositionPod/0,Insert/4,Extract/11,Rest/0
1379.99;1;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
1439.88;0;None/0,ParkPod/8,RepositionPod/0,Insert/3,Extract/9,Rest/0
1500;1;None/0,ParkPod/2,RepositionPod/0,Insert/7,Extract/11,Rest/0
1559.98;1;None/0,ParkPod/6,RepositionPod/0,Insert/5,Extract/9,Rest/0
1619.84;1;None/0,ParkPod/5,RepositionPod/0,Insert/4,Extract/11,Rest/0
1679.82;1;None/0,ParkPod/1,RepositionPod/0,Insert/6,Extract/13,Rest/0
1739.95;2;None/0,ParkPod/0,RepositionPod/0,Insert/7,Extract/13,Rest/0
1799.88;0;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
1859.66;0;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
1919.9;0;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
1979.83;0;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
2039.89;1;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
2099.96;0;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/9,Rest/0
2159.98;0;None/0,ParkPod/2,RepositionPod/0,Insert/7,Extract/11,Rest/0
2219.98;1;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/9,Rest/0
2279.78;0;None/0,ParkPod/1,RepositionPod/0,Insert/7,Extract/12,Rest/0
2339.97;0;None/0,ParkPod/5,RepositionPod/0,Insert/4,Extract/11,Rest/0
2399.97;1;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/9,Rest/0
2459.73;2;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
2519.9;2;None/0,ParkPod/4,RepositionPod/0,Insert/6,Extract/10,Rest/0
2579.97;2;None/0,ParkPod/3,RepositionPod/0,Insert/5,Extract/12,Rest/0
2639.96;0;None/0,ParkPod/4,RepositionPod/0,Insert/6,Extract/10,Rest/0
2699.94;1;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
2759.91;1;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
2819.96;1;None/0,ParkPod/4,RepositionPod/0,Insert/4,Extract/12,Rest/0
2879.76;0;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
2939.98;1;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/9,Rest/0
2999.99;0;None/0,ParkPod/5,RepositionPod/0,Insert/4,Extract/11,Rest/0
3059.95;1;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/9,Rest/0
3119.89;4;None/0,ParkPod/2,RepositionPod/0,Insert/6,Extract/12,Rest/0
3179.86;0;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/9,Rest/0
3239.96;0;None/0,ParkPod/1,RepositionPod/0,Insert/6,Extract/13,Rest/0
3299.94;1;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/9,Rest/0
3359.96;0;None/0,ParkPod/2,RepositionPod/0,Insert/5,Extract/13,Rest/0
3419.99;0;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/9,Rest/0
3479.97;2;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
3539.85;1;None/0,ParkPod/4,RepositionPod/0,Insert/6,Extract/10,Rest/0
3599.61;0;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/9,Rest/0
3659.77;2;None/0,ParkPod/2,RepositionPod/0,Insert/5,Extract/13,Rest/0
3719.84;0;None/0,ParkPod/2,RepositionPod/0,Insert/6,Extract/12,Rest/0
3779.96;0;None/0,ParkPod/5,RepositionPod/0,Insert/4,Extract/11,Rest/0
3839.99;2;None/0,ParkPod/4,RepositionPod/0,Insert/6,Extract/10,Rest/0
3899.92;0;None/0,ParkPod/4,RepositionPod/0,Insert/4,Extract/12,Rest/0
3959.68;1;None/0,ParkPod/6,RepositionPod/0,Insert/5,Extract/9,Rest/0
4019.93;2;None/0,ParkPod/5,RepositionPod/0,Insert/3,Extract/12,Rest/0
4079.95;0;None/0,ParkPod/1,RepositionPod/0,Insert/7,Extract/12,Rest/0
4139.97;1;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
4199.99;1;None/0,ParkPod/6,RepositionPod/0,Insert/3,Extract/11,Rest/0
4259.91;0;None/0,ParkPod/6,RepositionPod/0,Insert/5,Extract/9,Rest/0
4319.96;1;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
4379.75;0;None/0,ParkPod/4,RepositionPod/0,Insert/6,Extract/10,Rest/0
4439.86;1;None/0,ParkPod/4,RepositionPod/0,Insert/4,Extract/12,Rest/0
4499.98;1;None/0,ParkPod/2,RepositionPod/0,Insert/6,Extract/12,Rest/0
4559.86;2;None/0,ParkPod/6,RepositionPod/0,Insert/5,Extract/9,Rest/0
4619.69;0;None/0,ParkPod/3,RepositionPod/0,Insert/5,Extract/12,Rest/0
4680;2;None/0,ParkPod/2,RepositionPod/0,Insert/6,Extract/12,Rest/0
4739.9;0;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
4799.96;1;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
4859.97;1;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/9,Rest/0
4919.97;2;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
4979.87;0;None/0,ParkPod/6,RepositionPod/0,Insert/3,Extract/11,Rest/0
5039.92;0;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
5099.96;1;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
5159.88;2;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
5219.9;0;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
5279.87;0;None/0,ParkPod/7,RepositionPod/0,Insert/4,Extract/9,Rest/0
5339.85;0;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
5399.98;2;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/9,Rest/0
5459.6;0;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
5519.91;0;None/0,ParkPod/6,RepositionPod/0,Insert/4,Extract/10,Rest/0
5579.68;0;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/9,Rest/0
5639.8;0;None/0,ParkPod/7,RepositionPod/0,Insert/5,Extract/8,Rest/0
5699.98;0;None/0,ParkPod/2,RepositionPod/0,Insert/5,Extract/13,Rest/0
5759.99;1;None/0,ParkPod/5,RepositionPod/0,Insert/4,Extract/11,Rest/0
5819.98;0;None/0,ParkPod/5,RepositionPod/0,Insert/4,Extract/10,Rest/1
5879.63;1;None/0,ParkPod/5,RepositionPod/0,Insert/4,Extract/10,Rest/1
5939.62;1;None/0,ParkPod/3,RepositionPod/0,Insert/5,Extract/12,Rest/0
5999.95;0;None/0,ParkPod/9,RepositionPod/0,Insert/3,Extract/8,Rest/0
6059.69;0;None/0,ParkPod/1,RepositionPod/0,Insert/5,Extract/14,Rest/0
6119.93;0;None/0,ParkPod/5,RepositionPod/0,Insert/4,Extract/10,Rest/1
6179.76;0;None/0,ParkPod/6,RepositionPod/0,Insert/4,Extract/10,Rest/0
6239.72;0;None/0,ParkPod/7,RepositionPod/0,Insert/2,Extract/11,Rest/0
6299.98;2;None/0,ParkPod/1,RepositionPod/0,Insert/4,Extract/14,Rest/1
6359.94;0;None/0,ParkPod/3,RepositionPod/0,Insert/4,Extract/13,Rest/0
6419.9;2;None/0,ParkPod/4,RepositionPod/0,Insert/2,Extract/13,Rest/1
6479.84;0;None/0,ParkPod/2,RepositionPod/0,Insert/3,Extract/15,Rest/0
6539.94;0;None/0,ParkPod/4,RepositionPod/0,Insert/2,Extract/14,Rest/0
6599.91;1;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/15,Rest/2
6659.92;0;None/0,ParkPod/3,RepositionPod/0,Insert/2,Extract/14,Rest/1
6719.83;0;None/0,ParkPod/2,RepositionPod/0,Insert/3,Extract/14,Rest/1
6779.77;2;None/0,ParkPod/2,RepositionPod/0,Insert/2,Extract/15,Rest/1
6839.97;2;None/0,ParkPod/8,RepositionPod/0,Insert/3,Extract/9,Rest/0
6899.98;0;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/17,Rest/1
6959.82;3;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/18,Rest/0
7019.96;0;None/0,ParkPod/7,RepositionPod/0,Insert/0,Extract/13,Rest/0
7080;0;None/0,ParkPod/3,RepositionPod/0,Insert/2,Extract/14,Rest/1
7139.93;2;None/0,ParkPod/1,RepositionPod/0,Insert/3,Extract/16,Rest/0
7199.98;0;None/0,ParkPod/2,RepositionPod/0,Insert/2,Extract/16,Rest/0
