#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;100;0;0;0;0;0;0.5
59.89;200;100;58.63;59.89;59.88;59.89;0.44;0.5
119.99;200;100;110.39;103.79;119.98;119.99;0.45;0.49
179.99;200;100;160.28;136.61;179.98;170.76;0.46;0.48
240;200;100;211.11;182.81;239.97;227.91;0.47;0.48
299.98;200;100;247.73;230.16;299.88;280.61;0.47;0.46
359.7;200;100;299.45;249.99;358.46;330.31;0.47;0.46
419.93;200;100;353.91;284.79;416.85;384.57;0.47;0.45
479.99;200;100;402.47;318.85;476.47;427.45;0.47;0.45
539.71;200;100;432.76;341.06;524.49;475.98;0.47;0.45
599.77;200;100;476.73;356.05;572.64;502.8;0.46;0.45
659.66;200;100;502.51;386.35;611.09;520.41;0.48;0.45
719.94;200;100;526.42;406.9;634.9;580.53;0.47;0.44
779.89;200;100;561.91;423.12;672.13;626.75;0.47;0.45
839.92;200;100;602.27;449.67;712.26;616.3;0.46;0.44
899.9;200;100;617.7;460.18;736.68;620.97;0.46;0.43
959.91;200;100;662.72;481.3;776.68;649.24;0.45;0.45
1019.97;200;100;713.48;506.49;837.83;702.89;0.45;0.45
1079.99;200;100;756.66;513.61;885.19;719.44;0.46;0.44
1139.6;200;100;807.72;568.74;944.81;766.3;0.46;0.43
1199.93;200;100;849.01;557.31;989.14;800;0.47;0.41
1259.78;200;100;670.09;559.04;1100.86;821.89;0.46;0.42
1319.98;200;100;709.91;602.57;1167.81;886.33;0.46;0.41
1379.99;200;100;784.46;613.89;1226.26;884.75;0.45;0.4
1439.88;200;100;826.07;644.78;1283.6;948.14;0.45;0.41
1500;200;100;890.06;686.48;1341.06;994.27;0.44;0.42
1559.98;200;100;891.77;709.01;1368.48;1032.44;0.44;0.43
1619.84;200;100;934.67;744.73;1368.55;1052.21;0.45;0.44
1679.82;200;100;961.42;761.65;1374.24;1097.82;0.46;0.44
1739.95;192;100;962.22;732.6;1444.07;1108.66;0.47;0.42
1799.88;185;100;1004.98;740.29;1525.85;1106.25;0.46;0.43
1859.66;181;100;1038.62;768.59;1602.64;1138.94;0.45;0.43
