time,bot_id,task_id,pod_id,station_id,eta_now,t_starve,queue_budget,release_budget,slack,chosen_delay,deadline,release_policy,eta_safety_buffer,probe_success,release_reason,station_pending_items,station_busy_remaining,station_queue_work,eta_at_release,remaining_t_starve_at_release,best_future_eta_at_release,best_future_delay_at_release,eta_improvement_at_release,neighbor_count_at_decision,missing_arrival_count,queue_arrival_time,release_time,actual_arrival_time,actual_eta,arrival_error,station_idle_at_arrival,queue_wait_at_station
14.09,Bot5,20338133,Pod153,OutputStation6,52.25,0,0,0,-52.25,0,14.09,StationSlack,0,1,immediate_release,0,0,0,52.25,0,,,,0,0,63.86,14.09,69.44,55.35,3.1,1,5.57
20.68,Bot11,26073299,Pod115,OutputStation1,30.92,0,0,0,-30.92,0,20.68,StationSlack,0,1,immediate_release,0,0,0,30.92,0,,,,0,0,51.19,20.68,56.57,35.9,4.98,1,5.38
26.68,Bot8,36776090,Pod193,OutputStation0,69.75,0,0,0,-69.75,0,26.68,StationSlack,0,1,immediate_release,0,0,0,69.75,0,,,,0,0,95.38,26.68,102.4,75.73,5.98,1,7.02
28.65,Bot12,33333103,Pod11,OutputStation11,44.5,0,0,0,-44.5,0,28.65,StationSlack,0,1,immediate_release,0,0,0,44.5,0,,,,0,0,73.73,28.65,89,60.36,15.86,0,15.28
29.38,Bot9,62549356,Pod9,OutputStation11,38.46,0,0,0,-38.46,0,29.38,StationSlack,0,1,immediate_release,0,0,0,38.46,0,,,,0,0,62.39,29.38,69.48,40.1,1.65,1,7.09
30.74,Bot17,57811421,Pod18,OutputStation10,39.5,0,0,0,-39.5,0,30.74,StationSlack,0,1,immediate_release,0,0,0,39.5,0,,,,0,0,64.69,30.74,71.97,41.23,1.73,1,7.28
31.92,Bot16,6423491,Pod261,OutputStation9,54.5,0,0,0,-54.5,0,31.92,StationSlack,0,1,immediate_release,0,0,0,54.5,0,,,,0,0,76.62,31.92,83.61,51.68,-2.81,1,6.99
33.35,Bot1,9364637,Pod245,OutputStation2,39.58,0,0,0,-39.58,0,33.35,StationSlack,0,1,immediate_release,0,0,0,39.58,0,,,,0,0,66.95,33.35,74.23,40.88,1.3,1,7.28
41.05,Bot7,48825474,Pod15,OutputStation4,44.33,0,0,0,-44.33,0,41.05,StationSlack,0,1,immediate_release,0,0,0,44.33,0,,,,0,0,81.37,41.05,87.11,46.06,1.73,1,5.74
41.05,Bot19,50540745,Pod180,OutputStation5,61.67,0,0,0,-61.67,0,41.05,StationSlack,0,1,immediate_release,0,0,0,61.67,0,,,,0,0,121.15,41.05,126.62,85.57,23.91,1,5.46
49.38,Bot14,15626802,Pod220,OutputStation3,53.58,0,0,0,-53.58,0,49.38,StationSlack,0,1,immediate_release,0,0,0,53.58,0,,,,0,0,99.53,49.38,104.98,55.6,2.02,1,5.46
51.05,Bot13,31562473,Pod85,OutputStation8,57.7,0,0,0,-57.7,0,51.05,StationSlack,0,1,immediate_release,0,0,0,57.7,0,,,,0,0,104.98,51.05,112.03,60.99,3.28,1,7.05
55.87,Bot3,17172873,Pod38,OutputStation7,72,0,0,0,-72,0,55.87,StationSlack,0,1,immediate_release,0,0,0,72,0,,,,0,0,116.77,55.87,123.11,67.24,-4.76,1,6.34
103.78,Bot9,38006470,Pod21,OutputStation11,18.33,15.84,0,15.84,-2.49,0,103.78,StationSlack,0,0,immediate_release,1,5.84,10,18.33,15.84,,,,0,0,117.41,103.78,157.65,53.87,35.53,0,40.24
154.42,Bot17,18045482,Pod16,OutputStation10,37.63,0,0,0,-37.63,0,154.42,StationSlack,0,1,immediate_release,0,0,0,37.63,0,,,,0,0,187.16,154.42,192.61,38.19,0.56,1,5.45
182.61,Bot1,48903847,Pod95,OutputStation2,50.29,0,0,0,-50.29,0,182.61,StationSlack,0,1,immediate_release,0,0,0,50.29,0,,,,0,0,229.26,182.61,235.04,52.43,2.14,1,5.79
192.29,Bot16,19792958,Pod336,OutputStation9,16.25,0,0,0,-16.25,0,192.29,StationSlack,0,1,immediate_release,0,0,0,16.25,0,,,,0,0,201.67,192.29,208.82,16.53,0.28,1,7.15
197.78,Bot12,50407014,Pod12,OutputStation11,78.33,12.22,0,12.22,-66.12,0,197.78,StationSlack,0,0,immediate_release,1,2.22,10,78.33,12.22,,,,0,0,236.75,197.78,243.55,45.77,-32.57,1,6.8
210.35,Bot11,63615456,Pod57,OutputStation1,70.96,0,0,0,-70.96,0,210.35,StationSlack,0,1,immediate_release,0,0,0,70.96,0,,,,0,0,281.03,210.35,286.48,76.14,5.18,1,5.46
251.99,Bot8,45518526,Pod283,OutputStation0,67.79,0,0,0,-67.79,0,251.99,StationSlack,0,1,immediate_release,0,0,0,67.79,0,,,,0,0,319.07,251.99,324.53,72.53,4.74,1,5.45
252.46,Bot7,57253397,Pod290,OutputStation4,70.38,0,0,0,-70.38,0,252.46,StationSlack,0,1,immediate_release,0,0,0,70.38,0,,,,0,0,320.51,252.46,327.4,74.94,4.57,1,6.9
255.56,Bot3,5058020,Pod26,OutputStation7,49.08,0,0,0,-49.08,0,255.56,StationSlack,0,1,immediate_release,0,0,0,49.08,0,,,,0,0,302.58,255.56,308,52.44,3.36,1,5.42
264.95,Bot5,17194111,Pod163,OutputStation6,69.71,0,0,0,-69.71,0,264.95,StationSlack,0,1,immediate_release,0,0,0,69.71,0,,,,0,0,327.65,264.95,334.59,69.64,-0.07,1,6.94
268.31,Bot19,50560785,Pod100,OutputStation5,22.17,0,0,0,-22.17,0,268.31,StationSlack,0,1,immediate_release,0,0,0,22.17,0,,,,0,0,285.38,268.31,290.77,22.47,0.3,1,5.4
270.31,Bot14,45522188,Pod4,OutputStation3,59.79,0,0,0,-59.79,0,270.31,StationSlack,0,1,immediate_release,0,0,0,59.79,0,,,,0,0,327.13,270.31,332.69,62.39,2.6,1,5.57
282.66,Bot13,51446584,Pod477,OutputStation8,41.54,0,0,0,-41.54,0,282.66,StationSlack,0,1,immediate_release,0,0,0,41.54,0,,,,0,0,319.22,282.66,326.36,43.71,2.17,1,7.14
283.03,Bot9,60366072,Pod184,OutputStation11,55.79,0,0,0,-55.79,0,283.03,StationSlack,0,1,immediate_release,0,0,0,55.79,0,,,,0,0,334.48,283.03,344.75,61.72,5.93,0,10.27
285.38,Bot17,562002,Pod23,OutputStation10,70.96,0,0,0,-70.96,0,285.38,StationSlack,0,1,immediate_release,0,0,0,70.96,0,,,,0,0,353.23,285.38,360.37,74.99,4.03,1,7.14
285.74,Bot12,33410170,Pod28,OutputStation11,30.96,0,0,0,-30.96,0,285.74,StationSlack,0,1,immediate_release,0,0,0,30.96,0,,,,1,0,311.78,285.74,317.46,31.72,0.76,1,5.68
331.65,Bot16,33254664,Pod17,OutputStation9,65.63,0,0,0,-65.63,0,331.65,StationSlack,0,1,immediate_release,0,0,0,65.63,0,,,,0,0,395.97,331.65,401.5,69.85,4.22,1,5.53
348.19,Bot1,42523874,Pod35,OutputStation2,33.67,0,0,0,-33.67,0,348.19,StationSlack,0,1,immediate_release,0,0,0,33.67,0,,,,0,0,376.03,348.19,384.36,36.18,2.51,1,8.33
368.69,Bot3,47170552,Pod34,OutputStation7,65.88,0,0,0,-65.88,0,368.69,StationSlack,0,1,immediate_release,0,0,0,65.88,0,,,,0,0,434.03,368.69,439.67,70.98,5.1,1,5.63
394.19,Bot12,49011434,Pod22,OutputStation11,101.67,13.6,0,13.6,-88.07,0,394.19,StationSlack,0,0,immediate_release,1,3.6,10,101.67,13.6,,,,0,0,446.08,394.19,452.87,58.68,-42.99,1,6.79
398.83,Bot14,35118423,Pod5,OutputStation3,51.21,0,0,0,-51.21,0,398.83,StationSlack,0,1,immediate_release,0,0,0,51.21,0,,,,0,0,447.72,398.83,453.18,54.35,3.14,1,5.46
