#TimeStamp;DistanceTraveled
59.89;1172.13
119.99;683.54
179.99;504.96
240;835.18
299.98;1067.53
359.7;908
419.93;862.86
479.99;964.6
539.71;946.26
599.77;943.62
659.66;972.99
719.94;859.61
779.89;756.06
839.92;949.57
899.9;934.29
959.91;990.24
1019.97;878.98
1079.99;804.72
1139.6;1099.33
1199.93;907.5
1259.78;921.36
1319.98;964.33
1379.99;948.16
1439.88;1039.58
1500;1083.36
1559.98;874.58
1619.84;868.49
1679.82;979.46
1739.95;935.97
1799.88;711.19
1859.66;1069.22
1919.9;1098.95
1979.83;1109.55
2039.89;891.54
2099.96;1075.4
2159.98;945.98
2219.98;963.15
2279.78;1067.24
2339.97;1183.55
2399.97;999.86
2459.73;952.98
2519.9;996.2
2579.97;1067.95
2639.96;986.42
2699.94;1112.05
2759.91;946.74
2819.96;964.12
2879.76;967.96
2939.98;1190.35
2999.99;1063.95
3059.95;1118.05
3119.89;1012.97
3179.86;987.29
3239.96;1067.94
3299.94;1000.35
3359.96;1151.45
3419.99;1056.82
3479.97;1025.07
3539.85;1024.65
3599.61;1056.55
3659.77;1101.11
3719.84;1048.55
3779.96;913.15
3839.99;1060.26
3899.92;1047.01
3959.68;976.75
4019.93;1105.03
4079.95;1036.15
4139.97;1001.44
4199.99;944.98
4259.91;1009.19
4319.96;1046.46
4379.75;992.96
4439.86;1083.44
4499.98;1114.38
4559.86;922.48
4619.69;1112.54
4680;927.46
4739.9;844.41
4799.96;1124
4859.97;1052.73
4919.97;1102.19
4979.87;986.58
5039.92;1028.94
5099.96;1140.3
5159.88;998.33
5219.9;993.16
5279.87;1092.15
5339.85;1156.49
5399.98;1028.52
5459.6;922.66
5519.91;1101.98
5579.68;1039.64
5639.8;1185.34
5699.98;1158.99
5759.99;898.67
5819.98;1039.3
5879.63;986.01
5939.62;971.21
5999.95;891.59
6059.69;1089
6119.93;1043.74
6179.76;996.42
6239.72;1106.41
6299.98;981.95
6359.94;888.01
6419.9;1024.72
6479.84;943.3
6539.94;919.12
6599.91;924.94
6659.92;1006.1
6719.83;1021.42
6779.77;808.15
6839.97;818.67
6899.98;1113.71
6959.82;1034.73
7019.96;640.71
7080;894.23
7139.93;930.01
7199.98;723.98
