#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;66.96;0.18;PP/0,TA/0,IS/0.01,PS/0,RB/0,OB/0.12,RP/0
59.94;92.61;2.37;PP/1.46,TA/0.13,IS/0.02,PS/0,RB/0.01,OB/0.12,RP/0
119.98;131.87;16.12;PP/2.17,TA/12.1,IS/0.07,PS/11.94,RB/0.01,OB/0.77,RP/0
179.97;125.84;21.63;PP/2.79,TA/15.46,IS/0.13,PS/15.28,RB/0.01,OB/1.89,RP/0
239.98;128.07;28.99;PP/6.78,TA/17.86,IS/0.2,PS/17.67,RB/0.01,OB/2.5,RP/0
299.93;126.04;32.72;PP/8.22,TA/19.09,IS/0.28,PS/18.87,RB/0.01,OB/3.13,RP/0
359.95;126.13;38.64;PP/11.48,TA/20.48,IS/0.36,PS/20.24,RB/0.01,OB/3.9,RP/0
419.97;126.17;41.24;PP/12.04,TA/21.27,IS/0.44,PS/21.02,RB/0.01,OB/4.72,RP/0
479.97;127.57;52.37;PP/21.56,TA/21.72,IS/0.53,PS/21.45,RB/0.01,OB/5.38,RP/0
539.94;125.9;54.85;PP/22.09,TA/22.25,IS/0.63,PS/21.96,RB/0.01,OB/6.32,RP/0
599.97;125.8;57.77;PP/22.71,TA/23.03,IS/0.72,PS/22.72,RB/0.01,OB/7.34,RP/0
659.92;127.07;60.2;PP/23.4,TA/23.63,IS/0.82,PS/23.31,RB/0.01,OB/8.06,RP/0
719.99;128.72;62.63;PP/23.77,TA/24.44,IS/0.91,PS/24.1,RB/0.01,OB/8.87,RP/0
779.94;132.73;65.27;PP/24.26,TA/24.99,IS/1.01,PS/24.63,RB/0.01,OB/10.03,RP/0
839.92;138.41;67.59;PP/24.85,TA/25.42,IS/1.09,PS/25.05,RB/0.01,OB/10.84,RP/0
899.97;138.89;70;PP/25.5,TA/25.74,IS/1.18,PS/25.35,RB/0.01,OB/11.82,RP/0
959.94;138.81;79.95;PP/33.16,TA/26.61,IS/1.26,PS/26.2,RB/0.01,OB/12.84,RP/0
1019.96;132.59;84.38;PP/35.56,TA/27.15,IS/1.33,PS/26.72,RB/0.01,OB/13.87,RP/0
1080;132.09;92.05;PP/41.52,TA/27.56,IS/1.4,PS/27.12,RB/0.01,OB/14.76,RP/0
1139.81;129.18;94.47;PP/41.99,TA/28.34,IS/1.47,PS/27.88,RB/0.01,OB/15.54,RP/0
1199.99;129.21;97.16;PP/42.42,TA/29.01,IS/1.54,PS/28.53,RB/0.01,OB/16.7,RP/0
1259.97;129.19;103.54;PP/46.63,TA/29.77,IS/1.66,PS/29.26,RB/0.01,OB/17.67,RP/0
1319.98;131.05;106.35;PP/47.32,TA/30.38,IS/1.75,PS/29.86,RB/0.01,OB/18.66,RP/0
1379.97;131.6;108.85;PP/47.96,TA/30.77,IS/1.84,PS/30.22,RB/0.01,OB/19.66,RP/0
1439.93;130.95;111.31;PP/48.55,TA/31.29,IS/1.93,PS/30.72,RB/0.01,OB/20.59,RP/0
1499.95;130.82;113.77;PP/49.09,TA/31.76,IS/2.01,PS/31.18,RB/0.01,OB/21.6,RP/0
1559.98;131.35;115.89;PP/49.61,TA/32.18,IS/2.09,PS/31.58,RB/0.01,OB/22.33,RP/0
1619.95;139.8;118.39;PP/50.18,TA/32.77,IS/2.17,PS/32.14,RB/0.01,OB/23.23,RP/0
1679.98;148.53;122.35;PP/51.76,TA/33.68,IS/2.24,PS/33.03,RB/0.01,OB/24.28,RP/0
1739.97;147.21;125.02;PP/52.41,TA/34.32,IS/2.31,PS/33.65,RB/0.01,OB/25.24,RP/0
1799.99;146.25;127.86;PP/53.13,TA/35.07,IS/2.37,PS/34.37,RB/0.01,OB/26.19,RP/0
1859.93;145.55;130.34;PP/53.73,TA/35.69,IS/2.43,PS/34.98,RB/0.01,OB/27.03,RP/0
1919.87;148.34;135.48;PP/57.18,TA/35.95,IS/2.49,PS/35.23,RB/0.01,OB/28.06,RP/0
1979.91;145.54;137.94;PP/57.75,TA/36.41,IS/2.54,PS/35.67,RB/0.01,OB/29.08,RP/0
2040;144.77;140.43;PP/58.31,TA/36.83,IS/2.58,PS/36.07,RB/0.01,OB/30.14,RP/0
2099.99;140.06;143.65;PP/59.18,TA/37.73,IS/2.64,PS/36.95,RB/0.01,OB/31.19,RP/0
2159.99;135.58;147.27;PP/60.82,TA/38.32,IS/2.68,PS/37.52,RB/0.01,OB/32.11,RP/0
2219.96;137.68;149.83;PP/61.42,TA/38.77,IS/2.73,PS/37.96,RB/0.01,OB/33.23,RP/0
2279.96;138.25;151.94;PP/61.93,TA/38.99,IS/2.77,PS/38.15,RB/0.01,OB/34.21,RP/0
2340;139.48;156.58;PP/64.22,TA/39.5,IS/2.81,PS/38.65,RB/0.01,OB/35.61,RP/0
2399.97;137.05;162.43;PP/67.55,TA/39.93,IS/2.85,PS/39.06,RB/0.01,OB/37.24,RP/0
2460;138.03;167.04;PP/70.12,TA/40.58,IS/2.88,PS/39.69,RB/0.01,OB/38.21,RP/0
2519.96;138.13;170.46;PP/71.64,TA/40.92,IS/2.91,PS/39.99,RB/0.01,OB/39.37,RP/0
2579.97;140.34;174.01;PP/73.22,TA/41.34,IS/2.94,PS/40.38,RB/0.01,OB/40.51,RP/0
2639.97;140.1;176.46;PP/73.88,TA/41.62,IS/2.97,PS/40.63,RB/0.01,OB/41.64,RP/0
2699.92;141.51;180.23;PP/76.26,TA/42.01,IS/3,PS/41.01,RB/0.01,OB/42.3,RP/0
2759.66;141.45;181.93;PP/76.64,TA/42.19,IS/3.03,PS/41.16,RB/0.01,OB/43.14,RP/0
2819.97;142.84;185.01;PP/77.99,TA/42.35,IS/3.05,PS/41.3,RB/0.01,OB/44.34,RP/0
2879.94;143.9;187.3;PP/78.53,TA/42.53,IS/3.07,PS/41.45,RB/0.01,OB/45.54,RP/0
2939.89;143;192.22;PP/81.82,TA/42.65,IS/3.09,PS/41.55,RB/0.01,OB/46.68,RP/0
2999.84;144.05;194.27;PP/82.35,TA/42.94,IS/3.11,PS/41.81,RB/0.01,OB/47.58,RP/0
3059.98;145.26;200.78;PP/87.3,TA/43.2,IS/3.13,PS/42.04,RB/0.01,OB/48.53,RP/0
3119.97;146.01;202.95;PP/87.97,TA/43.41,IS/3.14,PS/42.23,RB/0.01,OB/49.5,RP/0
3179.97;145.1;207.73;PP/91.12,TA/43.53,IS/3.15,PS/42.33,RB/0.01,OB/50.72,RP/0
