#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
35.74;57;322;2;35.74;35.7
43.96;58;611;1;43.96;43.91
45.77;57;322;2;45.77;45.72
48.53;41;598;4;48.53;48.48
53.98;58;611;1;53.98;53.93
55.77;57;322;2;55.77;55.73
56.25;45;54;5;56.25;56.2
58.57;41;598;4;58.57;58.53
63.15;59;50;3;63.15;63.1
64.01;58;611;1;64.01;63.96
66.26;45;54;5;66.26;66.22
68.61;41;598;4;68.61;68.57
70.88;18;1029;2;70.88;70.83
73.15;59;50;3;73.15;73.11
78.92;38;439;0;78.92;78.88
79.17;6;679;1;79.17;79.13
80.92;18;1029;2;80.92;80.88
81.19;34;725;5;81.19;81.15
83.26;56;489;4;83.26;83.22
88.4;47;1188;3;88.4;88.36
88.97;38;439;0;88.97;88.92
89.22;6;679;1;89.22;89.17
90.95;18;1029;2;90.95;90.9
91.21;34;725;5;91.21;91.17
93.3;56;489;4;93.3;93.26
98.45;47;1188;3;98.45;98.4
99.26;6;679;1;99.26;99.22
100.97;18;1029;2;100.97;100.93
101.25;34;725;5;101.25;101.2
104;36;60;0;104;103.95
108.17;21;267;4;108.17;108.13
108.49;47;1188;3;108.49;108.45
109.3;6;679;1;109.3;109.26
114.09;36;60;0;114.09;114.05
115.8;4;943;2;115.8;115.76
115.8;0;334;5;115.8;115.76
118.18;21;267;4;118.18;118.14
123.31;23;535;3;123.31;123.26
124.35;22;779;1;124.35;124.31
125.82;4;943;2;125.82;125.77
125.82;0;334;5;125.82;125.77
128.23;21;267;4;128.23;128.18
128.43;2;488;0;128.43;128.39
133.35;23;535;3;133.35;133.31
134.35;22;779;1;134.35;134.31
135.85;4;943;2;135.85;135.8
135.85;0;334;5;135.85;135.8
138.47;2;488;0;138.47;138.43
143.38;23;535;3;143.38;143.34
144.4;22;779;1;144.4;144.35
145.89;4;943;2;145.89;145.85
145.89;0;334;5;145.89;145.85
148.49;2;488;0;148.49;148.44
154.4;22;779;1;154.4;154.36
157.77;59;148;3;157.77;157.73
160.86;57;910;2;160.86;160.82
160.86;15;1023;5;160.86;160.82
162.85;10;1158;0;162.85;162.81
167.78;59;148;3;167.78;167.74
169.79;58;140;1;169.75;168.91
170.91;57;910;2;170.91;170.86
170.91;15;1023;5;170.91;170.86
172.95;10;1158;0;172.95;172.91
179.84;58;140;1;179.79;178.95
180.95;57;910;2;180.95;180.91
180.95;15;1023;5;180.95;180.91
182.42;47;203;3;182.42;182.38
183;10;1158;0;183;182.95
183.47;41;1061;4;183.42;182.58
191;15;1023;5;191;190.95
192.43;47;203;3;192.43;192.38
193.5;41;1061;4;193.45;192.61
195.89;18;1059;2;195.89;195.85
197.93;38;718;0;197.89;108.92
203.35;6;277;1;203.35;203.3
203.54;41;1061;4;203.5;202.66
205.93;18;1059;2;205.93;205.88
206.18;45;241;5;206.18;206.14
207.93;38;718;0;207.93;118.92
213.39;6;277;1;213.39;213.35
215.94;18;1059;2;215.94;215.89
216.26;45;241;5;216.26;216.21
