#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;94;0;0;0;0;0;0;0;0;0
599.85;0.73;96;0;0;0;0;0;0;0;0;0
1199.89;0.74;96;0;0;0;0;0;0;0;0;0
1799.96;0.75;96;0;0;0;0;0;0;0;0;0
2399.94;0.76;96;0;0;0;0;0;0;0;0;0
2999.92;0.76;97;0;0;0;0;0;0;0;0;0
3599.9;0.74;97;0;0;0;0;0;0;0;0;0
4199.99;0.71;97;0;0;0;0;0;0;0;0;0
4799.96;0.69;97;0;0;0;0;0;0;0;0;0
5399.72;0.66;97;0;0;0;0;0;0;0;0;0
5999.98;0.66;97;0;0;0;0;0;0;0;0;0
6599.94;0.69;99;0;0;0;0;0;0;0;0;0
7199.99;0.69;99;0;0;0;0;0;0;0;0;0
