#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/20,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.81;1;None/0,ParkPod/0,RepositionPod/0,Insert/7,Extract/13,Rest/0
119.89;2;None/0,ParkPod/1,RepositionPod/0,Insert/7,Extract/12,Rest/0
180;0;None/0,ParkPod/0,RepositionPod/0,Insert/7,Extract/13,Rest/0
239.96;2;None/0,ParkPod/2,RepositionPod/0,Insert/7,Extract/11,Rest/0
299.72;1;None/0,ParkPod/1,RepositionPod/0,Insert/6,Extract/13,Rest/0
359.96;0;None/0,ParkPod/1,RepositionPod/0,Insert/7,Extract/12,Rest/0
419.88;1;None/0,ParkPod/1,RepositionPod/0,Insert/6,Extract/13,Rest/0
480;0;None/0,ParkPod/1,RepositionPod/0,Insert/6,Extract/13,Rest/0
539.84;1;None/0,ParkPod/0,RepositionPod/0,Insert/7,Extract/13,Rest/0
599.86;0;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
659.63;0;None/0,ParkPod/2,RepositionPod/0,Insert/6,Extract/12,Rest/0
719.94;0;None/0,ParkPod/2,RepositionPod/0,Insert/7,Extract/11,Rest/0
780;0;None/0,ParkPod/2,RepositionPod/0,Insert/6,Extract/12,Rest/0
839.95;0;None/0,ParkPod/3,RepositionPod/0,Insert/5,Extract/12,Rest/0
899.9;1;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
959.94;1;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
1019.98;2;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
1079.9;1;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
1139.65;3;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
1199.99;0;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
1259.93;0;None/0,ParkPod/0,RepositionPod/0,Insert/7,Extract/13,Rest/0
1319.94;1;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
1379.7;0;None/0,ParkPod/1,RepositionPod/0,Insert/6,Extract/13,Rest/0
1439.91;1;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
1499.99;1;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
1559.86;0;None/0,ParkPod/5,RepositionPod/0,Insert/4,Extract/11,Rest/0
1619.99;1;None/0,ParkPod/6,RepositionPod/0,Insert/5,Extract/9,Rest/0
1679.95;0;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
1739.86;0;None/0,ParkPod/6,RepositionPod/0,Insert/4,Extract/10,Rest/0
1799.8;2;None/0,ParkPod/2,RepositionPod/0,Insert/6,Extract/12,Rest/0
1859.66;2;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
1919.92;0;None/0,ParkPod/3,RepositionPod/0,Insert/5,Extract/12,Rest/0
1979.84;1;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
2039.89;0;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
2100;1;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
2159.97;0;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
2219.97;0;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
2279.74;1;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
2339.94;0;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
2399.65;0;None/0,ParkPod/6,RepositionPod/0,Insert/5,Extract/9,Rest/0
2459.98;1;None/0,ParkPod/4,RepositionPod/0,Insert/4,Extract/12,Rest/0
2519.89;0;None/0,ParkPod/4,RepositionPod/0,Insert/6,Extract/10,Rest/0
2579.77;0;None/0,ParkPod/3,RepositionPod/0,Insert/5,Extract/12,Rest/0
2639.96;0;None/0,ParkPod/2,RepositionPod/0,Insert/6,Extract/12,Rest/0
2699.96;0;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/8,Rest/0
2759.99;1;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
2819.96;0;None/0,ParkPod/2,RepositionPod/0,Insert/5,Extract/13,Rest/0
2879.93;2;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
2939.96;2;None/0,ParkPod/6,RepositionPod/0,Insert/4,Extract/10,Rest/0
2999.83;1;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/9,Rest/0
3059.98;0;None/0,ParkPod/2,RepositionPod/0,Insert/5,Extract/13,Rest/0
3119.83;1;None/0,ParkPod/3,RepositionPod/0,Insert/7,Extract/10,Rest/0
3179.95;1;None/0,ParkPod/4,RepositionPod/0,Insert/6,Extract/10,Rest/0
3239.59;0;None/0,ParkPod/8,RepositionPod/0,Insert/3,Extract/9,Rest/0
3299.9;0;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/9,Rest/0
3359.73;0;None/0,ParkPod/3,RepositionPod/0,Insert/5,Extract/12,Rest/0
3419.98;0;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
3479.97;1;None/0,ParkPod/7,RepositionPod/0,Insert/5,Extract/8,Rest/0
3539.81;1;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
3599.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/7,Extract/12,Rest/0
3659.81;0;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
3719.98;1;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
3779.99;1;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
3839.97;3;None/0,ParkPod/4,RepositionPod/0,Insert/6,Extract/10,Rest/0
3899.98;1;None/0,ParkPod/3,RepositionPod/0,Insert/5,Extract/12,Rest/0
3959.96;0;None/0,ParkPod/6,RepositionPod/0,Insert/4,Extract/10,Rest/0
4019.74;0;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/0
4079.86;1;None/0,ParkPod/6,RepositionPod/0,Insert/5,Extract/9,Rest/0
4139.84;0;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/8,Rest/0
4199.94;3;None/0,ParkPod/3,RepositionPod/0,Insert/5,Extract/12,Rest/0
4259.95;0;None/0,ParkPod/5,RepositionPod/0,Insert/5,Extract/10,Rest/0
4319.98;2;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/9,Rest/0
4379.98;1;None/0,ParkPod/2,RepositionPod/0,Insert/6,Extract/12,Rest/0
4439.89;0;None/0,ParkPod/8,RepositionPod/0,Insert/4,Extract/8,Rest/0
4499.72;1;None/0,ParkPod/5,RepositionPod/0,Insert/4,Extract/11,Rest/0
4559.72;2;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/9,Rest/0
4619.95;2;None/0,ParkPod/3,RepositionPod/0,Insert/5,Extract/12,Rest/0
4679.86;0;None/0,ParkPod/7,RepositionPod/0,Insert/4,Extract/9,Rest/0
4739.97;0;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/8,Rest/0
4799.99;0;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/11,Rest/0
4859.9;1;None/0,ParkPod/4,RepositionPod/0,Insert/6,Extract/10,Rest/0
4919.9;1;None/0,ParkPod/5,RepositionPod/0,Insert/3,Extract/12,Rest/0
4979.94;0;None/0,ParkPod/1,RepositionPod/0,Insert/7,Extract/12,Rest/0
5039.87;1;None/0,ParkPod/4,RepositionPod/0,Insert/6,Extract/10,Rest/0
