layer,metric,empty,loaded,total,unit
L1,orders_completed,,,1235,orders
L1,orders_per_hour,,,617.5,orders/h
L1,total_energy_with_support_kJ,,,23143.7112154274,kJ
L1,total_energy_mech_kJ,,,10259.2032776059,kJ
L1,energy_total_with_support_per_order_kJ,,,18.7398471379979,kJ/order
L1,energy_mech_per_order_kJ,,,8.30704718834487,kJ/order
L1,total_distance_m,,,117163.322227685,m
L1,order_distance_m,,,94.8690868240367,m/order
L1,system_order_pile_on,,,2.06176961602671,orders/output_station_arrival
L1,input_station_arrivals,,,416,count
L1,output_station_arrivals,,,599,count
L1,station_arrivals_total,,,1015,count
L2,trip_count,1031,2042,3073,trips
L2,distance_m,36128,81234,117362,m
L2,total_time_sec,29686.2450871655,75905.593642756,105591.838729922,s
L2,total_move_turn_energy_kJ,2277.04469319136,7536.61826247134,9813.6629556627,kJ
L2,move_turn_pct_of_mech,22.1951415872786,73.462022912856,,%
L2,avg_distance_per_trip_m,35.0417070805044,39.7815866797258,,m/trip
L2,avg_time_per_trip_sec,28.793642179598,37.1721810199589,,s/trip
L2,avg_energy_per_trip_kJ,2.20857875188299,3.69080228328665,,kJ/trip
L3,e1_accel_kJ,,,1541.84248144168,kJ
L3,e2_decel_kJ,,,0,kJ
L3,e3_cruise_kJ,,,6932.96602381925,kJ
L3,e4_rotation_kJ,,,1338.85445040176,kJ
L3,e5_lift_kJ,,,445.540321943221,kJ
L3,e1_pct_of_mech,,,15.028871538273,%
L3,e2_pct_of_mech,,,0,%
L3,e3_pct_of_mech,,,67.5780159162332,%
L3,e4_pct_of_mech,,,13.0502770456284,%
L3,e5_pct_of_mech,,,4.34283549986537,%
L4,turn_count,1863,8292,10155,events
L4,turn_energy_kJ,189.652268191359,1149.2021822104,1338.85445040176,kJ
L4,turn_pct_of_total,0.819454868002925,4.96550519280743,,%
L4,turn_pct_of_state,8.32887772288538,15.2482471871087,,%
L4,turn_per_trip,1.80698351115422,4.06072477962782,,per trip
L4,turn_per_m,0.0515666519043401,0.102075485634094,,per m
L5,wait_time_sec,695.919019212024,2325.24479027246,3021.16380948448,s
L5,wait_energy_kJ,62.6327117290821,209.272031124521,271.904742853603,kJ
L5,wait_pct_of_total,0.270625186885894,0.904228492900578,,%
L5,wait_ratio_mean,0.0212405796312817,0.0222660800242866,0.0219223406337811,ratio
L5,wait_ratio_median,0.00725876191266571,0.00588494924231744,0.006159215931222,ratio
L5,wait_ratio_p95,0.0848028194213927,0.107999003422372,0.101765452024424,ratio
L6,composition_move_pct,,,36.6181915526655,%
L6,composition_turn_pct,,,5.78496006081036,%
L6,composition_lift_pct,,,1.92510318589798,%
L6,composition_wait_pct,,,1.17485367978647,%
L6,composition_support_pct,,,54.4968915208397,%
L6,energy_empty_to_loaded_ratio,,,0.30213082497888,ratio
L6,effective_motion_ratio,,,0.97138828297884,ratio
L6,wait_energy_per_order_kJ,,,0.220165783687128,kJ/order
L6,energy_per_m_empty_J,63.0271449621169,,,J/m
L6,energy_per_m_loaded_J,,92.7766484781168,,J/m
