#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;66.22;0.13;PP/0,TA/0,IS/0.01,PS/0,RB/0,OB/0.05,RP/0
59.81;73.75;0.73;PP/0.32,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.05,RP/0
119.89;109.71;6.31;PP/0.53,TA/5.16,IS/0.03,PS/5.09,RB/0.01,OB/0.25,RP/0
180;112.84;9.29;PP/0.65,TA/7.68,IS/0.05,PS/7.59,RB/0.01,OB/0.49,RP/0
239.96;115.78;15.12;PP/1,TA/12.91,IS/0.06,PS/12.8,RB/0.01,OB/0.62,RP/0
299.72;116.3;15.85;PP/1.28,TA/13.11,IS/0.07,PS/12.99,RB/0.01,OB/0.78,RP/0
359.96;118.89;16.83;PP/1.47,TA/13.61,IS/0.09,PS/13.47,RB/0.01,OB/0.99,RP/0
419.88;118.79;18.21;PP/1.81,TA/14.39,IS/0.1,PS/14.23,RB/0.01,OB/1.13,RP/0
480;120.2;19.22;PP/2.08,TA/14.91,IS/0.11,PS/14.74,RB/0.01,OB/1.22,RP/0
539.84;123.2;20;PP/2.47,TA/15.12,IS/0.13,PS/14.94,RB/0.01,OB/1.3,RP/0
599.86;123.17;20.84;PP/2.6,TA/15.47,IS/0.15,PS/15.28,RB/0.01,OB/1.59,RP/0
659.98;124.18;21.88;PP/2.87,TA/15.97,IS/0.16,PS/15.76,RB/0.01,OB/1.74,RP/0
719.89;123.37;23.04;PP/3.18,TA/16.49,IS/0.17,PS/16.27,RB/0.01,OB/1.96,RP/0
779.78;122.61;24.09;PP/3.41,TA/17.01,IS/0.19,PS/16.78,RB/0.01,OB/2.18,RP/0
839.78;127.13;24.98;PP/3.58,TA/17.44,IS/0.21,PS/17.18,RB/0.01,OB/2.36,RP/0
899.97;128.84;25.82;PP/3.84,TA/17.78,IS/0.23,PS/17.52,RB/0.01,OB/2.5,RP/0
959.59;121.04;27.04;PP/4.18,TA/18.4,IS/0.24,PS/18.13,RB/0.01,OB/2.66,RP/0
1019.95;120.66;27.66;PP/4.39,TA/18.61,IS/0.25,PS/18.32,RB/0.01,OB/2.76,RP/0
1079.86;120.35;28.64;PP/4.68,TA/19.07,IS/0.26,PS/18.77,RB/0.01,OB/2.9,RP/0
1139.79;121.05;29.41;PP/4.84,TA/19.37,IS/0.28,PS/19.06,RB/0.01,OB/3.12,RP/0
1199.94;120.41;30.52;PP/5.09,TA/19.97,IS/0.3,PS/19.64,RB/0.01,OB/3.28,RP/0
1259.79;121.84;31.54;PP/5.42,TA/20.4,IS/0.31,PS/20.06,RB/0.01,OB/3.42,RP/0
1319.87;124.37;32.36;PP/5.73,TA/20.7,IS/0.32,PS/20.34,RB/0.01,OB/3.54,RP/0
1379.95;124.5;33.17;PP/5.95,TA/20.95,IS/0.34,PS/20.57,RB/0.01,OB/3.77,RP/0
1439.86;127.22;33.92;PP/6.23,TA/21.17,IS/0.35,PS/20.77,RB/0.01,OB/3.92,RP/0
1499.62;124.78;34.85;PP/6.49,TA/21.61,IS/0.37,PS/21.2,RB/0.01,OB/4.07,RP/0
1559.88;130.95;35.72;PP/6.91,TA/21.86,IS/0.39,PS/21.43,RB/0.01,OB/4.16,RP/0
1619.88;129.11;36.58;PP/7.12,TA/22.21,IS/0.41,PS/21.77,RB/0.01,OB/4.37,RP/0
1679.99;128.55;37.42;PP/7.35,TA/22.52,IS/0.42,PS/22.06,RB/0.01,OB/4.55,RP/0
1739.64;128.3;38.14;PP/7.62,TA/22.78,IS/0.43,PS/22.31,RB/0.01,OB/4.65,RP/0
1799.98;128.71;38.79;PP/7.84,TA/22.91,IS/0.45,PS/22.42,RB/0.01,OB/4.84,RP/0
1859.79;128.59;39.79;PP/8.09,TA/23.26,IS/0.47,PS/22.77,RB/0.01,OB/5.13,RP/0
1919.81;129.76;40.64;PP/8.43,TA/23.54,IS/0.48,PS/23.02,RB/0.01,OB/5.24,RP/0
1979.75;129.87;41.43;PP/8.79,TA/23.79,IS/0.49,PS/23.26,RB/0.01,OB/5.32,RP/0
2039.8;130.88;42.31;PP/9.17,TA/23.99,IS/0.51,PS/23.45,RB/0.01,OB/5.51,RP/0
2099.81;130.48;43.3;PP/9.54,TA/24.35,IS/0.53,PS/23.8,RB/0.01,OB/5.67,RP/0
2159.87;131.32;44.06;PP/9.83,TA/24.66,IS/0.54,PS/24.09,RB/0.01,OB/5.74,RP/0
2219.87;130.8;44.85;PP/10.07,TA/24.95,IS/0.57,PS/24.37,RB/0.01,OB/5.91,RP/0
2279.91;131.38;45.7;PP/10.31,TA/25.24,IS/0.59,PS/24.64,RB/0.01,OB/6.13,RP/0
2339.71;131.69;46.53;PP/10.67,TA/25.45,IS/0.6,PS/24.84,RB/0.01,OB/6.28,RP/0
2399.76;131.27;47.53;PP/10.97,TA/25.87,IS/0.62,PS/25.25,RB/0.01,OB/6.44,RP/0
2459.97;130.78;48.33;PP/11.25,TA/26.17,IS/0.63,PS/25.52,RB/0.01,OB/6.59,RP/0
2520;131.85;49.02;PP/11.53,TA/26.32,IS/0.65,PS/25.66,RB/0.01,OB/6.75,RP/0
2579.66;131.77;49.83;PP/11.9,TA/26.45,IS/0.67,PS/25.78,RB/0.01,OB/6.96,RP/0
2639.99;132.21;50.56;PP/12.28,TA/26.62,IS/0.68,PS/25.93,RB/0.01,OB/7.04,RP/0
2699.74;131.68;51.42;PP/12.72,TA/26.86,IS/0.69,PS/26.15,RB/0.02,OB/7.15,RP/0
2759.71;131.99;52.1;PP/12.91,TA/27.12,IS/0.7,PS/26.4,RB/0.02,OB/7.29,RP/0
2819.75;132.62;52.91;PP/13.31,TA/27.3,IS/0.72,PS/26.56,RB/0.02,OB/7.41,RP/0
2879.87;131.51;53.82;PP/13.74,TA/27.42,IS/0.73,PS/26.67,RB/0.02,OB/7.63,RP/0
2939.92;131.19;54.41;PP/14.03,TA/27.54,IS/0.74,PS/26.78,RB/0.02,OB/7.72,RP/0
2999.86;131.29;55.13;PP/14.27,TA/27.75,IS/0.75,PS/26.97,RB/0.02,OB/7.89,RP/0
3059.97;131.21;55.98;PP/14.57,TA/28.07,IS/0.76,PS/27.27,RB/0.02,OB/8.03,RP/0
3119.72;132.11;56.69;PP/14.92,TA/28.23,IS/0.77,PS/27.42,RB/0.02,OB/8.14,RP/0
3179.85;134.71;57.44;PP/15.16,TA/28.48,IS/0.79,PS/27.66,RB/0.02,OB/8.29,RP/0
3239.96;138.62;58.08;PP/15.53,TA/28.61,IS/0.79,PS/27.78,RB/0.02,OB/8.35,RP/0
3299.88;136.12;58.98;PP/15.87,TA/28.94,IS/0.8,PS/28.1,RB/0.02,OB/8.45,RP/0
3359.96;136.79;59.78;PP/16.3,TA/29.08,IS/0.8,PS/28.22,RB/0.02,OB/8.58,RP/0
3419.96;138.29;60.57;PP/16.57,TA/29.31,IS/0.81,PS/28.44,RB/0.02,OB/8.76,RP/0
3479.91;137.81;61.52;PP/16.91,TA/29.57,IS/0.82,PS/28.68,RB/0.02,OB/9,RP/0
3539.69;131.16;62.34;PP/17.31,TA/29.72,IS/0.84,PS/28.81,RB/0.02,OB/9.16,RP/0
3599.85;130.27;63.05;PP/17.54,TA/29.99,IS/0.85,PS/29.08,RB/0.02,OB/9.28,RP/0
3659.98;131.56;63.72;PP/17.79,TA/30.09,IS/0.86,PS/29.16,RB/0.02,OB/9.5,RP/0
3719.96;129.26;64.61;PP/18.19,TA/30.3,IS/0.87,PS/29.35,RB/0.02,OB/9.68,RP/0
3779.95;133.35;65.28;PP/18.51,TA/30.4,IS/0.87,PS/29.44,RB/0.02,OB/9.83,RP/0
3839.6;133.85;65.85;PP/18.76,TA/30.56,IS/0.88,PS/29.57,RB/0.02,OB/9.92,RP/0
3899.91;133.07;66.46;PP/18.97,TA/30.67,IS/0.9,PS/29.68,RB/0.02,OB/10.13,RP/0
3959.93;135.76;67.14;PP/19.2,TA/30.91,IS/0.91,PS/29.89,RB/0.02,OB/10.26,RP/0
4019.96;133.62;67.77;PP/19.53,TA/31,IS/0.92,PS/29.98,RB/0.02,OB/10.38,RP/0
4079.66;133.8;68.56;PP/19.85,TA/31.15,IS/0.93,PS/30.11,RB/0.02,OB/10.58,RP/0
4139.79;135.79;69.2;PP/20.15,TA/31.31,IS/0.94,PS/30.25,RB/0.02,OB/10.67,RP/0
4199.65;136.99;70.07;PP/20.41,TA/31.56,IS/0.95,PS/30.49,RB/0.02,OB/10.9,RP/0
4259.82;138.02;70.68;PP/20.69,TA/31.66,IS/0.96,PS/30.58,RB/0.02,OB/11.04,RP/0
4319.99;138.45;71.44;PP/20.94,TA/31.95,IS/0.97,PS/30.85,RB/0.02,OB/11.16,RP/0
4379.89;139.94;72.14;PP/21.25,TA/32.11,IS/0.98,PS/31,RB/0.02,OB/11.31,RP/0
4439.92;127.3;72.85;PP/21.47,TA/32.36,IS/0.99,PS/31.23,RB/0.02,OB/11.45,RP/0
4499.86;127.89;73.45;PP/21.74,TA/32.49,IS/1,PS/31.35,RB/0.02,OB/11.56,RP/0
4559.8;131.27;74.25;PP/22.1,TA/32.65,IS/1,PS/31.48,RB/0.02,OB/11.73,RP/0
4619.94;127.75;75.1;PP/22.52,TA/32.82,IS/1.02,PS/31.65,RB/0.02,OB/11.89,RP/0
4679.96;127.3;75.78;PP/22.75,TA/32.92,IS/1.03,PS/31.74,RB/0.02,OB/12.13,RP/0
4739.98;128;76.51;PP/23.01,TA/33.09,IS/1.04,PS/31.89,RB/0.02,OB/12.35,RP/0
4799.89;127.33;77.27;PP/23.26,TA/33.36,IS/1.05,PS/32.15,RB/0.02,OB/12.52,RP/0
4859.69;127.23;77.99;PP/23.56,TA/33.52,IS/1.06,PS/32.28,RB/0.02,OB/12.67,RP/0
4919.98;128.59;78.67;PP/24.01,TA/33.59,IS/1.06,PS/32.34,RB/0.02,OB/12.72,RP/0
4979.88;127.9;79.46;PP/24.28,TA/33.87,IS/1.06,PS/32.6,RB/0.02,OB/12.86,RP/0
5039.81;130.05;79.97;PP/24.5,TA/34.04,IS/1.07,PS/32.75,RB/0.02,OB/12.91,RP/0
5099.91;127.66;80.65;PP/24.83,TA/34.18,IS/1.08,PS/32.89,RB/0.02,OB/13.03,RP/0
5159.98;128.29;81.28;PP/25.06,TA/34.41,IS/1.08,PS/33.1,RB/0.02,OB/13.12,RP/0
