#TimeStamp;DistanceTraveled
59.81;1198.88
119.89;658.62
180;503.35
239.96;869.6
299.72;936.26
359.96;739.72
419.88;801.23
480;1059.24
539.84;1044.28
599.86;718.91
659.98;930.62
719.89;957.2
779.78;882.54
839.78;898.27
899.97;734.26
959.59;868.02
1019.95;987.41
1079.86;926.09
1139.79;846.59
1199.94;864.83
1259.79;947.73
1319.87;1022.98
1379.95;991.63
1439.86;911.99
1499.62;894
1559.88;993.6
1619.88;811.06
1679.99;921.25
1739.64;1068.65
1799.98;930.52
1859.79;735.63
1919.81;1065.02
1979.75;1117.64
2039.8;965.09
2099.81;999.68
2159.87;1165.39
2219.87;822.61
2279.91;805.45
2339.71;993.81
2399.76;944.1
2459.97;1031.31
2520;1021.78
2579.66;871.39
2639.99;1138.07
2699.74;1093.63
2759.71;862.05
2819.75;871.83
2879.87;1077.7
2939.92;1113.25
2999.86;1028.32
3059.97;976.16
3119.72;1025.11
3179.85;958.36
3239.96;1082.86
3299.88;990.26
3359.96;1113.36
3419.96;1112.52
3479.91;984.99
3539.69;1054.55
3599.85;944.22
3659.98;976.92
3719.96;1051.37
3779.95;1150.29
3839.6;999.35
3899.91;869.27
3959.93;961.08
4019.96;1003.22
4079.66;881.46
4139.79;1145.06
4199.65;960.9
4259.82;1022.78
4319.99;1008.9
4379.89;1052.79
4439.92;974.01
4499.86;1061.08
4559.8;1047.31
4619.94;976.63
4679.96;960.14
4739.98;999.63
4799.89;1037.89
4859.69;1068.67
4919.98;1123.53
4979.88;980.14
5039.81;1083.02
5099.91;1072.08
5159.98;954.17
5219.85;955.12
5279.88;1030.09
5339.9;1133.58
5399.98;953.56
5459.85;1107.94
5519.98;1043.75
5579.99;897.76
5639.83;984.92
5700;1126.17
5759.96;1054.97
5819.96;876.43
5879.94;942.37
5939.91;1161.16
5999.81;1075.39
6059.85;972.92
6120;921.91
6180;965.93
6239.97;1049.86
6299.99;982.47
6359.94;1116.58
6419.88;999.68
6479.79;1027.97
6539.8;1071.16
6599.98;978.49
6659.69;925.21
6719.98;840.1
6779.86;928.23
6839.68;971.74
6899.98;942.46
6959.89;867.01
7019.91;1070.12
7079.88;894.31
7139.92;850.81
7199.85;1133.25
