#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/20,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.82;3;None/0,ParkPod/0,RepositionPod/0,Insert/7,Extract/13,Rest/0
119.72;2;None/0,ParkPod/1,RepositionPod/0,Insert/7,Extract/12,Rest/0
179.75;2;None/0,ParkPod/0,RepositionPod/0,Insert/7,Extract/13,Rest/0
239.99;0;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/10,Rest/0
299.81;2;None/0,ParkPod/0,RepositionPod/0,Insert/9,Extract/11,Rest/0
359.88;3;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/9,Rest/0
419.75;4;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/9,Rest/0
479.74;4;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/9,Rest/0
539.91;3;None/0,ParkPod/3,RepositionPod/0,Insert/7,Extract/10,Rest/0
599.71;5;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/10,Rest/0
659.79;3;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/9,Rest/0
719.67;1;None/0,ParkPod/1,RepositionPod/0,Insert/10,Extract/9,Rest/0
779.94;2;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/9,Rest/0
839.73;3;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/8,Rest/0
899.99;3;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/5,Rest/0
959.86;2;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/7,Rest/0
1019.74;2;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/7,Rest/0
1079.81;4;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/7,Rest/0
1139.99;3;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/6,Rest/0
1199.85;2;None/0,ParkPod/1,RepositionPod/0,Insert/12,Extract/7,Rest/0
1259.8;1;None/0,ParkPod/5,RepositionPod/0,Insert/9,Extract/6,Rest/0
1319.96;2;None/0,ParkPod/5,RepositionPod/0,Insert/9,Extract/6,Rest/0
1379.9;2;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/7,Rest/0
1439.66;2;None/0,ParkPod/5,RepositionPod/0,Insert/9,Extract/6,Rest/0
1499.97;3;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/6,Rest/0
