#TimeStamp;Bot;Pod;OutputStation
35.59;7;371;5
36.2;14;495;2
38.4;19;119;3
40.55;11;366;1
45.7;7;371;5
46.31;14;495;2
46.94;12;896;7
48.59;19;119;3
50.85;11;366;1
51.11;3;162;6
52.92;9;233;8
55.78;7;371;5
56.28;14;495;2
57.24;12;896;7
58.64;19;119;3
60.7;11;366;1
61.16;3;162;6
61.8;5;936;0
62.89;9;233;8
65.52;7;371;5
66.47;14;495;2
67.68;12;896;7
68.74;19;119;3
70.89;11;366;1
71.28;3;162;6
71.81;5;936;0
73.23;9;233;8
75.5;17;164;4
75.86;7;371;5
76.52;14;495;2
77.76;12;896;7
78.8;19;119;3
81.31;11;366;1
81.36;3;162;6
81.6;5;936;0
83.18;9;233;8
85.66;17;164;4
85.7;7;371;5
86.43;14;495;2
87.65;12;896;7
88.75;19;119;3
91.38;11;366;1
91.42;3;162;6
91.86;5;936;0
93.39;9;233;8
95.6;17;164;4
95.93;7;371;5
96.52;14;495;2
97.6;12;896;7
98.93;19;119;3
101.42;11;366;1
101.42;3;162;6
101.62;5;936;0
103.43;1;1035;8
105.7;17;164;4
105.99;7;371;5
106.61;14;495;2
107.8;12;896;7
108.97;19;119;3
111.23;11;366;1
111.47;3;162;6
111.94;5;936;0
113.48;1;1035;8
115.76;17;164;4
116.11;13;43;5
116.57;14;495;2
118.24;12;896;7
119.02;19;119;3
121.47;11;366;1
121.47;3;162;6
121.98;5;936;0
123.24;1;1035;8
126.05;17;164;4
126.15;13;43;5
126.72;14;495;2
128.45;12;896;7
131.24;3;162;6
131.51;11;366;1
132.11;5;936;0
133.52;1;1035;8
136.1;17;164;4
136.1;13;43;5
136.66;14;495;2
138.52;12;896;7
141.2;3;162;6
141.56;11;366;1
142.07;5;936;0
143.83;1;1035;8
146.2;17;164;4
146.2;13;43;5
146.77;14;495;2
148.88;12;896;7
151.51;11;366;1
151.51;8;287;6
152.15;5;936;0
156.24;17;164;4
156.24;13;43;5
156.86;14;495;2
158.72;12;896;7
161.48;8;287;6
161.61;11;366;1
162.32;5;936;0
166.45;17;164;4
166.49;13;43;5
167.24;14;495;2
168.99;12;896;7
171.61;8;287;6
171.8;11;366;1
172.45;5;936;0
176.52;17;164;4
176.61;13;43;5
177.31;14;495;2
178.95;12;896;7
181.54;8;287;6
182.04;11;366;1
182.49;5;936;0
186.61;17;164;4
186.66;13;43;5
187.33;14;495;2
189.04;16;24;7
191.5;8;287;6
192.08;11;366;1
192.5;5;936;0
196.59;17;164;4
196.7;13;43;5
197.31;14;495;2
199.17;16;24;7
201.67;8;287;6
202.51;5;936;0
206.66;17;164;4
206.93;13;43;5
208.5;9;914;2
209.46;16;24;7
211.93;8;287;6
212.59;7;1138;0
214.83;19;584;1
216.7;17;164;4
216.9;13;43;5
218.51;9;914;2
219.5;16;24;7
221.7;8;287;6
222.65;7;1138;0
224.73;19;584;1
226.88;17;164;4
226.98;13;43;5
228.51;9;914;2
229.54;16;24;7
230.55;1;476;3
231.82;8;287;6
232.45;7;1138;0
234.88;19;584;1
236.96;17;164;4
237;13;43;5
238.55;9;914;2
240.61;1;476;3
241.98;8;287;6
242.7;7;1138;0
244.94;19;584;1
247.04;17;164;4
247.04;13;43;5
248.47;9;914;2
250.71;1;476;3
252.08;8;287;6
252.71;7;1138;0
254.98;19;584;1
258.62;9;914;2
260.78;1;476;3
262.69;7;1138;0
265.15;19;584;1
268.75;9;914;2
271.13;1;476;3
272.86;7;1138;0
275.44;19;584;1
278.69;9;914;2
281.11;1;476;3
282.86;7;1138;0
285.53;11;911;1
288.79;9;914;2
291.18;1;476;3
292.94;7;1138;0
295.03;5;430;4
295.94;11;911;1
298.9;9;914;2
301.39;1;476;3
303.02;7;1138;0
304.33;13;462;5
304.92;5;430;4
305.92;11;911;1
308.87;9;914;2
311.56;3;176;3
313.06;7;1138;0
314.51;13;462;5
315.21;5;430;4
316.03;11;911;1
318.98;9;914;2
321.98;3;176;3
323.14;7;1138;0
324.57;13;462;5
325.33;5;430;4
326.11;11;911;1
329.02;9;914;2
332.05;3;176;3
333.47;7;1138;0
334.61;13;462;5
335.14;5;430;4
336.3;11;911;1
339.02;9;914;2
342.11;3;176;3
344.69;13;462;5
345.4;5;430;4
346.28;11;911;1
349.09;9;914;2
349.55;16;720;0
352.52;3;176;3
354.76;13;462;5
355.53;5;430;4
356.52;19;181;1
359.14;9;914;2
359.88;16;720;0
364.8;13;462;5
365.59;5;430;4
366.84;19;181;1
368.81;9;914;2
369.94;16;720;0
374.84;13;462;5
375.63;5;430;4
376.85;19;181;1
379.18;9;914;2
380;16;720;0
384.85;13;462;5
385.53;5;430;4
387.01;19;181;1
389.22;9;914;2
390.04;16;720;0
394.89;8;72;5
395.66;5;430;4
397.05;19;181;1
399.29;9;914;2
400.03;16;720;0
404.9;8;72;5
405.66;5;430;4
407.34;19;181;1
409.33;9;914;2
410.07;16;720;0
414.95;8;72;5
415.71;5;430;4
417.47;19;181;1
419.38;9;914;2
420.13;16;720;0
422.2;7;89;3
425;8;72;5
427.91;19;181;1
429.42;9;914;2
430.17;16;720;0
432.25;7;89;3
435.08;8;72;5
438.01;19;181;1
439.72;17;1030;2
440.17;16;720;0
442.41;7;89;3
444.83;8;72;5
447.97;19;181;1
449.63;17;1030;2
450.22;16;720;0
452.45;7;89;3
454.88;8;72;5
458.02;19;181;1
459.76;17;1030;2
460.52;16;720;0
462.74;7;89;3
464.85;8;72;5
468.04;1;337;1
469.81;17;1030;2
470.65;16;720;0
472.6;7;89;3
477.8;1;337;1
480;17;1030;2
480.47;16;720;0
482.59;7;89;3
488.11;1;337;1
490.05;17;1030;2
490.69;16;720;0
492.79;7;89;3
498.29;1;337;1
500;17;1030;2
500.58;16;720;0
502.82;7;89;3
508.43;1;337;1
510.27;13;828;2
510.4;16;720;0
512.99;7;89;3
518.62;1;337;1
520.41;13;828;2
520.73;16;720;0
523.04;7;89;3
528.68;1;337;1
530.72;13;828;2
530.96;11;163;0
533.33;7;89;3
538.69;1;337;1
540.64;13;828;2
540.81;11;163;0
543.47;7;89;3
548.76;1;337;1
550.77;11;163;0
550.77;13;828;2
553.72;7;89;3
557.38;8;784;4
558.97;1;337;1
561.01;11;163;0
561.01;13;828;2
563.72;7;89;3
567.14;8;784;4
569.23;1;337;1
570.96;11;163;0
571.05;13;828;2
573.77;19;782;3
577.16;8;784;4
579.25;1;337;1
581.05;11;163;0
581.24;13;828;2
583.82;19;782;3
587.37;8;784;4
589.16;1;337;1
590.98;11;163;0
591.15;13;828;2
593.86;19;782;3
597.42;8;784;4
599.19;1;337;1
601.15;11;163;0
601.15;13;828;2
604.15;19;782;3
607.24;8;784;4
609.24;1;337;1
611.15;11;163;0
611.15;13;828;2
614.2;19;782;3
617.47;8;784;4
619.25;9;541;1
621.23;11;163;0
621.23;13;828;2
627.73;8;784;4
629.3;9;541;1
631.39;5;1137;0
631.39;17;895;2
639.3;9;541;1
641.44;5;1137;0
641.44;17;895;2
649.35;9;541;1
651.78;5;1137;0
651.78;17;895;2
659.79;9;541;1
661.86;5;1137;0
661.86;17;895;2
669.84;9;541;1
671.68;17;895;2
671.9;5;1137;0
678.86;11;215;3
680;7;830;1
681.68;17;895;2
682.02;1;54;0
688.6;11;215;3
690.11;7;830;1
691.9;16;297;2
692.02;1;54;0
695.49;8;459;4
698.98;11;215;3
700.2;7;830;1
701.79;16;297;2
702.41;1;54;0
705.54;8;459;4
708.99;11;215;3
710.24;7;830;1
711.93;16;297;2
712.08;1;54;0
715.49;8;459;4
718.73;11;215;3
720.66;7;830;1
721.9;16;297;2
722.46;1;54;0
725.53;8;459;4
729.03;11;215;3
730.52;7;830;1
731.84;16;297;2
732.5;1;54;0
735.58;8;459;4
738.69;11;215;3
740.52;7;830;1
741.94;16;297;2
742.57;1;54;0
749.08;19;632;3
750.48;7;830;1
752.03;16;297;2
752.38;1;54;0
759.33;19;632;3
760.6;17;1140;1
762.35;16;297;2
762.65;1;54;0
769.44;19;632;3
770.71;17;1140;1
772.33;16;297;2
