time,bot_id,task_id,pod_id,station_id,eta_now,t_starve,slack,chosen_delay,deadline,release_policy,eta_safety_buffer,probe_success,release_reason,station_pending_items,station_busy_remaining,station_queue_work,eta_at_release,remaining_t_starve_at_release,best_future_eta_at_release,best_future_delay_at_release,eta_improvement_at_release,neighbor_count_at_decision,missing_arrival_count,queue_arrival_time,release_time,actual_arrival_time,actual_eta,arrival_error,station_idle_at_arrival,queue_wait_at_station
11.17,Bot14,65335398,Pod495,OutputStation2,24.96,0,-24.96,0,11.17,ReservationEtaImprovement,0,1,immediate_release,0,0,0,24.96,0,,,,0,0,29.42,11.17,36.32,25.15,0.19,1,6.9
11.37,Bot17,57675884,Pod164,OutputStation4,60.37,0,-60.37,0,11.37,ReservationEtaImprovement,0,1,immediate_release,0,0,0,60.37,0,,,,0,0,67.45,11.37,75.73,64.36,3.99,1,8.28
13.37,Bot7,32547936,Pod371,OutputStation5,21.63,0,-21.63,0,13.37,ReservationEtaImprovement,0,1,immediate_release,0,0,0,21.63,0,,,,0,0,29.8,13.37,35.23,21.86,0.23,1,5.43
13.37,Bot13,59455271,Pod43,OutputStation5,74.29,0,-74.29,0,13.37,ReservationEtaImprovement,0,1,immediate_release,0,0,0,74.29,0,,,,0,0,93.86,13.37,113.46,100.09,25.79,0,19.6
14.67,Bot11,38016717,Pod366,OutputStation1,25.08,0,-25.08,0,14.67,ReservationEtaImprovement,0,1,immediate_release,0,0,0,25.08,0,,,,0,0,35.28,14.67,40.77,26.1,1.03,1,5.5
15.42,Bot19,49320909,Pod119,OutputStation3,23.5,0,-23.5,0,15.42,ReservationEtaImprovement,0,1,immediate_release,0,0,0,23.5,0,,,,0,0,32.3,15.42,39.18,23.76,0.26,1,6.88
18.71,Bot3,4544348,Pod162,OutputStation6,31.63,0,-31.63,0,18.71,ReservationEtaImprovement,0,1,immediate_release,0,0,0,31.63,0,,,,0,0,45.15,18.71,50.61,31.9,0.27,1,5.46
18.76,Bot5,40899139,Pod936,OutputStation0,35.5,0,-35.5,0,18.76,ReservationEtaImprovement,0,1,immediate_release,0,0,0,35.5,0,,,,0,0,53.04,18.76,61.4,42.64,7.14,1,8.36
20.63,Bot16,51147674,Pod24,OutputStation7,32.96,0,-32.96,0,20.63,ReservationEtaImprovement,0,1,immediate_release,0,0,0,32.96,0,,,,0,0,48.61,20.63,165.82,145.19,112.23,0,117.21
21.22,Bot9,19137160,Pod233,OutputStation8,31.21,0,-31.21,0,21.22,ReservationEtaImprovement,0,1,immediate_release,0,0,0,31.21,0,,,,0,0,47.69,21.22,53.28,32.05,0.85,1,5.59
29.33,Bot1,60157251,Pod1035,OutputStation8,90,0,-90,0,29.33,ReservationEtaImprovement,0,1,immediate_release,0,0,0,90,0,,,,0,0,77.23,29.33,101.93,72.6,-17.4,0,24.7
30.64,Bot12,6606141,Pod896,OutputStation7,15.58,0,-15.58,0,30.64,ReservationEtaImprovement,0,1,immediate_release,0,0,0,15.58,0,,,,1,0,41.22,30.64,46.64,16,0.42,1,5.42
32.02,Bot8,24495972,Pod287,OutputStation6,90,0,-90,0,32.02,ReservationEtaImprovement,0,1,immediate_release,0,0,0,90,0,,,,0,0,66.28,32.02,149.67,117.65,27.64,0,83.39
136.23,Bot7,54445748,Pod1138,OutputStation0,78.33,15.77,-62.57,0,136.23,ReservationEtaImprovement,0,0,immediate_release,1,5.77,10,78.33,15.77,,,,0,0,177.67,136.23,184.6,48.37,-29.97,1,6.93
146.78,Bot19,16376444,Pod1177,OutputStation1,35,15.21,-19.79,0,146.78,ReservationEtaImprovement,0,0,immediate_release,1,5.21,10,35,15.21,,,,0,0,177.67,146.78,210.76,63.98,28.98,0,33.09
153.01,Bot9,6268747,Pod914,OutputStation2,105,14.17,-90.83,0,153.01,ReservationEtaImprovement,0,0,immediate_release,1,4.17,10,105,14.17,,,,0,0,201.87,153.01,208.76,55.75,-49.25,1,6.89
192.12,Bot3,59864053,Pod584,OutputStation3,53.71,0,-53.71,0,192.12,ReservationEtaImprovement,0,1,immediate_release,0,0,0,53.71,0,,,,0,0,256.74,192.12,262.28,70.16,16.45,1,5.54
199.63,Bot1,13500429,Pod340,OutputStation1,63.33,52.75,-10.59,0,199.63,ReservationEtaImprovement,0,0,immediate_release,1,2.75,50,63.33,52.75,,,,0,0,239.05,199.63,250.03,50.4,-12.93,0,10.97
213.71,Bot5,63073541,Pod720,OutputStation4,40,13.18,-26.82,0,213.71,ReservationEtaImprovement,0,0,immediate_release,1,3.18,10,40,13.18,,,,0,0,239.34,213.71,274.83,61.12,21.12,0,35.49
237.41,Bot11,48667275,Pod54,OutputStation0,33.33,7.4,-25.93,0,237.41,ReservationEtaImprovement,0,0,immediate_release,0,7.4,0,33.33,7.4,,,,0,0,260.51,237.41,303.63,66.23,32.9,0,43.12
267.09,Bot16,16046545,Pod476,OutputStation5,39.71,0.16,-39.54,0,267.09,ReservationEtaImprovement,0,1,immediate_release,0,0.16,0,39.71,0.16,,,,0,0,301.88,267.09,308.94,41.85,2.14,1,7.05
292.76,Bot13,47170552,Pod72,OutputStation6,77.13,0,-77.13,0,292.76,ReservationEtaImprovement,0,1,immediate_release,0,0,0,77.13,0,,,,0,0,366.97,292.76,372.39,79.63,2.5,1,5.42
293.91,Bot8,42523874,Pod220,OutputStation2,93.33,15.62,-77.71,0,293.91,ReservationEtaImprovement,0,0,immediate_release,1,5.62,10,93.33,15.62,,,,0,0,338.47,293.91,388.34,94.44,1.1,0,49.87
294.82,Bot19,44628050,Pod53,OutputStation1,70,8.24,-61.76,0,294.82,ReservationEtaImprovement,0,0,immediate_release,0,8.24,0,70,8.24,,,,0,0,328.72,294.82,361.33,66.51,-3.49,0,32.62
