#TimeStamp;Runtime;Requests
0.88;0.06;20
8.3;0;1
11.33;0;1
12.35;0.01;1
13.55;0.01;2
14.58;0.01;1
15.68;0.01;2
16.82;0.01;1
17.84;0.01;1
18.93;0.01;3
20;0.01;1
21.03;0.01;3
22.03;0.01;3
23.12;0.01;2
24.23;0.01;2
27.09;0.01;1
29.42;0.01;1
31.01;0.01;1
32.02;0.01;2
33.23;0.03;2
41.68;0.01;1
42.73;0.01;1
55.41;0.02;1
59.9;0.01;1
62.29;0.02;1
64.24;0.05;1
66.32;0.01;1
71.36;0.01;1
79.64;0.01;1
82.31;0;1
85.75;0;1
88.15;0;1
94.16;0;1
95.23;0.01;1
96.82;0;1
97.84;0;1
99.26;0.01;1
102.34;0.01;1
109.3;0;1
111.78;0.01;1
114.42;0;1
115.45;0.01;1
116.49;0.01;1
123.39;0.01;1
124.42;0;1
126.47;0;1
129.06;0;1
132.21;0;1
135.47;0;1
136.52;0;2
139.84;0;1
142.6;0;1
144.25;0;1
145.49;0;1
146.56;0;1
147.62;0.01;3
148.62;0.01;2
153.43;0.01;1
159.26;0.01;1
160.78;0.01;1
161.8;0.01;1
163.15;0.01;1
164.17;0.01;1
165.26;0.01;1
166.8;0.01;1
168.28;0.01;1
169.37;0.01;1
173.86;0.02;1
175.33;0.01;1
176.58;0.01;1
177.67;0.01;1
178.79;0.01;1
179.8;0.02;1
183.68;0.01;1
186.2;0.01;1
190.71;0.01;1
192.33;0.01;1
193.4;0.01;1
195.37;0.01;1
197.38;0.01;1
198.47;0;1
199.76;0.01;1
201.03;0.01;1
202.08;0;2
203.09;0.01;2
204.11;0;2
205.31;0;1
206.5;0;2
207.55;0;2
208.72;0.01;1
209.73;0;1
210.76;0;1
211.76;0.01;1
213.79;0.01;1
214.81;0.01;1
216.09;0.01;1
222.87;0.01;1
223.91;0.01;1
225.22;0.01;1
229.61;0.01;1
230.89;0.02;1
231.9;0.01;1
234;0.01;1
237.45;0.03;1
239.55;0.01;1
240.7;0.02;2
242.05;0.01;1
243.19;0.01;1
244.23;0.01;1
245.86;0.01;1
246.9;0.01;1
252.01;0.01;1
255.49;0.01;1
256.65;0.01;1
259.89;0;1
260.98;0;1
262.01;0;1
264.84;0;1
266.47;0.01;1
267.6;0.01;1
268.62;0.01;1
269.62;0.01;1
270.65;0;1
271.72;0;1
273.97;0;1
274.98;0.01;3
276.23;0.01;2
278.9;0.01;1
280;0.01;1
281.1;0.01;1
283.82;0.01;1
284.83;0.01;1
285.86;0.01;1
287;0.01;1
288.02;0.01;1
289.06;0.01;2
290.11;0;2
291.15;0;2
292.28;0;2
293.33;0.01;2
294.42;0.01;2
295.53;0.01;1
297.94;0.01;1
299.15;0.01;1
300.56;0.01;1
301.63;0.01;2
302.67;0.01;1
303.68;0.01;1
304.77;0.01;1
305.8;0.01;4
306.87;0.01;1
308.06;0.01;1
309.11;0.01;1
310.15;0.02;2
311.2;0.01;1
312.24;0.01;1
315.69;0.01;1
321.39;0.02;1
322.4;0.01;1
323.7;0.02;1
325;0.02;2
326.1;0.01;1
330.15;0.01;2
336.14;0;1
339.86;0;1
340.89;0.01;2
345.47;0.01;1
346.47;0.01;1
347.85;0.01;1
351.92;0.01;1
354.27;0.01;1
355.41;0.01;1
356.66;0.01;2
357.89;0.01;1
358.9;0.01;1
360;0.01;1
362.04;0;1
365.54;0.01;1
366.67;0.02;3
371.49;0.01;1
372.59;0.01;1
373.96;0.01;1
376.76;0;1
378.46;0;1
379.54;0;1
381.79;0;1
384.34;0;1
385.67;0;1
386.79;0.01;2
389.92;0.01;1
392.89;0.01;1
401.12;0.01;1
402.28;0.01;1
405.18;0.01;1
407.83;0.01;1
411.87;0.01;1
413;0.01;2
414.1;0.01;3
415.13;0.01;2
416.17;0.01;1
417.23;0.01;2
418.44;0.01;1
419.51;0.01;2
420.51;0.02;2
421.55;0.02;1
423.88;0;1
426.54;0.01;1
429.13;0.01;1
430.37;0.01;1
433.47;0.01;1
434.68;0.01;1
436.48;0.01;1
437.48;0.01;1
438.53;0.01;1
439.57;0.01;1
440.61;0.01;1
441.79;0.01;1
443.24;0.01;2
444.26;0;1
445.28;0.01;1
446.46;0.01;1
447.68;0.01;1
448.71;0.01;1
449.8;0.01;1
450.86;0.01;1
453.03;0.01;1
454.08;0.01;1
456.02;0.01;1
457.06;0.01;1
460.71;0;1
461.92;0.01;1
463.39;0.01;1
465.65;0.01;1
468.13;0.01;1
469.13;0.01;3
472.3;0.01;1
473.59;0;1
475.55;0.01;1
477.1;0;1
478.17;0.01;2
479.42;0;1
480.47;0.01;2
481.65;0.01;1
482.84;0.01;1
483.88;0.01;1
484.92;0.01;2
485.97;0.01;1
487.11;0.01;1
493.71;0.01;1
495.08;0.01;1
497.55;0.01;1
500.88;0.01;1
502.69;0.01;1
503.91;0.01;1
505.01;0.01;1
507.24;0.02;1
508.29;0.02;1
509.29;0.01;1
510.29;0.01;3
511.29;0.01;1
512.52;0.01;1
513.83;0.01;1
515.17;0.02;1
519.28;0.01;1
520.38;0.01;1
521.38;0.02;2
522.43;0.01;1
523.47;0.01;1
524.54;0.02;1
534.59;0.01;1
535.68;0.01;2
537.34;0.01;1
538.35;0.01;1
539.54;0.01;1
540.77;0.01;1
541.87;0.01;1
543.1;0.03;1
544.17;0.01;1
545.77;0.01;1
551.53;0.01;1
554.96;0;1
556.98;0.01;1
559.34;0;1
560.59;0.01;2
561.61;0.01;1
563.21;0.01;1
566.4;0.01;1
567.47;0.01;1
568.52;0.02;1
569.84;0.01;1
571.52;0.02;1
572.7;0.01;1
574.33;0.01;1
577.83;0.01;1
578.9;0.01;1
580;0.01;1
581.06;0.01;1
582.12;0.01;1
583.28;0.02;3
585.95;0.01;1
590.3;0.01;1
591.4;0.02;1
592.45;0.01;1
593.77;0.02;1
595.65;0.01;1
596.66;0.01;3
597.7;0.01;1
598.73;0.01;1
599.75;0.01;1
