#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;66.29;0.74;PP/0,TA/0,IS/0.01,PS/0,RB/0.01,OB/0.66,RP/0
59.94;180.95;35.13;PP/0.26,TA/0.02,IS/0.01,PS/0,RB/0.01,OB/8.38,RP/0
119.92;98;48.42;PP/0.43,TA/4.88,IS/0.03,PS/4.86,RB/0.01,OB/16.52,RP/0
179.97;115.67;61.9;PP/0.66,TA/8.97,IS/0.04,PS/8.95,RB/0.01,OB/25.55,RP/0
239.64;118.79;72.96;PP/0.96,TA/10.56,IS/0.05,PS/10.54,RB/0.01,OB/34.6,RP/0
299.86;119.31;85.53;PP/1.25,TA/11.47,IS/0.07,PS/11.45,RB/0.01,OB/45.82,RP/0
359.82;122.52;97.82;PP/1.56,TA/11.76,IS/0.08,PS/11.73,RB/0.01,OB/57.41,RP/0
419.68;124.3;109.76;PP/1.77,TA/12.28,IS/0.1,PS/12.26,RB/0.01,OB/68.5,RP/0
479.93;125.01;121.26;PP/2.06,TA/12.42,IS/0.12,PS/12.39,RB/0.01,OB/79.44,RP/0
539.96;124.76;134.71;PP/2.41,TA/12.88,IS/0.14,PS/12.84,RB/0.01,OB/91.95,RP/0
599.97;120.33;146.98;PP/2.76,TA/13.12,IS/0.15,PS/13.09,RB/0.01,OB/103.48,RP/0
