time,bot_id,task_id,pod_id,station_id,eta_now,t_starve,queue_budget,release_budget,slack,chosen_delay,deadline,release_policy,eta_safety_buffer,probe_success,release_reason,station_pending_items,station_busy_remaining,station_queue_work,eta_at_release,remaining_t_starve_at_release,best_future_eta_at_release,best_future_delay_at_release,eta_improvement_at_release,neighbor_count_at_decision,missing_arrival_count,queue_arrival_time,release_time,actual_arrival_time,actual_eta,arrival_error,station_idle_at_arrival,queue_wait_at_station
14.09,Bot5,20338133,Pod153,OutputStation6,52.25,0,0,0,-52.25,0,14.09,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,52.25,0,,,,0,0,63.86,14.09,69.44,55.35,3.1,1,5.57
20.68,Bot11,26073299,Pod115,OutputStation1,30.92,0,0,0,-30.92,0,20.68,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,30.92,0,,,,0,0,51.19,20.68,56.57,35.9,4.98,1,5.38
26.68,Bot8,36776090,Pod193,OutputStation0,69.75,0,0,0,-69.75,0,26.68,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,69.75,0,,,,0,0,95.38,26.68,102.4,75.73,5.98,1,7.02
28.65,Bot12,33333103,Pod11,OutputStation11,44.5,0,20,20,-24.5,0,28.65,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,44.5,0,,,,0,0,73.73,28.65,89,60.36,15.86,0,15.28
29.38,Bot9,62549356,Pod9,OutputStation11,38.46,0,20,20,-18.46,0,29.38,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,38.46,0,,,,0,0,62.39,29.38,69.48,40.1,1.65,1,7.09
30.74,Bot17,57811421,Pod18,OutputStation10,39.5,0,0,0,-39.5,0,30.74,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,39.5,0,,,,0,0,64.69,30.74,71.97,41.23,1.73,1,7.28
31.92,Bot16,6423491,Pod261,OutputStation9,54.5,0,0,0,-54.5,0,31.92,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,54.5,0,,,,0,0,76.62,31.92,83.61,51.68,-2.81,1,6.99
33.35,Bot1,9364637,Pod245,OutputStation2,39.58,0,0,0,-39.58,0,33.35,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,39.58,0,,,,0,0,66.95,33.35,74.23,40.88,1.3,1,7.28
41.05,Bot7,48825474,Pod15,OutputStation4,44.33,0,0,0,-44.33,0,41.05,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,44.33,0,,,,0,0,81.37,41.05,87.11,46.06,1.73,1,5.74
41.05,Bot19,50540745,Pod180,OutputStation5,61.67,0,0,0,-61.67,0,41.05,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,61.67,0,,,,0,0,121.14,41.05,126.66,85.61,23.95,1,5.52
49.38,Bot14,15626802,Pod220,OutputStation3,53.58,0,0,0,-53.58,0,49.38,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,53.58,0,,,,0,0,99.53,49.38,104.98,55.6,2.02,1,5.46
51.05,Bot13,31562473,Pod85,OutputStation8,57.7,0,0,0,-57.7,0,51.05,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,57.7,0,,,,0,0,104.98,51.05,112.03,60.99,3.28,1,7.05
55.87,Bot3,17172873,Pod38,OutputStation7,72,0,0,0,-72,0,55.87,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,72,0,,,,0,0,116.8,55.87,123.09,67.22,-4.78,1,6.29
103.78,Bot9,38006470,Pod21,OutputStation11,18.33,15.84,30,30,11.67,11.67,115.45,QueueBudgetEtaImprovement,0,0,hard_deadline,1,5.84,10,,17.49,,,,0,0,129.65,116.29,157.74,41.46,23.96,0,28.09
162.37,Bot17,18045482,Pod16,OutputStation10,37.63,0,0,0,-37.63,0,162.37,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,37.63,0,,,,0,0,196.16,162.37,201.67,39.31,1.68,1,5.52
183.35,Bot1,48903847,Pod95,OutputStation2,50.29,0,0,0,-50.29,0,183.35,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,50.29,0,,,,0,0,229.89,183.35,235.31,51.96,1.66,1,5.42
190.44,Bot16,19792958,Pod336,OutputStation9,16.25,0,0,0,-16.25,0,190.44,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,16.25,0,,,,0,0,199.85,190.44,206.76,16.32,0.07,1,6.91
198.57,Bot12,50407014,Pod12,OutputStation11,78.33,11.29,40,40,-38.33,0,198.57,QueueBudgetEtaImprovement,0,0,immediate_release,1,1.29,10,78.33,11.29,,,,0,0,237.01,198.57,243.8,45.23,-33.11,1,6.79
210.39,Bot11,63615456,Pod57,OutputStation1,70.96,0,0,0,-70.96,0,210.39,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,70.96,0,,,,0,0,280.59,210.39,286.14,75.75,4.79,1,5.55
253.46,Bot8,45518526,Pod283,OutputStation0,67.79,0,0,0,-67.79,0,253.46,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,67.79,0,,,,0,0,320.78,253.46,326.56,73.1,5.31,1,5.78
253.84,Bot7,57253397,Pod290,OutputStation4,70.38,0,0,0,-70.38,0,253.84,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,70.38,0,,,,0,0,329.67,253.84,336.83,82.99,12.61,1,7.16
266.01,Bot5,17194111,Pod163,OutputStation6,69.71,0,0,0,-69.71,0,266.01,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,69.71,0,,,,0,0,328.33,266.01,335.18,69.17,-0.54,1,6.85
268.77,Bot19,50560785,Pod100,OutputStation5,22.17,0,0,0,-22.17,0,268.77,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,22.17,0,,,,0,0,285.62,268.77,291.01,22.24,0.08,1,5.39
272.31,Bot14,5058020,Pod4,OutputStation3,60.41,0,0,0,-60.41,0,272.31,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,60.41,0,,,,0,0,328.96,272.31,334.51,62.2,1.79,1,5.56
272.82,Bot3,562002,Pod23,OutputStation7,58.96,0,0,0,-58.96,0,272.82,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,58.96,0,,,,0,0,327.19,272.82,334.13,61.31,2.35,1,6.95
282.83,Bot13,60366072,Pod477,OutputStation8,41.54,0,0,0,-41.54,0,282.83,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,41.54,0,,,,0,0,319.63,282.83,326.61,43.77,2.23,1,6.98
283.86,Bot12,22415451,Pod28,OutputStation11,30.96,0,40,40,9.04,9.04,292.9,QueueBudgetEtaImprovement,0,1,eta_improvement_release,0,0,0,30.96,38.96,30.96,1,0,1,0,310.36,284.9,315.91,31.01,-7.95,1,5.55
289.23,Bot9,51446584,Pod184,OutputStation11,90.01,0,30,30,-60.01,0,289.23,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,90.01,0,,,,0,0,345.55,289.23,352.54,63.31,-26.7,1,6.99
291.13,Bot17,63418631,Pod99,OutputStation10,63,0,0,0,-63,0,291.13,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,63,0,,,,0,0,349.61,291.13,356.61,65.47,2.47,1,7
330.83,Bot16,33254664,Pod17,OutputStation9,65.63,0,0,0,-65.63,0,330.83,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,65.63,0,,,,0,0,396.04,330.83,401.49,70.66,5.03,1,5.44
349.02,Bot1,40752003,Pod35,OutputStation2,33.67,0,0,0,-33.67,0,349.02,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,33.67,0,,,,0,0,376.16,349.02,384.58,35.56,1.89,1,8.42
385.45,Bot12,60873465,Pod43,OutputStation11,56.67,7.66,40,40,-16.67,0,385.45,QueueBudgetEtaImprovement,0,0,immediate_release,0,7.66,0,56.67,7.66,,,,0,0,412.05,385.45,450.84,65.39,8.72,0,38.79
401.53,Bot14,32853697,Pod5,OutputStation3,51.21,0,0,0,-51.21,0,401.53,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,51.21,0,,,,0,0,449.59,401.53,454.99,53.46,2.25,1,5.4
409.75,Bot7,21676799,Pod19,OutputStation4,64.96,0,0,0,-64.96,0,409.75,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,64.96,0,,,,0,0,474.99,409.75,480.72,70.97,6.01,1,5.73
421.81,Bot11,9624785,Pod783,OutputStation1,68.62,0,0,0,-68.62,0,421.81,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,68.62,0,,,,0,0,476.28,421.81,484.58,62.78,-5.84,1,8.3
422.55,Bot19,57777877,Pod355,OutputStation5,43.75,0,0,0,-43.75,0,422.55,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,43.75,0,,,,0,0,463.7,422.55,469.24,46.69,2.94,1,5.54
427.74,Bot17,57776310,Pod290,OutputStation10,61.71,0,0,0,-61.71,0,427.74,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,61.71,0,,,,0,0,484.69,427.74,493.05,65.3,3.6,1,8.35
434.76,Bot16,37567130,Pod336,OutputStation9,19.7,0,0,0,-19.7,0,434.76,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,19.7,0,,,,0,0,447.57,434.76,454.55,19.78,0.08,1,6.98
441.19,Bot13,65915646,Pod7,OutputStation8,37.04,0,0,0,-37.04,0,441.19,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,37.04,0,,,,0,0,473.56,441.19,480.59,39.4,2.36,1,7.03
446.32,Bot8,56369908,Pod72,OutputStation0,38.92,0,0,0,-38.92,0,446.32,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,38.92,0,,,,0,0,481.49,446.32,486.93,40.61,1.69,1,5.44
488.32,Bot9,53640856,Pod328,OutputStation11,76.67,14.98,60,60,-16.67,0,488.32,QueueBudgetEtaImprovement,0,0,immediate_release,1,4.98,10,76.67,14.98,,,,0,0,537.65,488.32,571.27,82.95,6.28,0,33.63
488.87,Bot3,66903647,Pod217,OutputStation7,31.16,0,0,0,-31.16,0,488.87,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,31.16,0,,,,0,0,515.22,488.87,520.64,31.77,0.61,1,5.42
494.77,Bot5,49942111,Pod728,OutputStation6,45.2,0,0,0,-45.2,0,494.77,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,45.2,0,,,,0,0,536.53,494.77,542.24,47.48,2.27,1,5.71
514.38,Bot16,35684724,Pod28,OutputStation9,29.67,0,0,0,-29.67,0,514.38,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,29.67,0,,,,0,0,538.85,514.38,544.41,30.03,0.36,1,5.56
527.41,Bot1,13005663,Pod488,OutputStation2,62.29,0,0,0,-62.29,0,527.41,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,62.29,0,,,,0,0,598.9,527.41,,,,,
530.4,Bot14,41367663,Pod34,OutputStation3,30.17,0,0,0,-30.17,0,530.4,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,30.17,0,,,,0,0,554.41,530.4,561.65,31.25,1.09,1,7.24
537.6,Bot7,33398680,Pod784,OutputStation4,41,0,0,0,-41,0,537.6,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,41,0,,,,0,0,576.07,537.6,581.52,43.91,2.91,1,5.44
578.74,Bot13,15229100,Pod283,OutputStation8,71.79,0,0,0,-71.79,0,578.74,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,71.79,0,,,,0,0,,578.74,,,,,
590.89,Bot17,58208553,Pod141,OutputStation10,37.08,0,0,0,-37.08,0,590.89,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,37.08,0,,,,0,0,,590.89,,,,,
597.02,Bot16,9672965,Pod144,OutputStation9,55.12,0,0,0,-55.12,0,597.02,QueueBudgetEtaImprovement,0,1,immediate_release,0,0,0,55.12,0,,,,0,0,,597.02,,,,,
