#TimeStamp;TripTime;Type
30;23;I
41;27;I
48;26;I
51;31;O
54;34;I
57;30;I
62;33;O
64;50;O
65;34;O
67;34;O
74;45;O
77;45;O
79;48;I
81;40;O
92;50;I
95;69;O
100;50;O
105;54;O
117;61;O
119;13;O
121;80;O
122;28;I
149;34;I
153;29;I
165;35;I
172;37;I
187;33;O
195;19;I
202;9;O
228;34;I
229;47;O
234;49;I
236;40;O
275;42;I
279;34;I
280;70;O
282;47;I
285;17;O
295;24;I
302;47;O
312;25;O
319;36;O
320;68;O
320;68;O
326;56;O
328;64;O
334;40;I
341;57;O
342;63;I
353;69;O
367;28;O
390;35;I
395;64;O
409;43;I
416;63;I
421;28;I
431;26;I
433;65;O
434;48;I
437;73;I
445;51;O
449;50;O
458;20;O
463;41;O
465;64;O
468;32;O
505;41;I
509;63;O
510;27;O
512;21;I
516;51;O
518;42;O
523;49;O
531;34;I
539;41;I
540;44;I
543;32;I
559;71;O
560;45;O
573;58;I
574;54;O
599;55;O
