#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;66.46;0.18;PP/0,TA/0,IS/0.01,PS/0,RB/0.01,OB/0.08,RP/0
59.89;75.7;0.97;PP/0.43,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.08,RP/0
119.99;110.09;6.65;PP/0.71,TA/5.21,IS/0.03,PS/5.13,RB/0.01,OB/0.27,RP/0
179.99;113.3;9.81;PP/0.84,TA/7.86,IS/0.05,PS/7.76,RB/0.01,OB/0.55,RP/0
240;124.36;15.35;PP/1.17,TA/12.74,IS/0.07,PS/12.61,RB/0.01,OB/0.74,RP/0
299.98;119.28;16.69;PP/1.49,TA/13.52,IS/0.07,PS/13.38,RB/0.01,OB/0.84,RP/0
359.7;119.41;17.74;PP/1.69,TA/14.08,IS/0.09,PS/13.93,RB/0.01,OB/1.05,RP/0
419.93;119.11;19.15;PP/1.95,TA/14.91,IS/0.11,PS/14.73,RB/0.01,OB/1.26,RP/0
479.99;126.14;20.64;PP/2.42,TA/15.64,IS/0.12,PS/15.45,RB/0.01,OB/1.43,RP/0
539.71;125.11;21.66;PP/2.78,TA/16.04,IS/0.14,PS/15.83,RB/0.01,OB/1.59,RP/0
599.77;126.22;22.61;PP/2.99,TA/16.46,IS/0.15,PS/16.24,RB/0.01,OB/1.8,RP/0
