#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
52.32;44;598;4;52.32;52.28
54.74;2;679;1;54.74;54.7
60.65;18;1029;2;60.65;60.6
62.37;44;598;4;62.37;62.32
64.78;2;679;1;64.78;64.73
67.98;41;1188;3;67.98;67.93
70.69;18;1029;2;70.69;70.65
72.41;44;598;4;72.41;72.37
74.78;2;679;1;74.78;74.74
76.08;38;60;0;76.08;76.03
78.02;41;1188;3;78.02;77.98
80.74;18;1029;2;80.74;80.69
82.45;34;725;5;82.45;82.41
84.83;2;679;1;84.83;84.78
86.08;38;60;0;86.08;86.03
87.38;21;267;4;87.38;87.33
88.07;41;1188;3;88.07;88.02
90.78;18;1029;2;90.78;90.74
92.48;34;725;5;92.48;92.43
97.48;21;267;4;97.48;97.43
100;22;611;1;100;99.96
101.09;10;488;0;101.09;101.04
102.52;34;725;5;102.52;102.48
103.59;23;535;3;103.59;103.54
105;4;943;2;105;104.96
107.5;21;267;4;107.5;107.45
110.07;22;611;1;110.07;110.02
111.13;10;488;0;111.13;111.09
113.67;23;535;3;113.67;113.62
115.28;4;943;2;115.28;115.24
117.31;15;1023;5;117.31;117.27
120.11;22;611;1;120.11;120.07
121.18;10;488;0;121.18;121.13
123.71;23;535;3;123.71;123.67
125.33;4;943;2;125.33;125.28
127.35;15;1023;5;127.35;127.31
134.55;6;779;1;134.55;134.5
135.33;4;943;2;135.33;135.29
135.97;36;1158;0;135.97;135.93
137.4;15;1023;5;137.4;137.35
144.59;6;779;1;144.59;144.55
145.97;36;1158;0;145.97;145.93
147.44;15;1023;5;147.44;147.4
149.66;18;322;2;149.66;149.62
154.64;6;779;1;154.64;154.59
155.99;36;1158;0;155.99;155.94
159.67;18;322;2;159.67;159.62
162.25;0;334;5;162.25;162.2
164.67;6;779;1;164.67;164.62
169.71;18;322;2;169.71;169.67
171.24;38;246;0;171.19;170.35
172.31;0;334;5;172.31;172.27
181.28;38;246;0;181.24;180.4
182.32;0;334;5;182.32;182.27
186.47;2;125;1;186.47;186.43
188.97;44;1061;4;188.92;188.08
192.36;0;334;5;192.36;192.32
196.49;2;125;1;196.49;196.45
199.01;44;1061;4;198.97;198.13
207.16;34;54;5;207.16;207.11
209.02;44;1061;4;208.97;208.13
210.52;23;50;3;210.52;210.47
210.87;22;140;1;210.83;209.99
212.39;4;910;2;212.39;212.35
217.29;34;54;5;217.29;217.24
220.56;23;50;3;220.56;220.52
220.92;22;140;1;220.87;220.03
222.47;4;910;2;222.47;222.43
224.08;21;718;4;224.04;126.56
228.55;10;398;0;228.5;227.66
232.48;4;910;2;232.48;232.44
234.12;21;718;4;234.12;136.6
236.29;41;867;3;236.25;122.58
238.59;10;398;0;238.55;237.71
244.14;21;718;4;244.1;146.62
246.38;41;867;3;246.38;132.67
247.43;18;1059;2;247.43;247.38
253.44;36;289;0;253.4;82.16
256.43;41;867;3;256.43;142.71
257.56;18;1059;2;257.56;257.52
263.47;36;289;0;263.43;92.19
266.45;41;867;3;266.4;152.73
267.59;18;1059;2;267.59;267.55
278.61;38;439;0;278.61;278.56
278.61;15;81;5;278.56;141.16
288.61;38;439;0;288.61;288.56
288.61;15;81;5;288.56;151.16
303.02;0;294;5;302.98;110.62
307.49;4;1152;2;307.49;307.45
312.73;44;76;4;312.69;311.85
313.2;0;294;5;313.16;120.8
314.07;6;47;1;314.03;127.56
315.93;23;135;3;315.05;95.32
317.6;4;1152;2;317.6;317.56
322.74;44;76;4;322.69;321.85
323.23;0;294;5;323.19;130.83
324.24;6;47;1;324.19;137.72
325.98;23;135;3;325.1;105.38
327.65;4;1152;2;327.65;327.6
338.5;34;241;5;338.5;338.46
339.38;22;277;1;339.38;339.33
341.36;41;148;3;341.36;341.31
342.79;10;499;0;342.74;341.9
348.55;34;241;5;348.55;348.5
349.5;22;277;1;349.5;349.46
351.68;41;148;3;351.68;351.63
352.79;10;499;0;352.75;351.91
353.46;21;325;4;353.42;352.58
363.55;21;325;4;363.51;362.67
363.6;2;14;1;362.71;142.63
363.6;15;321;5;363.6;363.55
368.96;36;566;0;368.96;368.92
373.89;2;14;1;373.01;152.93
373.89;15;321;5;373.89;373.85
379;36;566;0;379;378.96
383.77;18;8;2;383.77;383.72
393.08;0;478;5;393.04;392.2
393.8;18;8;2;393.8;393.76
394.43;38;741;0;394.43;394.38
395.14;23;203;3;395.14;395.1
403.09;0;478;5;403.04;402.2
404.47;38;741;0;404.47;404.43
405.4;23;203;3;405.4;405.35
417.59;4;310;2;416.71;205.12
421.42;44;489;4;421.42;421.37
424.01;41;225;3;424.01;423.97
426.49;6;390;1;426.49;426.44
427.64;4;310;2;426.75;215.16
431.46;44;489;4;431.46;431.42
434.05;41;225;3;434.05;434.01
436.5;6;390;1;436.5;436.46
451.92;2;626;1;451.92;451.87
458.66;36;835;0;458.66;458.62
461.93;2;626;1;461.93;461.88
468.68;36;835;0;468.68;468.63
473.44;15;613;5;473.4;264.38
475.73;18;521;2;475.73;475.68
483.52;15;613;5;483.48;274.46
483.76;10;528;0;291.36;104.71
485.88;18;521;2;485.88;485.83
491.78;22;1104;1;282.72;112.73
493.8;10;528;0;358.43;114.75
496.01;21;570;4;324.73;132.42
498.76;0;692;5;498.76;498.72
501.82;22;1104;1;292.76;122.78
506.06;21;570;4;392.35;142.46
508.8;38;991;0;507.92;255.3
508.8;0;692;5;508.8;508.76
511.9;23;79;3;287.78;106.46
518.83;38;991;0;517.95;265.33
520.05;6;498;1;310.99;83.51
521.97;23;79;3;521.97;116.52
522.31;44;484;4;254.67;85.76
523.39;34;1191;5;314.33;144.34
530.09;6;498;1;358.81;93.54
532.36;44;484;4;532.32;95.81
533.42;34;1191;5;377.39;154.38
537.91;41;374;3;537.91;537.87
547.05;2;668;1;547.05;547
547.96;41;374;3;547.96;547.91
551.52;15;462;5;227.24;42.68
557.09;2;668;1;557.09;557.05
561.76;15;462;5;304.15;52.91
562.78;4;164;2;236.75;104.07
572.91;4;164;2;246.88;114.2
581.35;36;275;0;581.35;122.64
591.44;36;275;0;591.44;132.73
592.5;23;471;3;592.5;592.45
601.48;36;275;0;322.83;142.78
602.54;23;471;3;602.54;602.5
607.6;44;760;4;607.56;606.72
617.08;18;573;2;617.03;481.71
617.63;44;760;4;617.59;616.75
627.1;18;573;2;627.05;491.72
628.78;10;63;0;406.26;234.31
632.95;34;784;5;632.95;632.91
636.97;6;1076;1;636.93;106.84
643;34;784;5;643;642.95
645.44;4;797;2;645.44;645.4
647.01;6;1076;1;241.57;116.88
655.49;4;797;2;655.49;655.45
658.63;15;850;5;658.63;658.58
662.16;2;794;1;662.11;548.44
668.05;21;60;4;304.46;171.99
668.86;15;850;5;668.86;668.82
672.4;2;794;1;672.36;558.69
673.18;41;430;3;236.63;135.22
678.31;21;60;4;314.71;182.25
679.18;38;853;0;220.47;131.17
683.35;41;430;3;174.5;145.39
683.83;0;574;5;345.29;200.26
686.92;22;686;1;686.87;686.03
689.26;38;853;0;230.55;141.26
693.92;0;574;5;380.67;210.35
