#TimeStamp;Runtime;Requests
0.88;0.16;45
1.88;0.04;4
2.88;0.03;2
3.97;0.02;2
5.01;0.03;2
6.05;0.01;1
7.06;0.02;1
10.3;0.01;1
11.35;0.01;2
12.6;0.01;1
13.64;0.01;3
14.68;0.01;1
15.68;0.02;4
16.71;0.02;2
18.01;0.02;2
19.02;0.02;3
20.02;0.02;3
21.06;0.02;3
22.22;0.02;2
23.22;0.01;2
24.23;0.01;2
25.29;0.01;1
26.42;0.01;2
27.56;0.01;3
28.59;0.01;3
29.59;0.01;2
30.6;0.01;1
31.65;0.02;12
32.65;0.02;4
33.71;0.01;2
34.74;0.01;1
35.82;0.02;3
36.82;0.01;1
37.86;0.01;2
38.87;0.02;2
39.87;0.02;2
40.95;0.03;4
41.96;0.02;1
43.02;0.02;1
44.07;0.02;1
45.28;0.02;1
46.31;0.02;4
47.33;0.02;2
48.36;0.01;2
49.4;0.01;2
50.4;0.02;1
51.44;0.02;1
52.47;0.02;2
53.52;0.02;2
54.52;0.01;1
55.52;0.02;1
56.59;0.02;1
57.62;0.02;2
58.65;0.02;1
59.69;0.01;2
60.69;0.01;1
61.72;0.01;1
62.72;0.01;3
63.74;0.01;1
64.78;0.01;1
70.85;0.01;1
71.87;0.01;2
72.9;0.01;1
73.9;0.01;1
74.93;0.01;1
78.7;0.01;1
82.62;0.01;1
95.38;0;1
96.39;0.01;2
97.43;0.01;1
98.45;0;1
101.04;0;1
108.71;0.01;1
111.5;0;1
112.7;0.01;1
115.45;0.01;1
116.52;0;1
117.55;0.01;1
118.59;0.01;2
122.9;0.01;1
127.68;0.01;1
128.69;0.01;3
130.37;0.01;1
131.59;0.01;1
133.07;0.01;1
134.32;0.01;2
135.33;0.01;2
136.39;0.01;1
137.4;0.01;1
139.41;0.01;1
141.09;0.02;1
142.1;0.01;1
143.95;0.02;1
145.5;0.01;1
146.57;0.01;1
147.96;0.02;1
148.99;0.01;1
150.02;0.01;1
151.02;0.02;3
152.02;0.02;1
153.06;0.02;1
154.11;0.03;3
155.15;0.02;2
156.17;0.02;1
157.21;0.02;1
158.23;0.02;1
159.24;0.02;1
160.34;0.02;1
162.54;0.03;1
164.04;0.03;1
165.07;0.03;1
166.08;0.04;3
167.09;0.04;2
170.14;0.03;1
171.19;0.03;1
172.31;0.03;1
173.35;0.03;1
174.65;0.03;1
175.75;0.03;1
176.96;0.04;1
177.96;0.03;1
179.89;0.03;1
182.23;0.02;1
183.25;0.02;2
184.28;0.03;1
185.3;0.04;2
186.34;0.03;1
190.63;0.03;1
191.73;0.02;1
193.67;0.02;1
194.87;0.02;2
195.94;0.03;1
196.98;0.02;1
198.02;0.01;2
199.05;0.01;1
201.13;0.01;1
202.14;0.01;1
203.17;0.01;2
206.74;0.01;1
209.72;0.01;1
210.74;0.01;2
211.93;0.02;1
213.66;0.01;1
216.02;0.01;1
217.04;0.01;2
218.91;0.01;1
220;0.02;3
221.02;0.01;1
222.63;0.02;1
227.3;0.02;1
228.33;0.02;2
229.35;0.02;1
230.39;0.03;2
231.66;0.02;2
232.66;0.02;1
233.71;0.02;1
235.48;0.02;1
236.52;0.02;2
240.21;0.02;1
241.23;0.02;1
242.48;0.01;1
243.52;0.01;2
244.52;0.02;1
245.56;0.02;1
246.6;0.01;1
248.86;0.01;1
250.26;0.01;1
251.28;0.01;1
252.52;0.01;1
253.55;0.02;1
254.63;0.01;3
256.05;0.01;1
257.08;0.01;1
258.09;0.01;2
259.1;0.01;1
260.12;0.01;1
261.12;0.01;1
262.16;0.01;2
263.16;0.03;2
264.18;0.01;1
265.21;0.01;1
266.59;0.02;1
267.59;0.02;2
268.6;0.01;1
271.27;0.01;1
272.31;0.01;2
273.4;0.02;2
274.52;0.02;2
275.56;0.02;2
276.57;0.02;2
277.61;0.01;2
278.65;0.02;4
279.69;0.02;1
280.7;0.02;1
281.74;0.03;4
282.79;0.02;1
283.8;0.02;2
285;0.02;2
286.02;0.02;1
287.04;0.02;2
288.07;0.01;2
289.15;0.02;2
290.15;0.02;1
291.19;0.02;1
292.22;0.02;2
294.9;0.01;1
295.94;0.02;2
296.97;0.04;2
297.99;0.01;1
299.01;0.02;4
300.04;0.02;2
301.19;0.02;2
304.37;0.02;1
306.44;0.02;1
307.45;0.02;2
308.48;0.02;1
309.65;0.02;1
310.65;0.02;1
311.66;0.02;1
312.69;0.02;2
314.24;0.03;1
315.28;0.03;3
316.83;0.02;1
317.85;0.04;2
318.89;0.04;3
322.69;0.03;1
323.83;0.03;1
325.04;0.03;1
326.37;0.04;2
328.32;0.03;1
329.34;0.03;1
330.36;0.03;1
332.12;0.03;1
333.22;0.04;1
334.28;0.04;1
335.34;0.03;1
336.48;0.03;1
337.83;0.02;1
338.89;0.03;1
340.92;0.03;1
344.04;0.03;1
345.33;0.02;1
348.44;0.02;1
349.5;0.04;2
350.5;0.03;1
353.96;0.02;1
355.71;0.01;1
356.73;0.01;1
357.75;0.01;2
358.76;0.01;1
359.8;0.01;3
360.86;0.01;1
361.87;0.01;2
362.88;0.01;1
363.92;0.01;1
366.92;0;1
367.97;0;2
369;0.01;1
370.01;0.01;1
373.93;0.01;1
374.97;0.01;2
376.08;0.01;1
377.12;0.01;1
378.19;0.01;1
379.21;0.01;2
380.21;0.02;1
381.24;0.01;1
382.24;0.03;4
383.26;0.02;2
384.3;0.02;2
385.43;0.02;1
388.84;0.01;1
389.88;0.01;1
392.73;0.01;1
393.76;0.03;2
395.95;0.01;1
397.05;0.01;1
398.07;0.01;1
399.14;0.02;3
401.72;0.02;1
403.59;0.02;1
404.88;0.02;1
405.91;0.02;1
406.93;0.02;1
409.47;0.01;1
410.68;0.01;1
411.71;0.01;2
412.92;0.02;3
413.95;0.01;3
414.97;0.01;1
416.07;0.01;1
417.13;0.01;1
418.15;0.01;1
420.92;0.01;1
421.92;0.01;3
422.92;0.01;2
423.97;0.01;2
425.01;0.01;4
426.05;0.03;3
427.07;0.01;1
428.11;0.01;2
429.79;0.01;1
430.83;0.01;2
432.02;0.02;1
433.17;0.01;1
434.18;0.01;2
435.18;0.01;2
437.42;0.02;1
438.54;0.01;2
439.58;0.02;1
440.59;0.01;1
441.61;0.02;2
442.64;0.02;3
443.72;0.02;4
444.74;0.02;3
446.65;0.01;1
448.46;0.02;1
451.18;0.02;1
452.18;0.02;1
455.84;0.01;1
456.87;0.02;1
457.89;0.02;1
458.92;0.03;1
460.4;0.02;1
461.43;0.02;1
462.52;0.03;3
465.23;0.03;1
466.27;0.03;3
467.32;0.03;1
468.48;0.02;1
469.49;0.02;1
470.85;0.02;1
472.24;0.02;1
474.14;0.02;1
475.25;0.02;1
476.45;0.01;1
477.45;0.02;1
478.97;0.02;1
482.55;0.01;1
483.57;0.01;2
484.84;0.02;1
486.86;0.02;1
487.89;0.02;1
488.91;0.02;1
490.09;0.02;1
491.14;0.01;1
492.56;0.01;1
493.57;0.02;2
494.69;0.01;1
496.06;0.01;1
497.1;0.01;2
498.14;0.02;2
499.46;0.01;2
500.8;0.02;1
502.02;0.02;1
504.07;0.02;1
505.09;0.01;1
506.1;0.02;2
507.1;0.01;2
508.1;0.02;2
511.06;0.02;1
512.1;0.03;2
513.15;0.03;1
514.15;0.03;1
515.17;0.02;2
516.19;0.02;1
517.2;0.02;3
518.21;0.02;1
519.29;0.02;2
520.36;0.02;3
521.4;0.02;1
522.49;0.02;1
523.52;0.02;1
524.57;0.03;2
525.57;0.03;1
526.57;0.03;2
527.61;0.03;2
529.04;0.02;1
530.05;0.03;1
532.04;0.02;1
533.2;0.02;3
534.35;0.03;3
536.79;0.03;1
537.87;0.03;1
538.91;0.02;2
540.27;0.02;1
541.88;0.03;1
542.88;0.02;2
543.93;0.02;2
544.96;0.02;1
546;0.02;1
547.05;0.03;3
549;0.02;1
550.68;0.02;1
551.76;0.02;1
552.89;0.02;1
553.89;0.02;2
555.8;0.02;1
557.24;0.02;1
558.3;0.02;4
559.55;0.02;2
560.56;0.02;1
561.89;0.01;1
562.91;0.01;1
563.95;0.01;2
564.96;0.02;3
566.51;0.01;1
567.52;0.02;3
568.56;0.01;2
569.6;0.02;1
570.91;0.07;2
572.05;0.02;1
573.1;0.02;2
576.84;0.02;1
578;0.03;3
579.72;0.02;1
581.35;0.02;1
582.37;0.02;2
583.37;0.02;2
584.77;0.02;1
585.82;0.03;2
586.85;0.02;2
588.47;0.29;1
589.5;0.27;2
590.51;0.04;2
591.52;0.02;1
592.54;0.02;1
593.54;0.02;2
594.58;0.03;3
595.62;0.03;2
596.66;0.03;2
597.91;0.02;1
598.93;0.03;4
599.96;0.03;1
600.97;0.02;1
602.35;0.02;1
605.6;0.03;2
606.61;0.02;1
607.65;0.02;1
608.78;0.03;1
609.81;0.03;1
611.85;0.03;1
612.87;0.02;3
613.96;0.02;3
615;0.01;2
616.03;0.02;2
617.08;0.02;2
618.11;0.05;3
619.11;0.03;2
620.14;0.02;1
621.14;0.02;2
622.18;0.02;1
623.86;0.02;1
624.92;0.02;1
625.93;0.03;4
626.96;0.03;3
628;0.03;2
629.01;0.02;1
630.03;0.03;1
632.91;0.03;1
634.41;0.03;1
635.9;0.02;1
636.93;0.02;1
637.95;0.02;1
639.07;0.02;1
642.73;0.02;1
644.33;0.02;1
648.14;0.02;1
651.78;0.02;1
653.02;0.01;1
654.06;0.02;2
656.06;0.01;1
657.06;0.01;1
658.3;0.01;2
659.49;0.01;1
660.85;0.01;1
665.24;0.01;1
666.31;0;1
667.6;0.01;1
668.91;0;1
669.92;0.01;1
671.04;0.01;2
672.05;0.01;1
678.21;0.02;1
679.26;0.01;2
680.5;0.03;1
681.5;0.01;1
682.72;0.01;1
684.33;0.01;1
685.36;0.02;2
686.53;0.01;1
688.48;0.01;1
689.53;0.01;1
690.54;0.02;2
693.16;0.01;1
694.16;0.02;2
698.12;0.01;1
699.16;0.01;1
700.18;0.01;1
701.21;0.01;2
702.22;0.01;2
703.25;0.01;1
704.3;0.01;1
706.3;0.01;1
707.37;0.01;2
708.76;0.01;1
709.96;0.02;2
711.11;0.02;2
712.11;0.02;3
713.62;0.02;1
715.71;0.03;1
716.74;0.02;2
717.74;0.02;1
718.74;0.02;2
719.87;0.02;1
720.9;0.12;2
721.91;0.01;1
722.92;0.02;1
724.06;0.02;1
725.49;0.02;1
726.67;0.01;1
727.78;0.01;1
728.79;0.02;2
729.8;0.01;2
730.87;0.01;1
731.93;0.02;1
732.96;0.02;2
733.97;0.02;1
735.01;0.02;1
736.09;0.02;1
737.1;0.03;2
742.19;0.02;1
743.23;0.02;3
744.41;0.02;1
746.07;0.02;1
748.11;0.04;1
750.31;0.02;2
751.33;0.02;2
752.35;0.02;2
753.36;0.02;1
755.72;0.01;1
756.86;0.02;3
758.15;0.02;1
759.17;0.02;1
760.27;0.02;1
761.53;0.02;1
763.38;0.01;1
765.81;0.02;1
767.45;0.02;1
769.28;0.02;1
770.3;0.01;1
771.44;0.02;1
772.81;0.02;1
773.99;0.02;2
774.99;0.02;3
776;0.02;2
777.02;0.03;4
782.95;0.01;1
783.96;0.02;2
785.09;0.03;1
786.22;0.02;1
787.24;0.02;2
788.25;0.02;2
789.29;0.03;3
790.39;0.02;1
791.44;0.02;1
797.19;0.02;1
800.99;0.02;1
802.01;0.02;2
803.3;0.05;2
804.41;0.03;2
805.62;0.03;2
806.7;0.03;1
807.71;0.03;3
808.74;0.02;1
809.79;0.02;1
810.9;0.02;1
814.54;0.02;1
815.72;0.02;2
816.83;0.02;1
818.38;0.02;1
819.42;0.02;1
820.45;0.02;3
821.47;0.02;2
822.5;0.01;1
823.58;0.01;1
824.63;0.02;1
826.89;0.02;1
827.93;0.01;1
829.09;0.02;2
830.12;0.01;1
831.3;0.02;2
833.35;0.02;1
834.49;0.03;5
835.58;0.02;2
836.66;0.02;2
837.68;0.02;1
839.33;0.02;1
840.46;0.02;1
841.49;0.03;1
843.22;0.02;1
844.28;0.02;1
845.37;0.02;2
846.62;0.02;2
847.68;0.02;2
848.72;0.02;1
849.72;0.02;2
850.74;0.03;2
851.75;0.02;2
852.77;0.01;1
853.84;0.01;2
854.87;0.02;1
856.12;0.02;1
857.12;0.03;2
858.9;0.03;1
860;0.03;2
861.19;0.03;1
862.2;0.03;4
864.58;0.02;1
865.89;0.02;1
866.9;0.03;2
867.91;0.03;2
870.44;0.02;1
871.52;0.02;1
872.54;0.02;1
873.55;0.02;2
879.12;0.01;1
880.2;0.01;1
882.23;0.01;1
883.23;0.01;1
884.27;0.01;2
885.31;0.02;3
886.52;0.02;1
887.63;0.03;3
889.93;0.03;1
892.3;0.03;1
893.53;0.02;4
895.66;0.02;1
896.68;0.03;2
897.7;0.02;1
898.76;0.02;1
899.81;0.03;3
901.91;0.03;1
903.13;0.03;1
904.13;0.02;1
906.34;0.02;1
909.03;0.02;1
910.12;0.02;1
911.52;0.01;1
912.75;0.02;2
915.1;0.01;1
916.2;0.01;1
919.25;0.01;1
920.27;0.01;1
921.27;0.01;4
922.27;0.01;1
923.57;0.01;1
924.72;0.02;1
925.84;0.02;2
927.09;0.02;1
928.11;0.02;4
929.11;0.02;3
930.11;0.02;4
931.15;0.01;2
932.18;0.01;1
933.2;0.01;2
934.23;0.02;1
935.23;0.02;4
936.47;0.02;4
937.75;0.02;1
940.02;0.02;1
942.87;0.01;1
944.03;0.02;1
945.06;0.01;1
946.09;0.03;4
947.16;0.02;1
948.36;0.03;1
949.36;0.02;2
957.71;0.01;1
958.71;0.02;3
959.74;0.03;1
960.75;0.03;3
961.77;0.02;1
965.21;0.18;1
966.28;0.03;1
967.32;0.03;4
969.02;0.02;1
970.19;0.03;2
971.19;0.02;3
972.77;0.02;1
973.81;0.02;1
976.46;0.01;2
979.81;0.01;1
980.81;0.01;1
981.85;0.02;1
988.3;0.01;1
989.33;0.02;4
990.34;0.01;2
991.34;0.01;3
992.36;0.01;1
993.39;0.01;1
994.39;0.01;1
995.41;0.01;1
997.09;0.01;1
998.1;0.01;1
999.1;0.01;1
1000.26;0.01;4
1001.26;0.02;4
1002.36;0.01;1
1003.4;0.01;2
1004.93;0.01;1
1005.98;0.01;2
1007.23;0.01;1
1009.05;0.01;1
1014.35;0.01;1
1018.74;0.01;1
1019.74;0.02;4
1020.77;0.03;3
1021.95;0.02;3
1022.97;0.03;2
1024.04;0.03;1
1025.2;0.02;1
1026.23;0.02;1
1027.34;0.02;1
1029.04;0.02;1
1030.12;0.02;1
1031.14;0.03;4
1032.19;0.04;6
1033.21;0.04;2
1034.28;0.05;3
1035.75;0.04;1
1036.93;0.04;3
1038.04;0.04;1
1039.06;0.04;1
1041.69;0.02;1
1044.69;0.02;1
1046.52;0.02;1
1049.79;0.01;1
1050.79;0.02;4
1052.2;0.03;5
1053.39;0.02;1
1054.44;0.02;2
1055.54;0.02;1
1056.6;0.02;1
1057.93;0.02;1
1059.02;0.02;1
1060.17;0.02;1
1061.21;0.02;1
1062.22;0.02;2
1064.56;0.02;1
1065.66;0.02;1
1066.98;0.02;1
1068;0.01;3
1069.38;0.01;1
1070.5;0.01;1
1071.53;0.02;1
1072.6;0.01;1
1073.79;0.01;1
1074.79;0.02;1
1076.15;0.01;1
1078.12;0.01;1
1079.15;0.01;1
1080.21;0.01;3
1082.49;0.02;2
1083.53;0.02;3
1084.53;0.02;4
1085.53;0.01;1
1086.57;0.01;1
1087.62;0.03;2
1088.66;0.02;2
1089.67;0.02;3
1090.72;0.03;4
1091.76;0.02;4
1092.8;0.02;1
1093.84;0.02;2
1094.85;0.01;2
1095.89;0.01;1
1096.94;0.01;2
1097.97;0.01;1
1100.52;0.02;1
1101.56;0.02;2
1102.65;0.02;2
1103.65;0.01;1
1104.69;0.01;1
1105.69;0.01;1
1106.69;0.02;2
1107.74;0.02;1
1108.77;0.02;2
1109.78;0.02;3
1110.81;0.03;3
1111.81;0.02;1
1113.18;0.02;1
1115.31;0.02;1
1116.56;0.02;1
1117.76;0.02;1
1118.76;0.02;2
1119.77;0.03;2
1121.61;0.02;1
1122.63;0.02;2
1125.63;0.02;1
1126.65;0.02;1
1127.69;0.02;1
1128.72;0.03;1
1129.85;0.03;3
1130.9;0.02;1
1131.94;0.02;1
1132.96;0.02;2
1134.01;0.05;2
1135.04;0.03;2
1136.05;0.03;2
1137.09;0.02;2
1138.13;0.03;5
1139.15;0.02;1
1141.11;0.02;1
1142.15;0.02;1
1143.43;0.02;1
1144.56;0.02;1
1145.72;0.02;1
1148.01;0.02;1
1149.14;0.03;1
1150.37;0.03;2
1151.83;0.02;1
1153.05;0.02;1
1156.23;0.02;1
1159.25;0.02;2
1160.26;0.02;2
1161.69;0.03;1
1162.92;0.02;2
1164.13;0.03;2
1165.17;0.03;3
1166.18;0.02;2
1167.51;0.02;1
1168.56;0.01;1
1169.65;0.01;2
1170.67;0.01;1
1171.67;0.01;2
1172.71;0.02;3
1173.72;0.02;3
1174.76;0.01;1
1175.85;0.01;1
1177.84;0.01;1
1178.87;0.01;2
1180;0.01;1
1182.13;0;1
1183.13;0;1
1184.17;0;2
1185.17;0.01;2
1186.21;0.01;1
1187.26;0.01;2
1188.3;0.01;1
1189.3;0.02;3
1190.35;0.01;2
1191.39;0.01;2
1192.58;0.01;2
1194.59;0.01;1
1195.77;0.01;1
1196.81;0.03;2
1198.45;0.02;1
1199.48;0.01;1
1200.48;0.02;3
1201.69;0.01;1
1202.91;0.01;1
1203.91;0.02;2
1204.91;0.08;1
1206.08;0.02;1
1207.21;0.02;1
1208.21;0.02;1
1209.24;0.03;1
1210.25;0.01;1
1211.35;0.02;2
1212.37;0.01;1
1213.39;0.01;1
1215.14;0.01;1
1216.17;0.01;1
1217.19;0.01;1
1218.2;0.01;1
1219.26;0.01;2
1220.27;0.01;1
1221.32;0.01;3
1222.32;0.01;3
1223.34;0.01;3
1224.38;0.01;5
1225.41;0.02;6
1226.43;0.01;3
1227.47;0.01;3
1228.48;0.01;4
1229.48;0.01;3
1230.51;0.01;2
1231.52;0.01;2
1232.82;0.02;1
1233.89;0.03;3
1234.89;0.02;1
1235.94;0.03;3
1237.01;0.03;2
1238.14;0.02;3
1239.14;0.03;3
1240.64;0.02;1
1242.01;0.02;1
1243.17;0.03;2
1244.48;0.03;1
1245.67;0.02;1
1251.52;0.03;1
1252.73;0.03;2
1253.76;0.02;1
1254.77;0.03;3
1255.78;0.02;2
1256.82;0.03;2
1258.02;0.04;1
1259.03;0.02;1
1260.04;0.03;1
1261.07;0.03;1
1262.11;0.02;1
1263.11;0.03;1
1264.15;0.02;2
1265.15;0.03;2
1266.15;0.02;1
1267.18;0.03;3
1269.12;0.03;1
1270.21;0.02;3
1271.34;0.02;1
1272.41;0.03;2
1275.34;0.02;1
1276.34;0.03;1
1277.37;0.02;1
1278.41;0.02;2
1279.41;0.02;3
1280.46;0.02;4
1281.5;0.02;2
1282.54;0.02;1
1283.59;0.02;2
1284.61;0.02;1
1285.61;0.02;3
1286.65;0.02;1
1287.66;0.02;2
1289.51;0.01;1
1290.53;0.01;1
1291.61;0.01;2
1292.64;0.01;1
1294.22;0.02;1
1295.26;0.02;2
1296.28;0.02;2
1297.36;0.02;1
1298.36;0.02;3
1299.4;0.02;2
1300.61;0.02;2
1301.66;0.02;2
1302.68;0.02;4
1303.7;0.02;2
1305.03;0.02;2
1306.06;0.01;1
1307.07;0.02;3
1308.12;0.02;2
1309.16;0.02;2
1310.2;0.02;3
1311.2;0.02;3
1312.2;0.02;3
1313.25;0.02;3
1314.25;0.02;2
1315.26;0.02;4
1316.26;0.02;5
1317.27;0.03;3
1318.34;0.02;2
1320.23;0.02;1
1321.24;0.02;2
1322.27;0.03;3
1323.3;0.02;1
1324.38;0.03;1
1326.09;0.02;1
1327.17;0.02;2
1328.23;0.02;1
1329.27;0.03;1
1330.3;0.02;1
1332.2;0.03;1
1333.2;0.02;1
1334.21;0.03;3
1335.21;0.02;2
1336.25;0.02;1
1337.28;0.02;2
1340.81;0.02;1
1341.84;0.03;2
1343.13;0.02;2
1344.16;0.01;1
1345.19;0.02;1
1346.2;0.03;3
1347.89;0.01;1
1348.91;0.02;1
1350.1;0.02;1
1351.14;0.01;1
1352.49;0.02;1
1353.59;0.02;2
1355.41;0.01;1
1357.83;0.01;1
1358.96;0.01;1
1360.22;0.01;1
1361.39;0.01;2
1363.1;0.01;1
1364.14;0.01;1
1365.18;0.02;2
1366.43;0.01;1
1367.44;0.02;2
1368.59;0.01;1
1369.62;0.02;1
1370.63;0.01;1
1371.67;0.02;2
1372.68;0.02;1
1373.72;0.02;3
1374.75;0.02;1
1376.74;0.02;1
1377.75;0.02;1
1378.92;0.03;1
1382.27;0.02;1
1383.77;0.03;1
1386.46;0.02;1
1388.2;0.01;1
1391.31;0.01;1
1392.37;0.01;1
1393.5;0.01;1
1394.58;0.02;5
1396;0.01;2
1397.5;0.01;1
1398.61;0.01;2
1399.64;0.01;1
1400.67;0.01;1
1401.7;0.02;3
1402.71;0.01;1
1403.71;0.01;3
1404.71;0.02;4
1405.76;0.02;3
1406.99;0.01;1
1408.35;0.01;1
1409.5;0.01;1
1410.55;0.01;1
1415.24;0.03;1
1417.04;0.01;1
1418.31;0.02;1
1419.88;0.02;1
1420.98;0.02;1
1422.5;0.02;1
1423.79;0.03;2
1425.46;0.03;2
1426.56;0.02;1
1427.59;0.02;2
1428.93;0.02;1
1430.22;0.02;1
1431.27;0.03;2
1432.31;0.03;2
1433.31;0.02;1
1434.53;0.02;2
1435.63;0.02;1
1436.75;0.02;1
1437.76;0.02;2
1438.77;0.02;1
1440.64;0.02;1
1442.33;0.02;1
1444.73;0.01;1
