policy,bots,seed,Items,Lines,Orders,Pile-on,Trips,Trips/Order (slide's 'm/line'),m/Line (slide's 'Pod/order'),EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
M1G,6b,0,1224,788,578,3.26554,177,0.306228,14.6967,1.64243,321.467,15.0577
M1G,6b,1,1263,813,564,3.27907,172,0.304965,14.4908,1.70702,341.867,12.412
M1G,6b,2,1244,833,587,3.24309,181,0.308348,15.0876,1.74392,340.622,13.6235
M1G,6b,3,1239,808,576,3.27273,176,0.305556,14.6897,1.69337,338.311,13.9852
M1G,6b,4,1222,787,569,3.21469,177,0.311072,14.9624,1.69356,322.044,15.1802
M4G-NS,6b,0,1225,800,583,3.25698,179,0.307033,14.217,1.61094,420.844,14.9704
M4G-NS,6b,1,1125,725,494,2.94048,168,0.340081,14.8984,1.79645,439.289,21.8994
M4G-NS,6b,2,1147,763,530,2.91209,182,0.343396,15.6617,1.85446,415.911,20.3472
M4G-NS,6b,3,1083,700,488,2.95758,165,0.338115,15.7969,1.87866,470.8,24.8037
M4G-NS,6b,4,1145,743,523,3.09467,169,0.323136,14.9049,1.72567,416.089,20.5429
M1G,10b,0,1421,912,656,2.98182,220,0.335366,16.9958,1.94116,352.844,1.38302
M1G,10b,1,1428,907,629,3.08333,204,0.324324,16.5259,1.96597,406.178,0.912037
M1G,10b,2,1415,945,655,3.07512,213,0.325191,16.5395,1.9823,382.267,1.81358
M1G,10b,3,1411,910,632,2.96714,213,0.337025,16.9663,2.01632,383.822,2.07809
M1G,10b,4,1419,922,648,3,216,0.333333,16.6123,1.96167,401.156,1.48086
M4G-NS,10b,0,1403,896,639,3.4918,183,0.286385,14.5681,1.69991,427.244,2.63673
M4G-NS,10b,1,1401,906,617,3.06965,201,0.32577,15.7556,1.89076,464.4,2.76235
M4G-NS,10b,2,1415,944,648,3.35751,193,0.29784,14.5928,1.76154,439.511,1.74753
M4G-NS,10b,3,1416,911,628,3.34043,188,0.299363,14.8735,1.78445,451.156,1.74352
M4G-NS,10b,4,1422,929,643,3.04739,211,0.328149,15.6124,1.86887,425.333,1.28673
