policy,bots,seed,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
M1G,6b,0,1224,788,578,3.26554,177,0.306228,14.6967,1.64243,321.467,15.0577
M1G,6b,1,1263,813,564,3.27907,172,0.304965,14.4908,1.70702,341.867,12.412
M1G,6b,2,1244,833,587,3.24309,181,0.308348,15.0876,1.74392,340.622,13.6235
M1G,6b,3,1239,808,576,3.27273,176,0.305556,14.6897,1.69337,338.311,13.9852
M1G,6b,4,1222,787,569,3.21469,177,0.311072,14.9624,1.69356,322.044,15.1802
M1G,6b,5,1280,820,585,3.36207,174,0.297436,15.2645,1.72494,321.289,11.1373
M1G,6b,6,1196,773,542,3.15116,172,0.317343,15.2932,1.75458,314.444,16.9691
M1G,6b,7,1275,840,603,3.38764,178,0.295191,14.5179,1.62457,312.133,11.5154
M1G,6b,8,1251,820,585,3.26816,179,0.305983,14.557,1.65428,304.044,13.1948
M1G,6b,9,1229,787,560,3.16384,177,0.316071,15.0368,1.71954,328.667,14.6981
M4G-NS,6b,0,1225,800,583,3.25698,179,0.307033,14.217,1.61094,420.844,14.9704
M4G-NS,6b,1,1133,725,496,2.85057,174,0.350806,15.0676,1.80904,426.133,21.3917
M4G-NS,6b,2,1147,763,530,2.91209,182,0.343396,15.6617,1.85446,415.911,20.3472
M4G-NS,6b,3,1083,700,488,2.95758,165,0.338115,15.7969,1.87866,470.8,24.8037
M4G-NS,6b,4,1145,743,523,3.09467,169,0.323136,14.9049,1.72567,416.089,20.5429
M4G-NS,6b,5,1168,757,526,3.07602,171,0.325095,14.6592,1.72997,471.644,18.9552
M4G-NS,6b,6,1143,741,513,3.24684,158,0.307992,14.334,1.69997,483.333,20.7185
M4G-NS,6b,7,1215,803,568,3.34118,170,0.299296,13.5112,1.55563,392.844,15.6762
M4G-NS,6b,8,1109,725,497,2.99398,166,0.334004,15.3214,1.84449,435.022,23.0127
M4G-NS,6b,9,1105,724,508,3.09756,164,0.322835,14.8992,1.74762,421.956,23.2855
M1G,10b,0,1421,912,656,2.98182,220,0.335366,16.9958,1.94116,352.844,1.38302
M1G,10b,1,1428,907,629,3.08333,204,0.324324,16.5259,1.96597,406.178,0.912037
M1G,10b,2,1415,945,655,3.07512,213,0.325191,16.5395,1.9823,382.267,1.81358
M1G,10b,3,1411,910,632,2.96714,213,0.337025,16.9663,2.01632,383.822,2.07809
M1G,10b,4,1419,922,648,3,216,0.333333,16.6123,1.96167,401.156,1.48086
M1G,10b,5,1373,883,620,2.80543,221,0.356452,18.2153,2.14106,381.511,4.76204
M1G,10b,6,1421,920,641,2.99533,214,0.333853,16.6316,1.97669,372.222,1.4179
M1G,10b,7,1423,936,656,3.09434,212,0.323171,16.2585,1.91841,340.533,1.26759
M1G,10b,8,1419,923,650,3.06604,212,0.326154,16.9252,1.96955,350.533,1.50309
M1G,10b,9,1426,921,640,3.1068,206,0.321875,16.0521,1.93104,364.978,1.02932
M4G-NS,10b,0,1403,896,639,3.4918,183,0.286385,14.5681,1.69991,427.244,2.63673
M4G-NS,10b,1,1401,906,617,3.06965,201,0.32577,15.7556,1.89076,464.4,2.76235
M4G-NS,10b,2,1415,944,648,3.35751,193,0.29784,14.5928,1.76154,439.511,1.74753
M4G-NS,10b,3,1416,911,628,3.34043,188,0.299363,14.8735,1.78445,451.156,1.74352
M4G-NS,10b,4,1422,929,643,3.04739,211,0.328149,15.6124,1.86887,425.333,1.28673
M4G-NS,10b,5,1396,906,624,3.0439,205,0.328526,15.607,1.87438,392.489,3.11296
M4G-NS,10b,6,1422,928,635,3.02381,210,0.330709,15.2337,1.832,433.556,1.31451
M4G-NS,10b,7,1420,936,652,3.36082,194,0.297546,14.263,1.69951,382.222,1.4429
M4G-NS,10b,8,1414,929,633,3.165,200,0.315956,14.8748,1.80522,470.844,1.84444
M4G-NS,10b,9,1403,905,626,3.17766,197,0.314696,15.2122,1.81871,400.844,2.64475
