Policy,Bots,Seed,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M1G,6,0,1224.0,788.0,578.0,3.266,177.0,0.3062,14.70,1.642,321.5,15.06
M1G,6,1,1263.0,813.0,564.0,3.279,172.0,0.3050,14.49,1.707,341.9,12.41
M1G,6,2,1244.0,833.0,587.0,3.243,181.0,0.3083,15.09,1.744,340.6,13.62
M1G,6,3,1239.0,808.0,576.0,3.273,176.0,0.3056,14.69,1.693,338.3,13.99
M1G,6,4,1222.0,787.0,569.0,3.215,177.0,0.3111,14.96,1.694,322.0,15.18
M1G,6,5,1280.0,820.0,585.0,3.362,174.0,0.2974,15.26,1.725,321.3,11.14
M1G,6,6,1196.0,773.0,542.0,3.151,172.0,0.3173,15.29,1.755,314.4,16.97
M1G,6,7,1275.0,840.0,603.0,3.388,178.0,0.2952,14.52,1.625,312.1,11.52
M1G,6,8,1251.0,820.0,585.0,3.268,179.0,0.3060,14.56,1.654,304.0,13.19
M1G,6,9,1229.0,787.0,560.0,3.164,177.0,0.3161,15.04,1.720,328.7,14.70
M4G-NS,6,0,1225.0,800.0,583.0,3.257,179.0,0.3070,14.22,1.611,420.8,14.97
M4G-NS,6,1,1133.0,725.0,496.0,2.851,174.0,0.3508,15.07,1.809,426.1,21.39
M4G-NS,6,2,1147.0,763.0,530.0,2.912,182.0,0.3434,15.66,1.854,415.9,20.35
M4G-NS,6,3,1083.0,700.0,488.0,2.958,165.0,0.3381,15.80,1.879,470.8,24.80
M4G-NS,6,4,1145.0,743.0,523.0,3.095,169.0,0.3231,14.90,1.726,416.1,20.54
M4G-NS,6,5,1168.0,757.0,526.0,3.076,171.0,0.3251,14.66,1.730,471.6,18.96
M4G-NS,6,6,1143.0,741.0,513.0,3.247,158.0,0.3080,14.33,1.700,483.3,20.72
M4G-NS,6,7,1215.0,803.0,568.0,3.341,170.0,0.2993,13.51,1.556,392.8,15.68
M4G-NS,6,8,1109.0,725.0,497.0,2.994,166.0,0.3340,15.32,1.844,435.0,23.01
M4G-NS,6,9,1105.0,724.0,508.0,3.098,164.0,0.3228,14.90,1.748,422.0,23.29
M1G,10,0,1421.0,912.0,656.0,2.982,220.0,0.3354,17.00,1.941,352.8,1.38
M1G,10,1,1428.0,907.0,629.0,3.083,204.0,0.3243,16.53,1.966,406.2,0.91
M1G,10,2,1415.0,945.0,655.0,3.075,213.0,0.3252,16.54,1.982,382.3,1.81
M1G,10,3,1411.0,910.0,632.0,2.967,213.0,0.3370,16.97,2.016,383.8,2.08
M1G,10,4,1419.0,922.0,648.0,3.000,216.0,0.3333,16.61,1.962,401.2,1.48
M1G,10,5,1373.0,883.0,620.0,2.805,221.0,0.3565,18.22,2.141,381.5,4.76
M1G,10,6,1421.0,920.0,641.0,2.995,214.0,0.3339,16.63,1.977,372.2,1.42
M1G,10,7,1423.0,936.0,656.0,3.094,212.0,0.3232,16.26,1.918,340.5,1.27
M1G,10,8,1419.0,923.0,650.0,3.066,212.0,0.3262,16.93,1.970,350.5,1.50
M1G,10,9,1426.0,921.0,640.0,3.107,206.0,0.3219,16.05,1.931,365.0,1.03
M4G-NS,10,0,1403.0,896.0,639.0,3.492,183.0,0.2864,14.57,1.700,427.2,2.64
M4G-NS,10,1,1401.0,906.0,617.0,3.070,201.0,0.3258,15.76,1.891,464.4,2.76
M4G-NS,10,2,1415.0,944.0,648.0,3.358,193.0,0.2978,14.59,1.762,439.5,1.75
M4G-NS,10,3,1416.0,911.0,628.0,3.340,188.0,0.2994,14.87,1.784,451.2,1.74
M4G-NS,10,4,1422.0,929.0,643.0,3.047,211.0,0.3281,15.61,1.869,425.3,1.29
M4G-NS,10,5,1396.0,906.0,624.0,3.044,205.0,0.3285,15.61,1.874,392.5,3.11
M4G-NS,10,6,1422.0,928.0,635.0,3.024,210.0,0.3307,15.23,1.832,433.6,1.31
M4G-NS,10,7,1420.0,936.0,652.0,3.361,194.0,0.2975,14.26,1.700,382.2,1.44
M4G-NS,10,8,1414.0,929.0,633.0,3.165,200.0,0.3160,14.87,1.805,470.8,1.84
M4G-NS,10,9,1403.0,905.0,626.0,3.178,197.0,0.3147,15.21,1.819,400.8,2.64
