comparison,metric,mean_a,mean_b,delta_pct,t,sig,identical
NS_vs_M1G_6b,items,1242,1147,-7.65,-6.25,***,0/10
NS_vs_M1G_6b,orders,574.9,523.2,-8.99,-5.85,***,0/10
NS_vs_M1G_6b,m_per_line,14.86,14.84,-0.15,-0.09,n.s.,0/10
NS_vs_M1G_6b,EOR,1.696,1.746,+2.94,1.68,n.s.,0/10
NS_vs_M1G_6b,pile_on,3.261,3.083,-5.46,-3.30,**,0/10
NS_vs_M1G_6b,turnover_med,324.5,435.5,+34.20,10.86,***,0/10
M4G_vs_NS_6b,items,1147,1415,+23.33,19.44,***,0/10
M4G_vs_NS_6b,orders,523.2,596.5,+14.01,8.96,***,0/10
M4G_vs_NS_6b,m_per_line,14.84,9.557,-35.59,-18.63,***,0/10
M4G_vs_NS_6b,EOR,1.746,1.203,-31.07,-13.97,***,0/10
M4G_vs_NS_6b,pile_on,3.083,5.218,+69.26,26.04,***,0/10
M4G_vs_NS_6b,turnover_med,435.5,827.3,+89.98,22.71,***,0/10
M4G_tau_effect_6b,items,1406,1421,+1.04,5.42,**,0/5
M4G_tau_effect_6b,orders,598.4,602.4,+0.67,1.05,n.s.,0/5
M4G_tau_effect_6b,m_per_line,9.519,9.491,-0.29,-0.14,n.s.,0/5
M4G_tau_effect_6b,EOR,1.191,1.186,-0.42,-0.21,n.s.,0/5
M4G_tau_effect_6b,pile_on,5.273,5.314,+0.79,0.45,n.s.,0/5
M4G_tau_effect_6b,turnover_med,813.9,833.1,+2.36,1.80,n.s.,0/5
NS_guard_6b,items,1145,1147,+0.14,1.00,n.s.,4/5
NS_guard_6b,orders,523.6,524,+0.08,1.00,n.s.,4/5
NS_guard_6b,m_per_line,15.1,15.13,+0.22,1.00,n.s.,4/5
NS_guard_6b,EOR,1.773,1.776,+0.14,1.00,n.s.,4/5
NS_guard_6b,pile_on,3.032,3.014,-0.59,-1.00,n.s.,4/5
NS_guard_6b,turnover_med,432.6,430,-0.61,-1.00,n.s.,4/5
NS_vs_M1G_10b,items,1416,1411,-0.31,-0.94,n.s.,0/10
NS_vs_M1G_10b,orders,642.7,634.5,-1.28,-3.87,**,0/10
NS_vs_M1G_10b,m_per_line,16.77,15.06,-10.21,-8.16,***,0/10
NS_vs_M1G_10b,EOR,1.98,1.804,-8.93,-8.22,***,0/10
NS_vs_M1G_10b,pile_on,3.018,3.208,+6.31,3.52,**,0/10
NS_vs_M1G_10b,turnover_med,373.6,428.8,+14.76,5.75,***,0/10
M4G_vs_NS_10b,items,1411,1428,+1.22,5.44,***,0/10
M4G_vs_NS_10b,orders,634.5,602.2,-5.09,-10.29,***,0/10
M4G_vs_NS_10b,m_per_line,15.06,10.28,-31.76,-32.53,***,0/10
M4G_vs_NS_10b,EOR,1.804,1.309,-27.42,-27.70,***,0/10
M4G_vs_NS_10b,pile_on,3.208,5.026,+56.67,29.34,***,0/10
M4G_vs_NS_10b,turnover_med,428.8,793.8,+85.15,22.66,***,0/10
M4G_tau_effect_10b,items,1429,1429,-0.01,-0.34,n.s.,0/5
M4G_tau_effect_10b,orders,600,600.8,+0.13,0.30,n.s.,0/5
M4G_tau_effect_10b,m_per_line,10.53,10.26,-2.56,-2.00,n.s.,0/5
M4G_tau_effect_10b,EOR,1.337,1.305,-2.41,-2.78,*,0/5
M4G_tau_effect_10b,pile_on,5.002,5.025,+0.46,0.58,n.s.,0/5
M4G_tau_effect_10b,turnover_med,834.1,804.5,-3.54,-0.94,n.s.,0/5
NS_guard_10b,items,1411,1411,+0.00,nan,n.s.,5/5
NS_guard_10b,orders,635,635,+0.00,nan,n.s.,5/5
NS_guard_10b,m_per_line,15.08,15.08,+0.00,nan,n.s.,5/5
NS_guard_10b,EOR,1.801,1.801,+0.00,nan,n.s.,5/5
NS_guard_10b,pile_on,3.261,3.261,+0.00,nan,n.s.,5/5
NS_guard_10b,turnover_med,441.5,441.5,+0.00,nan,n.s.,5/5
