Policy,Bots,Seed,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G-WS,6,0,1388.0,931.0,612.0,4.467,137.0,0.2239,11.51,1.394,822.3,3.65
M4G-WS,6,1,1410.0,925.0,574.0,4.284,134.0,0.2334,11.32,1.472,935.4,2.16
M4G-WS,6,2,1409.0,963.0,598.0,4.397,136.0,0.2274,11.13,1.459,876.5,2.25
M4G-WS,6,3,1399.0,931.0,587.0,4.414,133.0,0.2266,11.11,1.408,957.0,2.88
M4G-WS,6,4,1406.0,935.0,585.0,4.466,131.0,0.2239,11.00,1.426,856.7,2.45
M4G-WS,6,5,1415.0,939.0,575.0,4.291,134.0,0.2330,11.23,1.466,820.1,1.85
M4G-WS,6,6,1412.0,938.0,590.0,4.338,136.0,0.2305,11.49,1.458,903.6,2.08
M4G-WS,6,7,1409.0,943.0,594.0,4.500,132.0,0.2222,11.05,1.403,856.8,2.25
M4G-WS,6,8,1412.0,953.0,604.0,4.507,134.0,0.2219,10.90,1.377,743.4,2.05
M4G-WS,6,9,1418.0,937.0,578.0,4.481,129.0,0.2232,10.97,1.429,816.8,1.56
M4G,6,0,1426.0,945.0,616.0,5.500,112.0,0.1818,9.87,1.197,804.0,1.03
M4G,6,1,1412.0,925.0,580.0,5.179,112.0,0.1931,9.56,1.211,908.8,2.00
M4G,6,2,1425.0,976.0,613.0,5.425,113.0,0.1843,9.02,1.169,809.9,1.11
M4G,6,3,1410.0,940.0,599.0,5.546,108.0,0.1803,8.94,1.128,901.3,2.16
M4G,6,4,1417.0,940.0,583.0,5.159,113.0,0.1938,9.25,1.208,783.2,1.66
M4G,6,5,1418.0,929.0,587.0,5.017,117.0,0.1993,9.93,1.255,763.4,1.60
M4G,6,6,1429.0,964.0,603.0,5.532,109.0,0.1808,9.09,1.163,844.8,0.83
M4G,6,7,1414.0,937.0,603.0,5.384,112.0,0.1857,9.34,1.173,822.5,1.82
M4G,6,8,1420.0,954.0,603.0,5.289,114.0,0.1891,9.49,1.212,797.6,1.43
M4G,6,9,1428.0,951.0,604.0,5.345,113.0,0.1871,9.24,1.179,872.5,0.90
M4G-WS,10,0,1422.0,946.0,615.0,2.901,212.0,0.3447,16.13,2.038,640.4,1.31
M4G-WS,10,1,1429.0,936.0,579.0,2.866,202.0,0.3489,16.50,2.167,874.1,0.85
M4G-WS,10,2,1429.0,979.0,609.0,2.900,210.0,0.3448,15.74,2.051,722.0,0.82
M4G-WS,10,3,1429.0,958.0,602.0,3.056,197.0,0.3272,15.11,1.991,831.6,0.83
M4G-WS,10,4,1429.0,955.0,592.0,2.860,207.0,0.3497,15.50,2.040,689.4,0.84
M4G-WS,10,5,1427.0,958.0,606.0,2.913,208.0,0.3432,15.80,2.034,749.0,0.99
M4G-WS,10,6,1429.0,965.0,599.0,2.866,209.0,0.3489,16.27,2.140,722.0,0.85
M4G-WS,10,7,1430.0,969.0,610.0,3.112,196.0,0.3213,14.27,1.862,721.8,0.78
M4G-WS,10,8,1430.0,970.0,609.0,3.000,203.0,0.3333,15.75,2.042,658.9,0.81
M4G-WS,10,9,1427.0,956.0,604.0,2.918,207.0,0.3427,15.82,2.027,752.2,1.02
M4G,10,0,1424.0,944.0,620.0,5.082,122.0,0.1968,10.59,1.299,795.7,1.19
M4G,10,1,1430.0,935.0,584.0,4.908,119.0,0.2038,10.34,1.335,833.8,0.72
M4G,10,2,1430.0,987.0,617.0,5.099,121.0,0.1961,10.14,1.310,762.4,0.73
M4G,10,3,1428.0,940.0,607.0,5.188,117.0,0.1928,10.42,1.313,766.5,0.89
M4G,10,4,1431.0,950.0,597.0,5.017,119.0,0.1993,10.68,1.367,772.0,0.70
M4G,10,5,1430.0,953.0,600.0,4.878,123.0,0.2050,10.73,1.354,782.0,0.81
M4G,10,6,1428.0,966.0,606.0,5.179,117.0,0.1931,10.00,1.292,772.0,0.94
M4G,10,7,1431.0,958.0,611.0,5.360,114.0,0.1866,9.96,1.266,879.7,0.70
M4G,10,8,1429.0,958.0,601.0,5.226,115.0,0.1913,10.17,1.318,741.8,0.88
M4G,10,9,1426.0,931.0,592.0,5.239,113.0,0.1909,10.46,1.317,771.8,1.00
