Policy,Reference,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5 fixed λ=3,HGS-M5 (dynamic),6,< .001,< .001,< .001,.005,< .001,.005,.183,.067,< .001,< .001
HGS-M5 fixed λ=4,HGS-M5 (dynamic),6,.014,.014,.028,.105,.020,.092,.660,.354,.025,.014
HGS-M5 fixed λ=5,HGS-M5 (dynamic),6,.058,.061,.074,.015,.029,.015,.038,.007,.045,.058
HGS-M5 fixed λ=9,HGS-M5 (dynamic),6,1.000,.657,.012,< .001,< .001,< .001,< .001,< .001,.015,.926
HGS-M5 fixed λ=14,HGS-M5 (dynamic),6,.165,.236,.016,< .001,< .001,< .001,.008,.001,.090,.153
HGS-M5 fixed λ=18,HGS-M5 (dynamic),6,.892,.971,.036,< .001,< .001,< .001,.144,< .001,.283,.964
HGS-M5 fixed λ=22,HGS-M5 (dynamic),6,.368,.283,.059,< .001,< .001,< .001,.027,< .001,.876,.363
HGS-M5 fixed λ=3,HGS-M5 (dynamic),10,.001,.001,.002,.001,< .001,< .001,.926,.888,.004,.001
HGS-M5 fixed λ=4,HGS-M5 (dynamic),10,.003,.003,.004,.003,.002,.002,.177,.055,< .001,.003
HGS-M5 fixed λ=5,HGS-M5 (dynamic),10,.048,.050,.058,< .001,.006,< .001,.090,.027,.025,.048
HGS-M5 fixed λ=9,HGS-M5 (dynamic),10,.249,.451,.744,< .001,< .001,< .001,.003,< .001,< .001,.244
HGS-M5 fixed λ=14,HGS-M5 (dynamic),10,< .001,.936,.372,< .001,< .001,< .001,.066,< .001,.217,< .001
HGS-M5 fixed λ=18,HGS-M5 (dynamic),10,.003,.737,.146,< .001,< .001,< .001,.048,.002,.005,< .001
HGS-M5 fixed λ=22,HGS-M5 (dynamic),10,< .001,.544,.202,< .001,< .001,< .001,.674,.020,.039,< .001
