2 h · 10 seeds · 12 Pstations · 6 Rstations · 1000 SKUs · 200 backlog · 1203 pods / 1352 cells · cap 500 · 70% stock
policy,bots,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
m5_45b,45b,8318.2,5396.9,3385.3,7.625,444.1,0.1312,20.45,3.601,395.2,3.79
m5_pk1_45b,45b,2079.2,1358.0,885.1,5.002,177.4,0.2003,46.84,8.013,651.8,75.94
m5_pk2_45b,45b,5371.3,3494.6,2198.8,7.006,313.4,0.1428,25.15,4.437,497.6,37.86
m5_pk3_45b,45b,8313.4,5394.8,3383.5,7.628,443.7,0.1311,20.46,3.601,395.4,3.84

paired m5_pk1_45b vs m5_45b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−75.00,−74.84,−73.85,−34.40,−60.05,+52.71,+129.08,+122.53,+64.93,+1904.75
p,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001
sig,***,***,***,***,***,***,***,***,***,***

paired m5_pk2_45b vs m5_45b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−35.43,−35.25,−35.05,−8.11,−29.43,+8.89,+23.01,+23.22,+25.92,+899.51
p,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001
sig,***,***,***,***,***,***,***,***,***,***

paired m5_pk3_45b vs m5_45b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−0.06,−0.04,−0.05,+0.04,−0.09,−0.04,+0.06,+0.01,+0.05,+1.43
p,.343,.343,.343,.343,.343,.343,.343,.343,.343,.343
sig,,,,,,,,,,

excel cross-check: {"status": "passed", "checks": 140, "rel_tol": 1e-09}
