Policy,Reference,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G fixed λ=4.5,M4G (dynamic),6,.003,.004,.005,< .001,.092,< .001,.007,.007,< .001,.003
M4G fixed λ=6,M4G (dynamic),6,.004,.002,.008,< .001,.011,< .001,< .001,< .001,< .001,.004
M4G fixed λ=8,M4G (dynamic),6,.152,.155,.208,< .001,.138,< .001,< .001,< .001,< .001,.151
M4G fixed λ=11,M4G (dynamic),6,< .001,.002,.066,< .001,< .001,< .001,< .001,< .001,< .001,< .001
M4G fixed λ=15,M4G (dynamic),6,< .001,< .001,.026,< .001,< .001,< .001,< .001,< .001,< .001,< .001
M4G fixed λ=20,M4G (dynamic),6,< .001,< .001,.070,< .001,< .001,< .001,< .001,< .001,< .001,< .001
M4G fixed λ=28,M4G (dynamic),6,< .001,< .001,.071,< .001,< .001,< .001,< .001,< .001,< .001,< .001
M4G fixed λ=4.5,M4G (dynamic),10,.004,.005,.006,.016,.156,.014,.561,.489,< .001,.004
M4G fixed λ=6,M4G (dynamic),10,.015,.004,.024,< .001,< .001,< .001,< .001,< .001,< .001,.015
M4G fixed λ=8,M4G (dynamic),10,< .001,< .001,.003,< .001,< .001,< .001,< .001,< .001,< .001,< .001
M4G fixed λ=11,M4G (dynamic),10,.059,.020,.013,< .001,< .001,< .001,< .001,< .001,< .001,.056
M4G fixed λ=15,M4G (dynamic),10,.085,.005,.007,< .001,< .001,< .001,< .001,< .001,< .001,.087
M4G fixed λ=20,M4G (dynamic),10,.060,.002,< .001,< .001,< .001,< .001,< .001,< .001,< .001,.050
M4G fixed λ=28,M4G (dynamic),10,.003,.007,.005,< .001,< .001,< .001,< .001,< .001,< .001,.004
