Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5 (dynamic),6,4.6,12.0,11.1,0.113,3.4,0.0042,0.23,0.023,64.2,0.29
HGS-M5 fixed λ=3,6,255.1,169.0,111.4,0.247,20.1,0.0083,1.02,0.123,117.6,17.72
HGS-M5 fixed λ=4,6,297.9,194.1,127.7,0.366,25.6,0.0114,0.88,0.102,143.0,20.67
HGS-M5 fixed λ=5,6,301.9,199.4,130.5,0.250,25.2,0.0084,0.56,0.047,123.4,20.94
HGS-M5 fixed λ=9,6,3.9,11.9,9.8,0.163,2.2,0.0049,0.23,0.024,39.5,0.27
HGS-M5 fixed λ=14,6,3.5,9.4,11.8,0.169,2.6,0.0051,0.30,0.032,63.7,0.24
HGS-M5 fixed λ=18,6,3.2,14.0,13.1,0.192,2.7,0.0058,0.33,0.034,74.4,0.21
HGS-M5 fixed λ=22,6,3.6,12.7,12.1,0.192,3.0,0.0056,0.29,0.033,67.3,0.25
HGS-M5 (dynamic),10,0.7,14.6,13.7,0.137,3.1,0.0053,0.28,0.035,59.8,0.02
HGS-M5 fixed λ=3,10,346.1,225.2,143.8,0.263,28.3,0.0087,1.23,0.157,154.0,24.02
HGS-M5 fixed λ=4,10,345.4,223.6,144.8,0.272,27.8,0.0084,1.00,0.119,158.2,23.97
HGS-M5 fixed λ=5,10,322.5,207.1,133.6,0.119,23.9,0.0039,0.73,0.077,145.8,22.38
HGS-M5 fixed λ=9,10,49.3,35.4,26.8,0.183,4.9,0.0059,0.26,0.024,68.8,3.40
HGS-M5 fixed λ=14,10,0.7,14.4,10.4,0.103,2.5,0.0033,0.30,0.027,85.0,0.07
HGS-M5 fixed λ=18,10,1.3,15.3,15.5,0.244,4.2,0.0075,0.36,0.045,68.3,0.08
HGS-M5 fixed λ=22,10,0.8,13.8,12.1,0.173,5.0,0.0057,0.45,0.035,58.7,0.05
